Time,ncaa tournament
2025-12-11,2
2025-12-12,2
2025-12-13,4
2025-12-14,3
2025-12-15,2
2025-12-16,1
2025-12-17,1
2025-12-18,1
2025-12-19,2
2025-12-20,1
2025-12-21,2
2025-12-22,1
2025-12-23,1
2025-12-24,0
2025-12-25,0
2025-12-26,0
2025-12-27,0
2025-12-28,0
2025-12-29,0
2025-12-30,1
2025-12-31,1
2026-01-01,1
2026-01-02,1
2026-01-03,1
2026-01-04,1
2026-01-05,1
2026-01-06,1
2026-01-07,1
2026-01-08,1
2026-01-09,1
2026-01-10,1
2026-01-11,1
2026-01-12,1
2026-01-13,1
2026-01-14,1
2026-01-15,1
2026-01-16,1
2026-01-17,1
2026-01-18,1
2026-01-19,1
2026-01-20,1
2026-01-21,1
2026-01-22,1
2026-01-23,1
2026-01-24,1
2026-01-25,1
2026-01-26,1
2026-01-27,1
2026-01-28,1
2026-01-29,1
2026-01-30,1
2026-01-31,1
2026-02-01,1
2026-02-02,1
2026-02-03,1
2026-02-04,1
2026-02-05,1
2026-02-06,1
2026-02-07,1
2026-02-08,1
2026-02-09,1
2026-02-10,1
2026-02-11,1
2026-02-12,1
2026-02-13,1
2026-02-14,1
2026-02-15,2
2026-02-16,2
2026-02-17,1
2026-02-18,2
2026-02-19,2
2026-02-20,1
2026-02-21,3
2026-02-22,2
2026-02-23,2
2026-02-24,2
2026-02-25,2
2026-02-26,2
2026-02-27,2
2026-02-28,3
2026-03-01,4
2026-03-02,4
2026-03-03,6
2026-03-04,4
2026-03-05,5
2026-03-06,5
2026-03-07,7
2026-03-08,11
2026-03-09,8
2026-03-10,7
2026-03-11,8
2026-03-12,10
2026-03-13,12
2026-03-14,15
2026-03-15,56
2026-03-16,72
2026-03-17,46
2026-03-18,52
2026-03-19,100
2026-03-20,82
2026-03-21,81
2026-03-22,77
2026-03-23,42
2026-03-24,13
2026-03-25,11
2026-03-26,24
2026-03-27,44
2026-03-28,59
2026-03-29,53
2026-03-30,14
2026-03-31,7
2026-04-01,5
2026-04-02,6
2026-04-03,9
2026-04-04,22
2026-04-05,27
2026-04-06,11
2026-04-07,16
2026-04-08,2
2026-04-09,2
2026-04-10,2
2026-04-11,2
2026-04-12,1
2026-04-13,1
2026-04-14,1
2026-04-15,1
2026-04-16,1
2026-04-17,1
2026-04-18,1
2026-04-19,1
2026-04-20,1
2026-04-21,1
2026-04-22,1
2026-04-23,1
2026-04-24,1
2026-04-25,1
2026-04-26,1
2026-04-27,2
2026-04-28,1
2026-04-29,2
2026-04-30,1
2026-05-01,1
2026-05-02,2
2026-05-03,2
2026-05-04,3
2026-05-05,1
2026-05-06,1
2026-05-07,2
2026-05-08,2
2026-05-09,3
2026-05-10,5
2026-05-11,6
2026-05-12,2
2026-05-13,2
2026-05-14,2
2026-05-15,4
2026-05-16,6
2026-05-17,6
2026-05-18,3
2026-05-19,2
2026-05-20,2
2026-05-21,2
2026-05-22,3
2026-05-23,5
2026-05-24,6
2026-05-25,12
2026-05-26,4
2026-05-27,2
2026-05-28,2
2026-05-29,6
2026-05-30,11
2026-05-31,11
