Time,youtube.com
2023-12-22,82
2023-12-23,80
2023-12-24,79
2023-12-25,82
2023-12-26,76
2023-12-27,72
2023-12-28,70
2023-12-29,73
2023-12-30,73
2023-12-31,75
2024-01-01,76
2024-01-02,80
2024-01-03,84
2024-01-04,80
2024-01-05,86
2024-01-06,81
2024-01-07,83
2024-01-08,77
2024-01-09,78
2024-01-10,83
2024-01-11,84
2024-01-12,83
2024-01-13,80
2024-01-14,83
2024-01-15,76
2024-01-16,82
2024-01-17,82
2024-01-18,80
2024-01-19,78
2024-01-20,84
2024-01-21,75
2024-01-22,78
2024-01-23,83
2024-01-24,89
2024-01-25,84
2024-01-26,87
2024-01-27,83
2024-01-28,81
2024-01-29,82
2024-01-30,88
2024-01-31,88
2024-02-01,89
2024-02-02,93
2024-02-03,81
2024-02-04,87
2024-02-05,83
2024-02-06,89
2024-02-07,93
2024-02-08,79
2024-02-09,89
2024-02-10,83
2024-02-11,92
2024-02-12,87
2024-02-13,89
2024-02-14,90
2024-02-15,94
2024-02-16,97
2024-02-17,86
2024-02-18,90
2024-02-19,94
2024-02-20,92
2024-02-21,91
2024-02-22,99
2024-02-23,88
2024-02-24,90
2024-02-25,93
2024-02-26,92
2024-02-27,96
2024-02-28,98
2024-02-29,93
2024-03-01,98
2024-03-02,78
2024-03-03,92
2024-03-04,90
2024-03-05,98
2024-03-06,92
2024-03-07,100
2024-03-08,91
2024-03-09,88
2024-03-10,94
2024-03-11,94
2024-03-12,92
2024-03-13,88
2024-03-14,94
2024-03-15,93
2024-03-16,88
2024-03-17,81
2024-03-18,87
2024-03-19,91
2024-03-20,96
2024-03-21,98
2024-03-22,98
2024-03-23,83
2024-03-24,90
2024-03-25,85
2024-03-26,94
2024-03-27,93
2024-03-28,91
2024-03-29,91
2024-03-30,83
2024-03-31,77
2024-04-01,89
2024-04-02,95
2024-04-03,90
2024-04-04,93
2024-04-05,92
2024-04-06,77
2024-04-07,76
2024-04-08,87
2024-04-09,96
2024-04-10,94
2024-04-11,97
2024-04-12,93
2024-04-13,87
2024-04-14,82
2024-04-15,90
2024-04-16,92
2024-04-17,97
2024-04-18,91
2024-04-19,97
2024-04-20,94
2024-04-21,83
2024-04-22,90
2024-04-23,93
2024-04-24,97
2024-04-25,91
2024-04-26,92
2024-04-27,81
2024-04-28,78
2024-04-29,87
2024-04-30,89
2024-05-01,83
2024-05-02,100
2024-05-03,90
2024-05-04,83
2024-05-05,80
2024-05-06,91
2024-05-07,96
2024-05-08,93
2024-05-09,98
2024-05-10,97
2024-05-11,83
2024-05-12,85
2024-05-13,90
2024-05-14,91
2024-05-15,99
2024-05-16,87
2024-05-17,87
2024-05-18,75
2024-05-19,84
2024-05-20,94
2024-05-21,89
2024-05-22,94
2024-05-23,97
2024-05-24,93
2024-05-25,79
2024-05-26,84
2024-05-27,81
2024-05-28,93
2024-05-29,90
2024-05-30,90
2024-05-31,95
2024-06-01,77
2024-06-02,82
2024-06-03,85
2024-06-04,93
2024-06-05,91
2024-06-06,93
2024-06-07,90
2024-06-08,86
2024-06-09,82
2024-06-10,87
2024-06-11,90
2024-06-12,90
2024-06-13,91
2024-06-14,88
2024-06-15,81
2024-06-16,77
2024-06-17,90
2024-06-18,85
2024-06-19,84
2024-06-20,85
2024-06-21,93
2024-06-22,81
2024-06-23,85
2024-06-24,88
2024-06-25,84
2024-06-26,92
2024-06-27,90
2024-06-28,89
2024-06-29,82
2024-06-30,76
2024-07-01,83
2024-07-02,88
2024-07-03,84
2024-07-04,79
2024-07-05,75
2024-07-06,81
2024-07-07,75
2024-07-08,86
2024-07-09,83
2024-07-10,84
2024-07-11,86
2024-07-12,85
2024-07-13,72
2024-07-14,82
2024-07-15,87
2024-07-16,86
2024-07-17,93
2024-07-18,88
2024-07-19,84
2024-07-20,78
2024-07-21,83
2024-07-22,84
2024-07-23,84
2024-07-24,85
2024-07-25,88
2024-07-26,84
2024-07-27,73
2024-07-28,75
2024-07-29,88
2024-07-30,82
2024-07-31,86
2024-08-01,78
2024-08-02,75
2024-08-03,74
2024-08-04,70
2024-08-05,73
2024-08-06,77
2024-08-07,72
2024-08-08,81
2024-08-09,87
2024-08-10,72
2024-08-11,72
2024-08-12,82
2024-08-13,80
2024-08-14,79
2024-08-15,83
2024-08-16,79
2024-08-17,76
2024-08-18,81
2024-08-19,80
2024-08-20,81
2024-08-21,84
2024-08-22,86
2024-08-23,85
2024-08-24,78
2024-08-25,84
2024-08-26,80
2024-08-27,84
2024-08-28,89
2024-08-29,82
2024-08-30,89
2024-08-31,77
2024-09-01,78
2024-09-02,72
2024-09-03,88
2024-09-04,81
2024-09-05,82
2024-09-06,81
2024-09-07,80
2024-09-08,77
2024-09-09,77
2024-09-10,86
2024-09-11,87
2024-09-12,86
2024-09-13,86
2024-09-14,80
2024-09-15,76
2024-09-16,77
