Time,youtube.com
2025-04-15,95
2025-04-16,100
2025-04-17,98
2025-04-18,90
2025-04-19,83
2025-04-20,89
2025-04-21,92
2025-04-22,91
2025-04-23,90
2025-04-24,91
2025-04-25,94
2025-04-26,85
2025-04-27,93
2025-04-28,97
2025-04-29,92
2025-04-30,91
2025-05-01,91
2025-05-02,85
2025-05-03,87
2025-05-04,89
2025-05-05,81
2025-05-06,90
2025-05-07,97
2025-05-08,98
2025-05-09,95
2025-05-10,88
2025-05-11,79
2025-05-12,85
2025-05-13,96
2025-05-14,86
2025-05-15,92
2025-05-16,84
2025-05-17,80
2025-05-18,87
2025-05-19,85
2025-05-20,93
2025-05-21,88
2025-05-22,88
2025-05-23,89
2025-05-24,80
2025-05-25,87
2025-05-26,81
2025-05-27,82
2025-05-28,89
2025-05-29,89
2025-05-30,89
2025-05-31,90
2025-06-01,83
2025-06-02,84
2025-06-03,89
2025-06-04,82
2025-06-05,82
2025-06-06,93
2025-06-07,77
2025-06-08,84
2025-06-09,80
2025-06-10,83
2025-06-11,82
2025-06-12,83
2025-06-13,84
2025-06-14,86
2025-06-15,77
2025-06-16,85
2025-06-17,80
2025-06-18,78
2025-06-19,73
2025-06-20,76
2025-06-21,82
2025-06-22,82
2025-06-23,77
2025-06-24,85
2025-06-25,78
2025-06-26,85
2025-06-27,85
2025-06-28,74
2025-06-29,77
2025-06-30,76
2025-07-01,79
2025-07-02,81
2025-07-03,75
2025-07-04,87
2025-07-05,81
2025-07-06,84
2025-07-07,85
2025-07-08,73
2025-07-09,73
2025-07-10,77
2025-07-11,79
2025-07-12,78
2025-07-13,80
2025-07-14,80
2025-07-15,82
2025-07-16,80
2025-07-17,85
2025-07-18,86
2025-07-19,77
2025-07-20,81
2025-07-21,80
2025-07-22,76
2025-07-23,79
2025-07-24,75
2025-07-25,83
2025-07-26,75
2025-07-27,79
2025-07-28,81
2025-07-29,73
2025-07-30,80
2025-07-31,78
2025-08-01,82
2025-08-02,79
2025-08-03,85
2025-08-04,76
2025-08-05,79
2025-08-06,79
2025-08-07,79
2025-08-08,86
2025-08-09,74
2025-08-10,78
2025-08-11,86
2025-08-12,79
2025-08-13,81
2025-08-14,80
2025-08-15,84
2025-08-16,73
2025-08-17,78
2025-08-18,84
2025-08-19,87
2025-08-20,79
2025-08-21,80
2025-08-22,79
2025-08-23,82
2025-08-24,82
2025-08-25,86
2025-08-26,93
2025-08-27,83
2025-08-28,89
2025-08-29,87
2025-08-30,76
2025-08-31,86
2025-09-01,77
2025-09-02,80
2025-09-03,82
2025-09-04,82
2025-09-05,92
2025-09-06,86
2025-09-07,82
2025-09-08,85
2025-09-09,81
2025-09-10,90
2025-09-11,92
2025-09-12,98
2025-09-13,74
2025-09-14,83
2025-09-15,81
2025-09-16,73
2025-09-17,85
2025-09-18,89
2025-09-19,93
2025-09-20,78
2025-09-21,81
2025-09-22,83
2025-09-23,82
2025-09-24,81
2025-09-25,85
2025-09-26,84
2025-09-27,82
2025-09-28,85
2025-09-29,83
2025-09-30,78
2025-10-01,91
2025-10-02,84
2025-10-03,75
2025-10-04,82
2025-10-05,83
2025-10-06,81
2025-10-07,75
2025-10-08,82
2025-10-09,82
2025-10-10,80
2025-10-11,79
2025-10-12,81
2025-10-13,84
2025-10-14,82
2025-10-15,94
2025-10-16,88
2025-10-17,79
2025-10-18,80
2025-10-19,88
2025-10-20,76
2025-10-21,80
2025-10-22,85
2025-10-23,79
2025-10-24,82
2025-10-25,78
2025-10-26,82
2025-10-27,76
2025-10-28,78
2025-10-29,83
2025-10-30,73
2025-10-31,82
2025-11-01,75
2025-11-02,78
2025-11-03,80
2025-11-04,82
2025-11-05,78
2025-11-06,77
2025-11-07,79
2025-11-08,82
2025-11-09,72
2025-11-10,79
2025-11-11,76
2025-11-12,80
2025-11-13,82
2025-11-14,78
2025-11-15,83
2025-11-16,81
2025-11-17,78
2025-11-18,76
2025-11-19,84
2025-11-20,79
2025-11-21,76
2025-11-22,86
2025-11-23,77
2025-11-24,83
2025-11-25,78
2025-11-26,78
2025-11-27,74
2025-11-28,68
2025-11-29,76
2025-11-30,83
2025-12-01,72
2025-12-02,72
2025-12-03,74
2025-12-04,76
2025-12-05,78
2025-12-06,77
2025-12-07,84
2025-12-08,74
2025-12-09,73
2025-12-10,81
2025-12-11,77
2025-12-12,79
2025-12-13,81
2025-12-14,78
2025-12-15,78
2025-12-16,79
2025-12-17,76
2025-12-18,76
2025-12-19,87
2025-12-20,77
2025-12-21,79
2025-12-22,78
2025-12-23,77
2025-12-24,73
2025-12-25,76
2025-12-26,78
2025-12-27,75
2025-12-28,83
2025-12-29,73
2025-12-30,76
2025-12-31,78
2026-01-01,79
2026-01-02,72
2026-01-03,81
2026-01-04,73
2026-01-05,72
2026-01-06,72
2026-01-07,75
2026-01-08,71
2026-01-09,72
