Time,electoral map
2023-12-22,7
2023-12-23,5
2023-12-24,4
2023-12-25,5
2023-12-26,4
2023-12-27,4
2023-12-28,5
2023-12-29,24
2023-12-30,7
2023-12-31,4
2024-01-01,4
2024-01-02,6
2024-01-03,7
2024-01-04,5
2024-01-05,8
2024-01-06,8
2024-01-07,5
2024-01-08,7
2024-01-09,6
2024-01-10,10
2024-01-11,9
2024-01-12,7
2024-01-13,0
2024-01-14,6
2024-01-15,4
2024-01-16,14
2024-01-17,9
2024-01-18,10
2024-01-19,8
2024-01-20,9
2024-01-21,9
2024-01-22,10
2024-01-23,12
2024-01-24,20
2024-01-25,10
2024-01-26,10
2024-01-27,6
2024-01-28,9
2024-01-29,12
2024-01-30,9
2024-01-31,11
2024-02-01,10
2024-02-02,12
2024-02-03,6
2024-02-04,8
2024-02-05,12
2024-02-06,11
2024-02-07,9
2024-02-08,9
2024-02-09,10
2024-02-10,4
2024-02-11,4
2024-02-12,8
2024-02-13,6
2024-02-14,8
2024-02-15,8
2024-02-16,6
2024-02-17,5
2024-02-18,6
2024-02-19,7
2024-02-20,6
2024-02-21,10
2024-02-22,10
2024-02-23,7
2024-02-24,8
2024-02-25,8
2024-02-26,12
2024-02-27,11
2024-02-28,12
2024-02-29,11
2024-03-01,8
2024-03-02,7
2024-03-03,8
2024-03-04,11
2024-03-05,14
2024-03-06,25
2024-03-07,12
2024-03-08,11
2024-03-09,6
2024-03-10,10
2024-03-11,9
2024-03-12,10
2024-03-13,11
2024-03-14,12
2024-03-15,13
2024-03-16,6
2024-03-17,7
2024-03-18,10
2024-03-19,10
2024-03-20,11
2024-03-21,7
2024-03-22,11
2024-03-23,7
2024-03-24,6
2024-03-25,6
2024-03-26,12
2024-03-27,13
2024-03-28,9
2024-03-29,7
2024-03-30,6
2024-03-31,7
2024-04-01,9
2024-04-02,7
2024-04-03,11
2024-04-04,10
2024-04-05,10
2024-04-06,7
2024-04-07,6
2024-04-08,8
2024-04-09,9
2024-04-10,12
2024-04-11,11
2024-04-12,7
2024-04-13,7
2024-04-14,4
2024-04-15,11
2024-04-16,11
2024-04-17,8
2024-04-18,9
2024-04-19,8
2024-04-20,8
2024-04-21,6
2024-04-22,8
2024-04-23,10
2024-04-24,11
2024-04-25,10
2024-04-26,7
2024-04-27,4
2024-04-28,6
2024-04-29,8
2024-04-30,11
2024-05-01,9
2024-05-02,7
2024-05-03,10
2024-05-04,6
2024-05-05,6
2024-05-06,9
2024-05-07,9
2024-05-08,6
2024-05-09,9
2024-05-10,7
2024-05-11,7
2024-05-12,6
2024-05-13,17
2024-05-14,13
2024-05-15,14
2024-05-16,12
2024-05-17,8
2024-05-18,6
2024-05-19,5
2024-05-20,8
2024-05-21,9
2024-05-22,8
2024-05-23,8
2024-05-24,8
2024-05-25,8
2024-05-26,9
2024-05-27,7
2024-05-28,7
2024-05-29,6
2024-05-30,9
2024-05-31,9
2024-06-01,7
2024-06-02,10
2024-06-03,10
2024-06-04,10
2024-06-05,12
2024-06-06,11
2024-06-07,9
2024-06-08,9
2024-06-09,10
2024-06-10,9
2024-06-11,8
2024-06-12,8
2024-06-13,8
2024-06-14,6
2024-06-15,7
2024-06-16,11
2024-06-17,9
2024-06-18,10
2024-06-19,8
2024-06-20,8
2024-06-21,8
2024-06-22,5
2024-06-23,7
2024-06-24,8
2024-06-25,9
2024-06-26,9
2024-06-27,11
2024-06-28,26
2024-06-29,17
2024-06-30,16
2024-07-01,17
2024-07-02,20
2024-07-03,22
2024-07-04,18
2024-07-05,16
2024-07-06,17
2024-07-07,20
2024-07-08,17
2024-07-09,15
2024-07-10,16
2024-07-11,18
2024-07-12,18
2024-07-13,18
2024-07-14,41
2024-07-15,48
2024-07-16,51
2024-07-17,46
2024-07-18,40
2024-07-19,38
2024-07-20,25
2024-07-21,60
2024-07-22,75
2024-07-23,72
2024-07-24,57
2024-07-25,56
2024-07-26,49
2024-07-27,44
2024-07-28,40
2024-07-29,40
2024-07-30,51
2024-07-31,63
2024-08-01,49
2024-08-02,48
2024-08-03,45
2024-08-04,51
2024-08-05,39
2024-08-06,100
2024-08-07,89
2024-08-08,70
2024-08-09,66
2024-08-10,71
2024-08-11,62
2024-08-12,56
2024-08-13,57
2024-08-14,61
2024-08-15,52
2024-08-16,50
2024-08-17,61
2024-08-18,55
2024-08-19,47
2024-08-20,53
2024-08-21,67
2024-08-22,54
2024-08-23,68
2024-08-24,53
2024-08-25,50
2024-08-26,55
2024-08-27,52
2024-08-28,48
2024-08-29,51
2024-08-30,35
2024-08-31,38
2024-09-01,39
2024-09-02,37
2024-09-03,46
2024-09-04,62
2024-09-05,49
2024-09-06,40
2024-09-07,31
2024-09-08,34
2024-09-09,44
2024-09-10,43
2024-09-11,70
2024-09-12,61
2024-09-13,62
2024-09-14,51
2024-09-15,42
2024-09-16,49
