Time,yellowjackets
2022-01-01,22.0
2022-01-02,36.0
2022-01-03,41.0
2022-01-04,34.0
2022-01-05,28.0
2022-01-06,23.0
2022-01-07,26.0
2022-01-08,30.0
2022-01-09,46.0
2022-01-10,47.0
2022-01-11,39.0
2022-01-12,35.0
2022-01-13,25.0
2022-01-14,26.0
2022-01-15,38.0
2022-01-16,75.0
2022-01-17,100.0
2022-01-18,60.0
2022-01-19,45.0
2022-01-20,38.0
2022-01-21,32.0
2022-01-22,38.0
2022-01-23,37.0
2022-01-24,37.0
2022-01-25,22.0
2022-01-26,20.0
2022-01-27,19.0
2022-01-28,21.0
2022-01-29,27.0
2022-01-30,27.0
2022-01-31,20.0
2022-02-01,19.0
2022-02-02,17.0
2022-02-03,14.0
2022-02-04,13.0
2022-02-05,17.0
2022-02-06,17.0
2022-02-07,13.0
2022-02-08,11.0
2022-02-09,11.0
2022-02-10,8.0
2022-02-11,10.0
2022-02-12,11.0
2022-02-13,11.0
2022-02-14,7.0
2022-02-15,7.0
2022-02-16,7.0
2022-02-17,6.0
2022-02-18,7.0
2022-02-19,9.0
2022-02-20,9.0
2022-02-21,8.0
2022-02-22,7.0
2022-02-23,6.0
2022-02-24,5.0
2022-02-25,6.0
2022-02-26,6.0
2022-02-27,8.0
2022-02-28,6.0
2022-03-01,5.0
2022-03-02,5.0
2022-03-03,4.0
2022-03-04,4.0
2022-03-05,5.0
2022-03-06,5.0
2022-03-07,5.0
2022-03-08,5.0
2022-03-09,4.0
2022-03-10,4.0
2022-03-11,4.0
2022-03-12,5.0
2022-03-13,6.0
2022-03-14,10.0
2022-03-15,5.0
2022-03-16,4.0
2022-03-17,4.0
2022-03-18,4.0
2022-03-19,4.0
2022-03-20,6.0
2022-03-21,4.0
2022-03-22,4.0
2022-03-23,4.0
2022-03-24,3.0
2022-03-25,4.0
2022-03-26,4.0
2022-03-27,5.0
2022-03-28,4.0
2022-03-29,4.0
2022-03-30,3.0
2022-03-31,3.0
2022-04-01,4.0
2022-04-02,5.0
2022-04-03,5.0
2022-04-04,4.0
2022-04-05,4.0
2022-04-06,3.0
2022-04-07,4.0
2022-04-08,4.0
2022-04-09,5.0
2022-04-10,5.0
2022-04-11,5.0
2022-04-12,4.0
2022-04-13,3.0
2022-04-14,4.0
2022-04-15,4.0
2022-04-16,4.0
2022-04-17,5.0
2022-04-18,4.0
2022-04-19,3.0
