Time,fashion nova
2025-04-15,51
2025-04-16,53
2025-04-17,52
2025-04-18,45
2025-04-19,41
2025-04-20,41
2025-04-21,47
2025-04-22,49
2025-04-23,46
2025-04-24,47
2025-04-25,43
2025-04-26,45
2025-04-27,53
2025-04-28,48
2025-04-29,51
2025-04-30,50
2025-05-01,52
2025-05-02,53
2025-05-03,51
2025-05-04,58
2025-05-05,57
2025-05-06,58
2025-05-07,60
2025-05-08,58
2025-05-09,49
2025-05-10,51
2025-05-11,47
2025-05-12,54
2025-05-13,59
2025-05-14,56
2025-05-15,58
2025-05-16,53
2025-05-17,51
2025-05-18,53
2025-05-19,54
2025-05-20,53
2025-05-21,52
2025-05-22,54
2025-05-23,48
2025-05-24,47
2025-05-25,50
2025-05-26,58
2025-05-27,53
2025-05-28,50
2025-05-29,54
2025-05-30,49
2025-05-31,49
2025-06-01,51
2025-06-02,49
2025-06-03,52
2025-06-04,50
2025-06-05,48
2025-06-06,44
2025-06-07,44
2025-06-08,47
2025-06-09,48
2025-06-10,48
2025-06-11,50
2025-06-12,51
2025-06-13,43
2025-06-14,45
2025-06-15,41
2025-06-16,46
2025-06-17,48
2025-06-18,51
2025-06-19,46
2025-06-20,42
2025-06-21,43
2025-06-22,46
2025-06-23,48
2025-06-24,50
2025-06-25,47
2025-06-26,49
2025-06-27,45
2025-06-28,43
2025-06-29,48
2025-06-30,46
2025-07-01,52
2025-07-02,53
2025-07-03,48
2025-07-04,44
2025-07-05,42
2025-07-06,50
2025-07-07,49
2025-07-08,50
2025-07-09,54
2025-07-10,51
2025-07-11,46
2025-07-12,47
2025-07-13,50
2025-07-14,52
2025-07-15,53
2025-07-16,53
2025-07-17,54
2025-07-18,50
2025-07-19,49
2025-07-20,54
2025-07-21,54
2025-07-22,52
2025-07-23,52
2025-07-24,48
2025-07-25,46
2025-07-26,43
2025-07-27,46
2025-07-28,49
2025-07-29,49
2025-07-30,51
2025-07-31,54
2025-08-01,51
2025-08-02,53
2025-08-03,51
2025-08-04,51
2025-08-05,54
2025-08-06,54
2025-08-07,51
2025-08-08,50
2025-08-09,49
2025-08-10,47
2025-08-11,51
2025-08-12,48
2025-08-13,53
2025-08-14,52
2025-08-15,45
2025-08-16,45
2025-08-17,48
2025-08-18,49
2025-08-19,49
2025-08-20,48
2025-08-21,48
2025-08-22,43
2025-08-23,43
2025-08-24,49
2025-08-25,47
2025-08-26,48
2025-08-27,51
2025-08-28,47
2025-08-29,44
2025-08-30,43
2025-08-31,46
2025-09-01,55
2025-09-02,51
2025-09-03,48
2025-09-04,48
2025-09-05,49
2025-09-06,52
2025-09-07,62
2025-09-08,57
2025-09-09,51
2025-09-10,52
2025-09-11,48
2025-09-12,45
2025-09-13,50
2025-09-14,52
2025-09-15,53
2025-09-16,54
2025-09-17,56
2025-09-18,48
2025-09-19,47
2025-09-20,51
2025-09-21,54
2025-09-22,50
2025-09-23,53
2025-09-24,52
2025-09-25,50
2025-09-26,51
2025-09-27,50
2025-09-28,55
2025-09-29,52
2025-09-30,56
2025-10-01,59
2025-10-02,61
2025-10-03,54
2025-10-04,59
2025-10-05,63
2025-10-06,65
2025-10-07,62
2025-10-08,63
2025-10-09,63
2025-10-10,60
2025-10-11,62
2025-10-12,72
2025-10-13,71
2025-10-14,67
2025-10-15,67
2025-10-16,65
2025-10-17,62
2025-10-18,61
2025-10-19,70
2025-10-20,64
2025-10-21,79
2025-10-22,70
2025-10-23,67
2025-10-24,64
2025-10-25,62
2025-10-26,65
2025-10-27,67
2025-10-28,59
2025-10-29,59
2025-10-30,55
2025-10-31,46
2025-11-01,46
2025-11-02,51
2025-11-03,50
2025-11-04,50
2025-11-05,50
2025-11-06,50
2025-11-07,47
2025-11-08,50
2025-11-09,55
2025-11-10,54
2025-11-11,51
2025-11-12,55
2025-11-13,55
2025-11-14,54
2025-11-15,52
2025-11-16,58
2025-11-17,53
2025-11-18,56
2025-11-19,60
2025-11-20,60
2025-11-21,52
2025-11-22,53
2025-11-23,68
2025-11-24,70
2025-11-25,69
2025-11-26,77
2025-11-27,67
2025-11-28,100
2025-11-29,99
2025-11-30,80
2025-12-01,83
2025-12-02,76
2025-12-03,62
2025-12-04,57
2025-12-05,51
2025-12-06,56
2025-12-07,58
2025-12-08,55
2025-12-09,59
2025-12-10,62
2025-12-11,58
2025-12-12,51
2025-12-13,56
2025-12-14,56
2025-12-15,52
2025-12-16,52
2025-12-17,54
2025-12-18,53
2025-12-19,47
2025-12-20,48
2025-12-21,48
2025-12-22,46
2025-12-23,47
2025-12-24,41
2025-12-25,46
2025-12-26,58
2025-12-27,58
2025-12-28,56
2025-12-29,56
2025-12-30,54
2025-12-31,44
2026-01-01,36
2026-01-02,49
2026-01-03,52
2026-01-04,53
2026-01-05,44
2026-01-06,46
2026-01-07,47
2026-01-08,45
2026-01-09,45
