Time,fashion nova
2023-12-22,73
2023-12-23,69
2023-12-24,62
2023-12-25,71
2023-12-26,86
2023-12-27,91
2023-12-28,87
2023-12-29,77
2023-12-30,69
2023-12-31,64
2024-01-01,61
2024-01-02,72
2024-01-03,74
2024-01-04,75
2024-01-05,78
2024-01-06,88
2024-01-07,91
2024-01-08,74
2024-01-09,75
2024-01-10,80
2024-01-11,80
2024-01-12,82
2024-01-13,91
2024-01-14,95
2024-01-15,82
2024-01-16,77
2024-01-17,78
2024-01-18,81
2024-01-19,81
2024-01-20,92
2024-01-21,91
2024-01-22,76
2024-01-23,71
2024-01-24,77
2024-01-25,72
2024-01-26,64
2024-01-27,69
2024-01-28,72
2024-01-29,67
2024-01-30,68
2024-01-31,65
2024-02-01,65
2024-02-02,64
2024-02-03,66
2024-02-04,75
2024-02-05,74
2024-02-06,69
2024-02-07,72
2024-02-08,64
2024-02-09,67
2024-02-10,72
2024-02-11,88
2024-02-12,84
2024-02-13,86
2024-02-14,65
2024-02-15,75
2024-02-16,69
2024-02-17,76
2024-02-18,85
2024-02-19,86
2024-02-20,77
2024-02-21,83
2024-02-22,86
2024-02-23,80
2024-02-24,81
2024-02-25,86
2024-02-26,82
2024-02-27,78
2024-02-28,78
2024-02-29,77
2024-03-01,75
2024-03-02,82
2024-03-03,97
2024-03-04,78
2024-03-05,82
2024-03-06,83
2024-03-07,80
2024-03-08,74
2024-03-09,84
2024-03-10,88
2024-03-11,80
2024-03-12,83
2024-03-13,80
2024-03-14,78
2024-03-15,78
2024-03-16,86
2024-03-17,93
2024-03-18,84
2024-03-19,78
2024-03-20,84
2024-03-21,80
2024-03-22,76
2024-03-23,89
2024-03-24,96
2024-03-25,84
2024-03-26,80
2024-03-27,83
2024-03-28,77
2024-03-29,74
2024-03-30,74
2024-03-31,77
2024-04-01,79
2024-04-02,77
2024-04-03,81
2024-04-04,77
2024-04-05,71
2024-04-06,77
2024-04-07,79
2024-04-08,75
2024-04-09,76
2024-04-10,81
2024-04-11,74
2024-04-12,70
2024-04-13,71
2024-04-14,85
2024-04-15,79
2024-04-16,76
2024-04-17,80
2024-04-18,81
2024-04-19,73
2024-04-20,79
2024-04-21,80
2024-04-22,79
2024-04-23,77
2024-04-24,80
2024-04-25,80
2024-04-26,79
2024-04-27,79
2024-04-28,93
2024-04-29,81
2024-04-30,78
2024-05-01,83
2024-05-02,78
2024-05-03,75
2024-05-04,71
2024-05-05,78
2024-05-06,78
2024-05-07,77
2024-05-08,80
2024-05-09,78
2024-05-10,68
2024-05-11,70
2024-05-12,71
2024-05-13,75
2024-05-14,78
2024-05-15,91
2024-05-16,95
2024-05-17,83
2024-05-18,79
2024-05-19,100
2024-05-20,95
2024-05-21,80
2024-05-22,76
2024-05-23,70
2024-05-24,72
2024-05-25,73
2024-05-26,74
2024-05-27,90
2024-05-28,77
2024-05-29,77
2024-05-30,80
2024-05-31,69
2024-06-01,72
2024-06-02,76
2024-06-03,74
2024-06-04,75
2024-06-05,82
2024-06-06,71
2024-06-07,65
2024-06-08,69
2024-06-09,73
2024-06-10,72
2024-06-11,75
2024-06-12,78
2024-06-13,72
2024-06-14,68
2024-06-15,68
2024-06-16,61
2024-06-17,69
2024-06-18,70
2024-06-19,75
2024-06-20,79
2024-06-21,73
2024-06-22,71
2024-06-23,72
2024-06-24,74
2024-06-25,79
2024-06-26,69
2024-06-27,73
2024-06-28,66
2024-06-29,65
2024-06-30,73
2024-07-01,70
2024-07-02,76
2024-07-03,70
2024-07-04,70
2024-07-05,66
2024-07-06,70
2024-07-07,74
2024-07-08,69
2024-07-09,70
2024-07-10,75
2024-07-11,73
2024-07-12,67
2024-07-13,69
2024-07-14,70
2024-07-15,71
2024-07-16,73
2024-07-17,76
2024-07-18,76
2024-07-19,67
2024-07-20,68
2024-07-21,69
2024-07-22,71
2024-07-23,74
2024-07-24,79
2024-07-25,77
2024-07-26,70
2024-07-27,68
2024-07-28,73
2024-07-29,76
2024-07-30,75
2024-07-31,82
2024-08-01,77
2024-08-02,78
2024-08-03,75
2024-08-04,77
2024-08-05,77
2024-08-06,76
2024-08-07,78
2024-08-08,76
2024-08-09,69
2024-08-10,76
2024-08-11,77
2024-08-12,73
2024-08-13,79
2024-08-14,80
2024-08-15,77
2024-08-16,69
2024-08-17,73
2024-08-18,75
2024-08-19,73
2024-08-20,73
2024-08-21,79
2024-08-22,77
2024-08-23,64
2024-08-24,71
2024-08-25,76
2024-08-26,69
2024-08-27,75
2024-08-28,68
2024-08-29,73
2024-08-30,68
2024-08-31,67
2024-09-01,71
2024-09-02,82
2024-09-03,76
2024-09-04,74
2024-09-05,80
2024-09-06,72
2024-09-07,83
2024-09-08,96
2024-09-09,81
2024-09-10,75
2024-09-11,76
2024-09-12,89
2024-09-13,85
2024-09-14,91
2024-09-15,88
2024-09-16,85
