Time,mavs
2023-04-26,5
2023-04-27,6
2023-04-28,4
2023-04-29,5
2023-04-30,5
2023-05-01,6
2023-05-02,5
2023-05-03,5
2023-05-04,4
2023-05-05,5
2023-05-06,5
2023-05-07,5
2023-05-08,4
2023-05-09,5
2023-05-10,5
2023-05-11,4
2023-05-12,10
2023-05-13,7
2023-05-14,5
2023-05-15,6
2023-05-16,7
2023-05-17,11
2023-05-18,5
2023-05-19,5
2023-05-20,5
2023-05-21,5
2023-05-22,7
2023-05-23,7
2023-05-24,4
2023-05-25,5
2023-05-26,4
2023-05-27,4
2023-05-28,5
2023-05-29,4
2023-05-30,6
2023-05-31,5
2023-06-01,5
2023-06-02,5
2023-06-03,4
2023-06-04,4
2023-06-05,10
2023-06-06,7
2023-06-07,5
2023-06-08,5
2023-06-09,5
2023-06-10,5
2023-06-11,5
2023-06-12,4
2023-06-13,5
2023-06-14,6
2023-06-15,5
2023-06-16,4
2023-06-17,5
2023-06-18,6
2023-06-19,8
2023-06-20,7
2023-06-21,8
2023-06-22,11
2023-06-23,35
2023-06-24,11
2023-06-25,9
2023-06-26,10
2023-06-27,10
2023-06-28,8
2023-06-29,9
2023-06-30,14
2023-07-01,24
2023-07-02,15
2023-07-03,9
2023-07-04,11
2023-07-05,14
2023-07-06,21
2023-07-07,13
2023-07-08,18
2023-07-09,14
2023-07-10,12
2023-07-11,12
2023-07-12,11
2023-07-13,10
2023-07-14,10
2023-07-15,12
2023-07-16,9
2023-07-17,11
2023-07-18,7
2023-07-19,7
2023-07-20,15
2023-07-21,7
2023-07-22,8
2023-07-23,7
2023-07-24,7
2023-07-25,8
2023-07-26,6
2023-07-27,7
2023-07-28,6
2023-07-29,5
2023-07-30,6
2023-07-31,7
2023-08-01,7
2023-08-02,6
2023-08-03,7
2023-08-04,5
2023-08-05,5
2023-08-06,5
2023-08-07,6
2023-08-08,6
2023-08-09,6
2023-08-10,6
2023-08-11,6
2023-08-12,6
2023-08-13,8
2023-08-14,5
2023-08-15,6
2023-08-16,6
2023-08-17,8
2023-08-18,6
2023-08-19,6
2023-08-20,5
2023-08-21,7
2023-08-22,5
2023-08-23,6
2023-08-24,4
2023-08-25,6
2023-08-26,4
2023-08-27,5
2023-08-28,4
2023-08-29,4
2023-08-30,5
2023-08-31,8
2023-09-01,5
2023-09-02,4
2023-09-03,4
2023-09-04,4
2023-09-05,4
2023-09-06,9
2023-09-07,5
2023-09-08,4
2023-09-09,5
2023-09-10,3
2023-09-11,4
2023-09-12,4
2023-09-13,4
2023-09-14,4
2023-09-15,4
2023-09-16,4
2023-09-17,4
2023-09-18,4
2023-09-19,4
2023-09-20,5
2023-09-21,4
2023-09-22,5
2023-09-23,3
2023-09-24,4
2023-09-25,5
2023-09-26,5
2023-09-27,6
2023-09-28,6
2023-09-29,7
2023-09-30,5
2023-10-01,6
2023-10-02,6
2023-10-03,7
2023-10-04,7
2023-10-05,22
2023-10-06,8
2023-10-07,11
2023-10-08,6
2023-10-09,5
2023-10-10,14
2023-10-11,10
2023-10-12,5
2023-10-13,6
2023-10-14,6
2023-10-15,5
2023-10-16,5
2023-10-17,5
2023-10-18,6
2023-10-19,6
2023-10-20,8
2023-10-21,13
2023-10-22,6
2023-10-23,9
2023-10-24,11
2023-10-25,25
2023-10-26,100
2023-10-27,25
2023-10-28,51
2023-10-29,14
2023-10-30,17
2023-10-31,35
2023-11-01,21
2023-11-02,43
2023-11-03,27
2023-11-04,61
2023-11-05,23
2023-11-06,44
2023-11-07,33
2023-11-08,19
2023-11-09,37
2023-11-10,18
2023-11-11,52
2023-11-12,20
2023-11-13,28
2023-11-14,18
2023-11-15,39
2023-11-16,32
2023-11-17,12
2023-11-18,24
2023-11-19,42
2023-11-20,26
2023-11-21,12
2023-11-22,15
2023-11-23,45
2023-11-24,11
2023-11-25,15
2023-11-26,39
2023-11-27,10
2023-11-28,18
2023-11-29,64
2023-11-30,19
2023-12-01,20
2023-12-02,32
2023-12-03,44
2023-12-04,12
2023-12-05,11
2023-12-06,14
2023-12-07,37
2023-12-08,13
2023-12-09,29
2023-12-10,12
2023-12-11,14
2023-12-12,33
2023-12-13,47
2023-12-14,20
2023-12-15,29
2023-12-16,14
2023-12-17,25
2023-12-18,15
2023-12-19,25
2023-12-20,17
2023-12-21,33
2023-12-22,20
2023-12-23,29
2023-12-24,28
2023-12-25,27
2023-12-26,68
2023-12-27,25
2023-12-28,48
2023-12-29,26
2023-12-30,18
2023-12-31,29
2024-01-01,15
2024-01-02,26
2024-01-03,15
2024-01-04,29
2024-01-05,20
2024-01-06,33
2024-01-07,23
2024-01-08,31
2024-01-09,20
2024-01-10,34
2024-01-11,22
2024-01-12,38
2024-01-13,21
2024-01-14,24
2024-01-15,30
2024-01-16,14
2024-01-17,23
2024-01-18,44
2024-01-19,15
2024-01-20,20
