Time,kenobi
2022-08-29,56
2022-08-30,51
2022-08-31,57
2022-09-01,63
2022-09-02,52
2022-09-03,45
2022-09-04,59
2022-09-05,62
2022-09-06,45
2022-09-07,55
2022-09-08,74
2022-09-09,79
2022-09-10,84
2022-09-11,71
2022-09-12,47
2022-09-13,38
2022-09-14,58
2022-09-15,52
2022-09-16,50
2022-09-17,63
2022-09-18,52
2022-09-19,47
2022-09-20,48
2022-09-21,65
2022-09-22,60
2022-09-23,52
2022-09-24,70
2022-09-25,73
2022-09-26,55
2022-09-27,54
2022-09-28,57
2022-09-29,56
2022-09-30,45
2022-10-01,58
2022-10-02,54
2022-10-03,43
2022-10-04,48
2022-10-05,53
2022-10-06,53
2022-10-07,52
2022-10-08,56
2022-10-09,47
2022-10-10,39
2022-10-11,37
2022-10-12,57
2022-10-13,58
2022-10-14,50
2022-10-15,59
2022-10-16,61
2022-10-17,46
2022-10-18,45
2022-10-19,46
2022-10-20,46
2022-10-21,45
2022-10-22,54
2022-10-23,52
2022-10-24,42
2022-10-25,50
2022-10-26,56
2022-10-27,56
2022-10-28,49
2022-10-29,46
2022-10-30,37
2022-10-31,47
2022-11-01,41
2022-11-02,45
2022-11-03,38
2022-11-04,45
2022-11-05,56
2022-11-06,48
2022-11-07,40
2022-11-08,37
2022-11-09,40
2022-11-10,39
2022-11-11,39
2022-11-12,43
2022-11-13,44
2022-11-14,36
2022-11-15,34
2022-11-16,33
2022-11-17,41
2022-11-18,32
2022-11-19,31
2022-11-20,37
2022-11-21,34
2022-11-22,36
2022-11-23,39
2022-11-24,50
2022-11-25,44
2022-11-26,48
2022-11-27,40
2022-11-28,32
2022-11-29,35
2022-11-30,40
2022-12-01,41
2022-12-02,32
2022-12-03,40
2022-12-04,42
2022-12-05,38
2022-12-06,35
2022-12-07,38
2022-12-08,42
2022-12-09,40
2022-12-10,46
2022-12-11,44
2022-12-12,39
2022-12-13,35
2022-12-14,37
2022-12-15,34
2022-12-16,34
2022-12-17,39
2022-12-18,44
2022-12-19,35
2022-12-20,38
2022-12-21,36
2022-12-22,44
2022-12-23,34
2022-12-24,43
2022-12-25,50
2022-12-26,41
2022-12-27,39
2022-12-28,38
2022-12-29,42
2022-12-30,38
2022-12-31,36
2023-01-01,43
2023-01-02,43
2023-01-03,29
2023-01-04,38
2023-01-05,39
2023-01-06,40
2023-01-07,40
2023-01-08,42
2023-01-09,37
2023-01-10,34
2023-01-11,32
2023-01-12,37
2023-01-13,39
2023-01-14,36
2023-01-15,38
2023-01-16,42
2023-01-17,42
2023-01-18,36
2023-01-19,37
2023-01-20,59
2023-01-21,47
2023-01-22,38
2023-01-23,46
2023-01-24,37
2023-01-25,33
2023-01-26,32
2023-01-27,42
2023-01-28,37
2023-01-29,33
2023-01-30,26
2023-01-31,26
2023-02-01,26
2023-02-02,25
2023-02-03,27
2023-02-04,36
2023-02-05,38
2023-02-06,27
2023-02-07,26
2023-02-08,25
2023-02-09,26
2023-02-10,28
2023-02-11,27
2023-02-12,31
2023-02-13,24
2023-02-14,23
2023-02-15,22
2023-02-16,23
2023-02-17,23
2023-02-18,29
2023-02-19,30
2023-02-20,27
2023-02-21,25
2023-02-22,23
2023-02-23,25
2023-02-24,24
2023-02-25,28
2023-02-26,30
2023-02-27,27
2023-02-28,25
2023-03-01,24
2023-03-02,27
2023-03-03,22
2023-03-04,37
2023-03-05,34
2023-03-06,27
2023-03-07,26
2023-03-08,25
2023-03-09,32
2023-03-10,27
2023-03-11,30
2023-03-12,34
2023-03-13,27
2023-03-14,24
2023-03-15,23
2023-03-16,25
2023-03-17,25
2023-03-18,26
2023-03-19,34
2023-03-20,27
2023-03-21,28
2023-03-22,25
2023-03-23,28
2023-03-24,30
2023-03-25,33
2023-03-26,32
2023-03-27,30
2023-03-28,27
2023-03-29,29
2023-03-30,33
2023-03-31,32
2023-04-01,32
2023-04-02,36
2023-04-03,33
2023-04-04,30
2023-04-05,29
2023-04-06,31
2023-04-07,38
2023-04-08,39
2023-04-09,53
2023-04-10,43
2023-04-11,38
2023-04-12,33
2023-04-13,32
2023-04-14,30
2023-04-15,36
2023-04-16,39
2023-04-17,28
2023-04-18,31
2023-04-19,30
2023-04-20,34
2023-04-21,28
2023-04-22,39
2023-04-23,37
2023-04-24,33
2023-04-25,29
2023-04-26,31
2023-04-27,28
2023-04-28,33
2023-04-29,34
2023-04-30,42
2023-05-01,38
2023-05-02,41
2023-05-03,44
2023-05-04,100
2023-05-05,72
2023-05-06,59
2023-05-07,56
2023-05-08,50
2023-05-09,45
2023-05-10,39
2023-05-11,40
2023-05-12,38
2023-05-13,46
2023-05-14,46
2023-05-15,44
2023-05-16,39
2023-05-17,34
2023-05-18,35
2023-05-19,37
2023-05-20,39
2023-05-21,35
2023-05-22,33
2023-05-23,30
2023-05-24,31
2023-05-25,33
