Time,kenobi
2025-12-11,27
2025-12-12,28
2025-12-13,28
2025-12-14,37
2025-12-15,35
2025-12-16,27
2025-12-17,33
2025-12-18,30
2025-12-19,25
2025-12-20,26
2025-12-21,23
2025-12-22,31
2025-12-23,26
2025-12-24,34
2025-12-25,39
2025-12-26,34
2025-12-27,36
2025-12-28,37
2025-12-29,27
2025-12-30,38
2025-12-31,32
2026-01-01,33
2026-01-02,35
2026-01-03,43
2026-01-04,32
2026-01-05,29
2026-01-06,28
2026-01-07,28
2026-01-08,34
2026-01-09,32
2026-01-10,31
2026-01-11,33
2026-01-12,32
2026-01-13,28
2026-01-14,29
2026-01-15,30
2026-01-16,28
2026-01-17,31
2026-01-18,43
2026-01-19,31
2026-01-20,31
2026-01-21,25
2026-01-22,26
2026-01-23,28
2026-01-24,44
2026-01-25,39
2026-01-26,34
2026-01-27,37
2026-01-28,28
2026-01-29,29
2026-01-30,33
2026-01-31,38
2026-02-01,44
2026-02-02,37
2026-02-03,28
2026-02-04,26
2026-02-05,33
2026-02-06,32
2026-02-07,31
2026-02-08,37
2026-02-09,27
2026-02-10,24
2026-02-11,28
2026-02-12,37
2026-02-13,23
2026-02-14,32
2026-02-15,33
2026-02-16,34
2026-02-17,25
2026-02-18,34
2026-02-19,29
2026-02-20,32
2026-02-21,34
2026-02-22,26
2026-02-23,31
2026-02-24,27
2026-02-25,28
2026-02-26,27
2026-02-27,32
2026-02-28,37
2026-03-01,33
2026-03-02,29
2026-03-03,26
2026-03-04,27
2026-03-05,25
2026-03-06,25
2026-03-07,31
2026-03-08,31
2026-03-09,32
2026-03-10,26
2026-03-11,26
2026-03-12,23
2026-03-13,29
2026-03-14,36
2026-03-15,34
2026-03-16,40
2026-03-17,32
2026-03-18,28
2026-03-19,32
2026-03-20,34
2026-03-21,36
2026-03-22,30
2026-03-23,31
2026-03-24,28
2026-03-25,37
2026-03-26,34
2026-03-27,29
2026-03-28,40
2026-03-29,39
2026-03-30,32
2026-03-31,35
2026-04-01,32
2026-04-02,39
2026-04-03,29
2026-04-04,35
2026-04-05,41
2026-04-06,33
2026-04-07,38
2026-04-08,31
2026-04-09,35
2026-04-10,34
2026-04-11,37
2026-04-12,43
2026-04-13,37
2026-04-14,33
2026-04-15,31
2026-04-16,33
2026-04-17,36
2026-04-18,35
2026-04-19,46
2026-04-20,38
2026-04-21,38
2026-04-22,39
2026-04-23,34
2026-04-24,31
2026-04-25,44
2026-04-26,46
2026-04-27,34
2026-04-28,34
2026-04-29,38
2026-04-30,38
2026-05-01,40
2026-05-02,41
2026-05-03,59
2026-05-04,100
2026-05-05,90
2026-05-06,67
2026-05-07,63
2026-05-08,58
2026-05-09,70
2026-05-10,73
2026-05-11,68
2026-05-12,53
2026-05-13,59
2026-05-14,61
2026-05-15,52
2026-05-16,66
2026-05-17,61
2026-05-18,53
2026-05-19,47
2026-05-20,47
2026-05-21,50
2026-05-22,58
2026-05-23,58
2026-05-24,80
2026-05-25,78
2026-05-26,61
2026-05-27,54
2026-05-28,56
2026-05-29,49
2026-05-30,62
2026-05-31,61
