Time,kenobi
2023-12-22,29
2023-12-23,36
2023-12-24,42
2023-12-25,87
2023-12-26,39
2023-12-27,35
2023-12-28,38
2023-12-29,37
2023-12-30,35
2023-12-31,36
2024-01-01,44
2024-01-02,37
2024-01-03,43
2024-01-04,32
2024-01-05,34
2024-01-06,36
2024-01-07,38
2024-01-08,34
2024-01-09,31
2024-01-10,32
2024-01-11,35
2024-01-12,22
2024-01-13,39
2024-01-14,36
2024-01-15,33
2024-01-16,30
2024-01-17,30
2024-01-18,33
2024-01-19,32
2024-01-20,36
2024-01-21,39
2024-01-22,29
2024-01-23,31
2024-01-24,35
2024-01-25,25
2024-01-26,31
2024-01-27,36
2024-01-28,34
2024-01-29,30
2024-01-30,27
2024-01-31,24
2024-02-01,26
2024-02-02,28
2024-02-03,35
2024-02-04,41
2024-02-05,30
2024-02-06,30
2024-02-07,29
2024-02-08,33
2024-02-09,48
2024-02-10,57
2024-02-11,49
2024-02-12,28
2024-02-13,35
2024-02-14,27
2024-02-15,30
2024-02-16,29
2024-02-17,39
2024-02-18,43
2024-02-19,34
2024-02-20,23
2024-02-21,31
2024-02-22,31
2024-02-23,29
2024-02-24,39
2024-02-25,33
2024-02-26,29
2024-02-27,25
2024-02-28,28
2024-02-29,30
2024-03-01,30
2024-03-02,38
2024-03-03,38
2024-03-04,28
2024-03-05,32
2024-03-06,36
2024-03-07,34
2024-03-08,31
2024-03-09,40
2024-03-10,29
2024-03-11,30
2024-03-12,32
2024-03-13,33
2024-03-14,30
2024-03-15,29
2024-03-16,34
2024-03-17,31
2024-03-18,27
2024-03-19,32
2024-03-20,30
2024-03-21,27
2024-03-22,31
2024-03-23,32
2024-03-24,31
2024-03-25,34
2024-03-26,33
2024-03-27,28
2024-03-28,25
2024-03-29,30
2024-03-30,31
2024-03-31,43
2024-04-01,30
2024-04-02,28
2024-04-03,32
2024-04-04,23
2024-04-05,29
2024-04-06,37
2024-04-07,28
2024-04-08,31
2024-04-09,30
2024-04-10,27
2024-04-11,27
2024-04-12,28
2024-04-13,30
2024-04-14,35
2024-04-15,26
2024-04-16,27
2024-04-17,29
2024-04-18,23
2024-04-19,26
2024-04-20,31
2024-04-21,35
2024-04-22,27
2024-04-23,27
2024-04-24,24
2024-04-25,28
2024-04-26,29
2024-04-27,35
2024-04-28,36
2024-04-29,24
2024-04-30,34
2024-05-01,37
2024-05-02,39
2024-05-03,50
2024-05-04,97
2024-05-05,100
2024-05-06,59
2024-05-07,49
2024-05-08,41
2024-05-09,43
2024-05-10,42
2024-05-11,40
2024-05-12,44
2024-05-13,39
2024-05-14,38
2024-05-15,34
2024-05-16,35
2024-05-17,41
2024-05-18,36
2024-05-19,38
2024-05-20,37
2024-05-21,34
2024-05-22,37
2024-05-23,36
2024-05-24,34
2024-05-25,37
2024-05-26,45
2024-05-27,37
2024-05-28,38
2024-05-29,33
2024-05-30,31
2024-05-31,31
2024-06-01,42
2024-06-02,40
2024-06-03,35
2024-06-04,37
2024-06-05,38
2024-06-06,37
2024-06-07,37
2024-06-08,41
2024-06-09,37
2024-06-10,39
2024-06-11,39
2024-06-12,38
2024-06-13,39
2024-06-14,38
2024-06-15,35
2024-06-16,45
2024-06-17,33
2024-06-18,28
2024-06-19,30
2024-06-20,34
2024-06-21,35
2024-06-22,31
2024-06-23,40
2024-06-24,30
2024-06-25,33
2024-06-26,34
2024-06-27,32
2024-06-28,33
2024-06-29,27
2024-06-30,37
2024-07-01,28
2024-07-02,27
2024-07-03,34
2024-07-04,31
2024-07-05,24
2024-07-06,32
2024-07-07,36
2024-07-08,33
2024-07-09,34
2024-07-10,29
2024-07-11,29
2024-07-12,27
2024-07-13,28
2024-07-14,23
2024-07-15,29
2024-07-16,26
2024-07-17,24
2024-07-18,27
2024-07-19,27
2024-07-20,31
2024-07-21,28
2024-07-22,23
2024-07-23,25
2024-07-24,30
2024-07-25,28
2024-07-26,19
2024-07-27,34
2024-07-28,25
2024-07-29,25
2024-07-30,21
2024-07-31,24
2024-08-01,32
2024-08-02,27
2024-08-03,30
2024-08-04,29
2024-08-05,23
2024-08-06,21
2024-08-07,25
2024-08-08,28
2024-08-09,28
2024-08-10,35
2024-08-11,28
2024-08-12,24
2024-08-13,24
2024-08-14,25
2024-08-15,21
2024-08-16,19
2024-08-17,25
2024-08-18,30
2024-08-19,25
2024-08-20,34
2024-08-21,29
2024-08-22,24
2024-08-23,23
2024-08-24,22
2024-08-25,30
2024-08-26,21
2024-08-27,28
2024-08-28,26
2024-08-29,26
2024-08-30,26
2024-08-31,19
2024-09-01,39
2024-09-02,35
2024-09-03,26
2024-09-04,21
2024-09-05,23
2024-09-06,22
2024-09-07,24
2024-09-08,32
2024-09-09,33
2024-09-10,32
2024-09-11,21
2024-09-12,31
2024-09-13,30
2024-09-14,31
2024-09-15,28
2024-09-16,33
