Time,nintendo
2023-12-22,43
2023-12-23,50
2023-12-24,50
2023-12-25,100
2023-12-26,75
2023-12-27,51
2023-12-28,43
2023-12-29,41
2023-12-30,42
2023-12-31,40
2024-01-01,44
2024-01-02,32
2024-01-03,30
2024-01-04,27
2024-01-05,26
2024-01-06,34
2024-01-07,34
2024-01-08,23
2024-01-09,22
2024-01-10,21
2024-01-11,21
2024-01-12,23
2024-01-13,32
2024-01-14,31
2024-01-15,28
2024-01-16,23
2024-01-17,21
2024-01-18,19
2024-01-19,23
2024-01-20,31
2024-01-21,30
2024-01-22,22
2024-01-23,21
2024-01-24,20
2024-01-25,20
2024-01-26,21
2024-01-27,28
2024-01-28,30
2024-01-29,18
2024-01-30,19
2024-01-31,17
2024-02-01,19
2024-02-02,19
2024-02-03,27
2024-02-04,27
2024-02-05,18
2024-02-06,17
2024-02-07,17
2024-02-08,16
2024-02-09,16
2024-02-10,28
2024-02-11,24
2024-02-12,16
2024-02-13,18
2024-02-14,17
2024-02-15,18
2024-02-16,19
2024-02-17,27
2024-02-18,30
2024-02-19,24
2024-02-20,19
2024-02-21,26
2024-02-22,19
2024-02-23,19
2024-02-24,25
2024-02-25,26
2024-02-26,17
2024-02-27,16
2024-02-28,17
2024-02-29,16
2024-03-01,16
2024-03-02,24
2024-03-03,26
2024-03-04,18
2024-03-05,16
2024-03-06,18
2024-03-07,36
2024-03-08,21
2024-03-09,28
2024-03-10,29
2024-03-11,19
2024-03-12,15
2024-03-13,17
2024-03-14,16
2024-03-15,17
2024-03-16,23
2024-03-17,24
2024-03-18,18
2024-03-19,15
2024-03-20,15
2024-03-21,15
2024-03-22,16
2024-03-23,24
2024-03-24,25
2024-03-25,18
2024-03-26,16
2024-03-27,16
2024-03-28,16
2024-03-29,19
2024-03-30,22
2024-03-31,25
2024-04-01,18
2024-04-02,16
2024-04-03,16
2024-04-04,15
2024-04-05,16
2024-04-06,19
2024-04-07,22
2024-04-08,15
2024-04-09,14
2024-04-10,14
2024-04-11,14
2024-04-12,15
2024-04-13,18
2024-04-14,20
2024-04-15,14
2024-04-16,14
2024-04-17,15
2024-04-18,17
2024-04-19,17
2024-04-20,23
2024-04-21,24
2024-04-22,16
2024-04-23,15
2024-04-24,15
2024-04-25,15
2024-04-26,16
2024-04-27,22
2024-04-28,23
2024-04-29,17
2024-04-30,15
2024-05-01,14
2024-05-02,14
2024-05-03,17
2024-05-04,22
2024-05-05,22
2024-05-06,15
2024-05-07,17
2024-05-08,16
2024-05-09,16
2024-05-10,16
2024-05-11,21
2024-05-12,20
2024-05-13,17
2024-05-14,15
2024-05-15,15
2024-05-16,16
2024-05-17,15
2024-05-18,21
2024-05-19,22
2024-05-20,15
2024-05-21,16
2024-05-22,15
2024-05-23,16
2024-05-24,17
2024-05-25,22
2024-05-26,22
2024-05-27,24
2024-05-28,17
2024-05-29,17
2024-05-30,16
2024-05-31,16
2024-06-01,23
2024-06-02,23
2024-06-03,18
2024-06-04,16
2024-06-05,18
2024-06-06,16
2024-06-07,19
2024-06-08,22
2024-06-09,24
2024-06-10,21
2024-06-11,19
2024-06-12,18
2024-06-13,18
2024-06-14,19
2024-06-15,21
2024-06-16,23
2024-06-17,23
2024-06-18,41
2024-06-19,28
2024-06-20,21
2024-06-21,20
2024-06-22,24
2024-06-23,23
2024-06-24,19
2024-06-25,16
2024-06-26,16
2024-06-27,17
2024-06-28,19
2024-06-29,23
2024-06-30,22
2024-07-01,19
2024-07-02,19
2024-07-03,18
2024-07-04,21
2024-07-05,20
2024-07-06,21
2024-07-07,25
2024-07-08,17
2024-07-09,18
2024-07-10,19
2024-07-11,19
2024-07-12,17
2024-07-13,22
2024-07-14,22
2024-07-15,17
2024-07-16,20
2024-07-17,21
2024-07-18,19
2024-07-19,20
2024-07-20,23
2024-07-21,23
2024-07-22,18
2024-07-23,22
2024-07-24,18
2024-07-25,18
2024-07-26,18
2024-07-27,21
2024-07-28,21
2024-07-29,18
2024-07-30,17
2024-07-31,16
2024-08-01,16
2024-08-02,18
2024-08-03,20
2024-08-04,23
2024-08-05,18
2024-08-06,16
2024-08-07,17
2024-08-08,16
2024-08-09,18
2024-08-10,21
2024-08-11,22
2024-08-12,16
2024-08-13,16
2024-08-14,15
2024-08-15,16
2024-08-16,15
2024-08-17,21
2024-08-18,22
2024-08-19,17
2024-08-20,17
2024-08-21,24
2024-08-22,16
2024-08-23,15
2024-08-24,22
2024-08-25,21
2024-08-26,16
2024-08-27,20
2024-08-28,15
2024-08-29,15
2024-08-30,15
2024-08-31,20
2024-09-01,24
2024-09-02,23
2024-09-03,15
2024-09-04,14
2024-09-05,13
2024-09-06,13
2024-09-07,19
2024-09-08,19
2024-09-09,14
2024-09-10,14
2024-09-11,14
2024-09-12,14
2024-09-13,14
2024-09-14,21
2024-09-15,20
2024-09-16,14
