Time,nintendo
2023-04-26,20
2023-04-27,19
2023-04-28,21
2023-04-29,31
2023-04-30,31
2023-05-01,23
2023-05-02,21
2023-05-03,20
2023-05-04,21
2023-05-05,23
2023-05-06,29
2023-05-07,30
2023-05-08,22
2023-05-09,21
2023-05-10,23
2023-05-11,24
2023-05-12,34
2023-05-13,39
2023-05-14,37
2023-05-15,28
2023-05-16,26
2023-05-17,25
2023-05-18,31
2023-05-19,26
2023-05-20,32
2023-05-21,34
2023-05-22,24
2023-05-23,23
2023-05-24,22
2023-05-25,23
2023-05-26,25
2023-05-27,31
2023-05-28,30
2023-05-29,32
2023-05-30,23
2023-05-31,24
2023-06-01,23
2023-06-02,24
2023-06-03,30
2023-06-04,31
2023-06-05,24
2023-06-06,23
2023-06-07,22
2023-06-08,23
2023-06-09,24
2023-06-10,28
2023-06-11,30
2023-06-12,24
2023-06-13,22
2023-06-14,22
2023-06-15,21
2023-06-16,24
2023-06-17,28
2023-06-18,28
2023-06-19,27
2023-06-20,26
2023-06-21,43
2023-06-22,28
2023-06-23,27
2023-06-24,30
2023-06-25,30
2023-06-26,24
2023-06-27,23
2023-06-28,23
2023-06-29,22
2023-06-30,24
2023-07-01,26
2023-07-02,29
2023-07-03,25
2023-07-04,27
2023-07-05,24
2023-07-06,23
2023-07-07,22
2023-07-08,27
2023-07-09,29
2023-07-10,22
2023-07-11,25
2023-07-12,24
2023-07-13,22
2023-07-14,21
2023-07-15,26
2023-07-16,28
2023-07-17,21
2023-07-18,20
2023-07-19,21
2023-07-20,20
2023-07-21,21
2023-07-22,25
2023-07-23,26
2023-07-24,20
2023-07-25,20
2023-07-26,19
2023-07-27,20
2023-07-28,21
2023-07-29,25
2023-07-30,24
2023-07-31,25
2023-08-01,20
2023-08-02,20
2023-08-03,20
2023-08-04,21
2023-08-05,25
2023-08-06,25
2023-08-07,21
2023-08-08,19
2023-08-09,19
2023-08-10,18
2023-08-11,19
2023-08-12,24
2023-08-13,25
2023-08-14,19
2023-08-15,17
2023-08-16,19
2023-08-17,18
2023-08-18,17
2023-08-19,23
2023-08-20,24
2023-08-21,18
2023-08-22,17
2023-08-23,16
2023-08-24,16
2023-08-25,17
2023-08-26,22
2023-08-27,24
2023-08-28,16
2023-08-29,16
2023-08-30,16
2023-08-31,17
2023-09-01,19
2023-09-02,25
2023-09-03,27
2023-09-04,27
2023-09-05,17
2023-09-06,17
2023-09-07,16
2023-09-08,16
2023-09-09,24
2023-09-10,23
2023-09-11,16
2023-09-12,16
2023-09-13,19
2023-09-14,29
2023-09-15,19
2023-09-16,23
2023-09-17,25
2023-09-18,17
2023-09-19,16
2023-09-20,16
2023-09-21,15
2023-09-22,17
2023-09-23,23
2023-09-24,24
2023-09-25,16
2023-09-26,14
2023-09-27,15
2023-09-28,15
2023-09-29,15
2023-09-30,21
2023-10-01,22
2023-10-02,15
2023-10-03,15
2023-10-04,13
2023-10-05,14
2023-10-06,15
2023-10-07,22
2023-10-08,22
2023-10-09,17
2023-10-10,18
2023-10-11,15
2023-10-12,17
2023-10-13,16
2023-10-14,22
2023-10-15,24
2023-10-16,17
2023-10-17,17
2023-10-18,17
2023-10-19,18
2023-10-20,21
2023-10-21,25
2023-10-22,25
2023-10-23,17
2023-10-24,16
2023-10-25,18
2023-10-26,16
2023-10-27,17
2023-10-28,22
2023-10-29,22
2023-10-30,18
2023-10-31,15
2023-11-01,16
2023-11-02,17
2023-11-03,19
2023-11-04,27
2023-11-05,29
2023-11-06,21
2023-11-07,22
2023-11-08,21
2023-11-09,21
2023-11-10,25
2023-11-11,31
2023-11-12,31
2023-11-13,24
2023-11-14,24
2023-11-15,24
2023-11-16,24
2023-11-17,27
2023-11-18,35
2023-11-19,41
2023-11-20,34
2023-11-21,37
2023-11-22,39
2023-11-23,51
2023-11-24,80
2023-11-25,61
2023-11-26,50
2023-11-27,43
2023-11-28,33
2023-11-29,26
2023-11-30,25
2023-12-01,26
2023-12-02,36
2023-12-03,38
2023-12-04,30
2023-12-05,29
2023-12-06,26
2023-12-07,29
2023-12-08,31
2023-12-09,40
2023-12-10,41
2023-12-11,31
2023-12-12,32
2023-12-13,32
2023-12-14,33
2023-12-15,32
2023-12-16,42
2023-12-17,44
2023-12-18,33
2023-12-19,33
2023-12-20,34
2023-12-21,38
2023-12-22,43
2023-12-23,50
2023-12-24,50
2023-12-25,100
2023-12-26,75
2023-12-27,51
2023-12-28,43
2023-12-29,41
2023-12-30,42
2023-12-31,40
2024-01-01,44
2024-01-02,32
2024-01-03,30
2024-01-04,27
2024-01-05,26
2024-01-06,34
2024-01-07,34
2024-01-08,23
2024-01-09,22
2024-01-10,21
2024-01-11,21
2024-01-12,23
2024-01-13,32
2024-01-14,31
2024-01-15,28
2024-01-16,23
2024-01-17,21
2024-01-18,19
2024-01-19,23
2024-01-20,31
