Time,nintendo
2022-01-01,100
2022-01-02,95
2022-01-03,74
2022-01-04,67
2022-01-05,57
2022-01-06,48
2022-01-07,63
2022-01-08,87
2022-01-09,85
2022-01-10,53
2022-01-11,52
2022-01-12,52
2022-01-13,56
2022-01-14,43
2022-01-15,75
2022-01-16,68
2022-01-17,59
2022-01-18,48
2022-01-19,47
2022-01-20,46
2022-01-21,52
2022-01-22,71
2022-01-23,72
2022-01-24,62
2022-01-25,44
2022-01-26,41
2022-01-27,42
2022-01-28,56
2022-01-29,76
2022-01-30,75
2022-01-31,55
2022-02-01,46
2022-02-02,47
2022-02-03,54
2022-02-04,54
2022-02-05,71
2022-02-06,76
2022-02-07,53
2022-02-08,59
2022-02-09,94
2022-02-10,89
2022-02-11,65
2022-02-12,80
2022-02-13,74
2022-02-14,48
2022-02-15,49
2022-02-16,56
2022-02-17,53
2022-02-18,61
2022-02-19,80
2022-02-20,79
2022-02-21,65
2022-02-22,52
2022-02-23,50
2022-02-24,49
2022-02-25,51
2022-02-26,66
2022-02-27,78
2022-02-28,57
2022-03-01,51
2022-03-02,47
2022-03-03,48
2022-03-04,54
2022-03-05,68
2022-03-06,73
2022-03-07,53
2022-03-08,49
2022-03-09,48
2022-03-10,52
2022-03-11,58
2022-03-12,74
2022-03-13,70
2022-03-14,51
2022-03-15,50
2022-03-16,47
2022-03-17,49
2022-03-18,53
2022-03-19,63
2022-03-20,71
2022-03-21,46
2022-03-22,50
2022-03-23,46
2022-03-24,44
2022-03-25,45
2022-03-26,64
2022-03-27,68
2022-03-28,44
2022-03-29,44
2022-03-30,45
2022-03-31,44
2022-04-01,45
2022-04-02,62
2022-04-03,67
2022-04-04,43
2022-04-05,47
2022-04-06,45
2022-04-07,46
2022-04-08,46
2022-04-09,63
2022-04-10,63
2022-04-11,48
2022-04-12,46
2022-04-13,41
2022-04-14,49
2022-04-15,53
2022-04-16,63
2022-04-17,70
2022-04-18,51
2022-04-19,47
2022-04-20,44
2022-04-21,43
2022-04-22,45
2022-04-23,57
2022-04-24,62
2022-04-25,45
2022-04-26,41
2022-04-27,41
2022-04-28,42
2022-04-29,51
2022-04-30,74
2022-05-01,70
2022-05-02,48
2022-05-03,43
2022-05-04,42
2022-05-05,41
2022-05-06,42
2022-05-07,60
2022-05-08,64
2022-05-09,41
2022-05-10,40
2022-05-11,44
2022-05-12,40
2022-05-13,42
2022-05-14,57
2022-05-15,56
2022-05-16,43
2022-05-17,41
2022-05-18,38
2022-05-19,41
2022-05-20,48
2022-05-21,62
2022-05-22,61
2022-05-23,43
2022-05-24,43
2022-05-25,38
2022-05-26,41
2022-05-27,47
2022-05-28,56
2022-05-29,61
2022-05-30,59
2022-05-31,44
2022-06-01,46
2022-06-02,45
2022-06-03,46
2022-06-04,56
2022-06-05,64
2022-06-06,48
2022-06-07,48
2022-06-08,53
2022-06-09,52
2022-06-10,52
2022-06-11,60
2022-06-12,67
2022-06-13,53
2022-06-14,51
2022-06-15,50
2022-06-16,49
2022-06-17,52
2022-06-18,60
2022-06-19,66
2022-06-20,57
2022-06-21,50
2022-06-22,55
2022-06-23,52
2022-06-24,52
2022-06-25,64
2022-06-26,63
2022-06-27,63
2022-06-28,64
2022-06-29,56
2022-06-30,59
2022-07-01,54
2022-07-02,61
2022-07-03,58
2022-07-04,61
2022-07-05,52
2022-07-06,50
2022-07-07,52
2022-07-08,54
2022-07-09,61
2022-07-10,66
2022-07-11,54
2022-07-12,54
2022-07-13,53
2022-07-14,50
2022-07-15,52
2022-07-16,61
2022-07-17,66
2022-07-18,53
2022-07-19,49
2022-07-20,50
2022-07-21,48
2022-07-22,50
2022-07-23,60
2022-07-24,62
2022-07-25,50
2022-07-26,49
2022-07-27,45
2022-07-28,51
2022-07-29,54
2022-07-30,55
2022-07-31,63
2022-08-01,51
2022-08-02,48
2022-08-03,48
2022-08-04,47
2022-08-05,50
2022-08-06,59
2022-08-07,62
2022-08-08,49
2022-08-09,44
2022-08-10,44
2022-08-11,46
2022-08-12,49
2022-08-13,54
2022-08-14,63
2022-08-15,44
2022-08-16,44
2022-08-17,45
2022-08-18,42
2022-08-19,45
2022-08-20,57
2022-08-21,60
2022-08-22,40
2022-08-23,41
2022-08-24,40
2022-08-25,41
2022-08-26,44
2022-08-27,56
2022-08-28,55
2022-08-29,40
2022-08-30,37
2022-08-31,36
2022-09-01,37
2022-09-02,39
2022-09-03,53
2022-09-04,58
2022-09-05,59
2022-09-06,39
2022-09-07,37
2022-09-08,37
2022-09-09,43
2022-09-10,55
2022-09-11,57
2022-09-12,48
2022-09-13,81
2022-09-14,53
2022-09-15,42
2022-09-16,42
2022-09-17,58
2022-09-18,59
2022-09-19,42
2022-09-20,36
2022-09-21,35
2022-09-22,35
2022-09-23,36
2022-09-24,50
2022-09-25,55
2022-09-26,38
2022-09-27,33
