Time,kahoot
2023-12-22,31
2023-12-23,5
2023-12-24,5
2023-12-25,7
2023-12-26,4
2023-12-27,3
2023-12-28,3
2023-12-29,3
2023-12-30,3
2023-12-31,3
2024-01-01,5
2024-01-02,16
2024-01-03,31
2024-01-04,38
2024-01-05,44
2024-01-06,4
2024-01-07,4
2024-01-08,47
2024-01-09,45
2024-01-10,54
2024-01-11,64
2024-01-12,62
2024-01-13,5
2024-01-14,4
2024-01-15,5
2024-01-16,34
2024-01-17,48
2024-01-18,60
2024-01-19,56
2024-01-20,5
2024-01-21,5
2024-01-22,52
2024-01-23,54
2024-01-24,61
2024-01-25,68
2024-01-26,74
2024-01-27,8
2024-01-28,5
2024-01-29,54
2024-01-30,64
2024-01-31,64
2024-02-01,69
2024-02-02,72
2024-02-03,7
2024-02-04,6
2024-02-05,53
2024-02-06,60
2024-02-07,64
2024-02-08,72
2024-02-09,74
2024-02-10,7
2024-02-11,6
2024-02-12,49
2024-02-13,55
2024-02-14,66
2024-02-15,66
2024-02-16,58
2024-02-17,6
2024-02-18,5
2024-02-19,16
2024-02-20,48
2024-02-21,54
2024-02-22,63
2024-02-23,63
2024-02-24,7
2024-02-25,6
2024-02-26,53
2024-02-27,57
2024-02-28,61
2024-02-29,68
2024-03-01,67
2024-03-02,6
2024-03-03,6
2024-03-04,56
2024-03-05,59
2024-03-06,63
2024-03-07,67
2024-03-08,66
2024-03-09,7
2024-03-10,6
2024-03-11,41
2024-03-12,47
2024-03-13,48
2024-03-14,54
2024-03-15,52
2024-03-16,5
2024-03-17,5
2024-03-18,48
2024-03-19,52
2024-03-20,56
2024-03-21,58
2024-03-22,61
2024-03-23,6
2024-03-24,5
2024-03-25,43
2024-03-26,46
2024-03-27,50
2024-03-28,50
2024-03-29,17
2024-03-30,4
2024-03-31,4
2024-04-01,27
2024-04-02,42
2024-04-03,45
2024-04-04,49
2024-04-05,54
2024-04-06,5
2024-04-07,5
2024-04-08,46
2024-04-09,61
2024-04-10,51
2024-04-11,66
2024-04-12,71
2024-04-13,6
2024-04-14,5
2024-04-15,58
2024-04-16,59
2024-04-17,64
2024-04-18,67
2024-04-19,73
2024-04-20,5
2024-04-21,6
2024-04-22,60
2024-04-23,59
2024-04-24,62
2024-04-25,69
2024-04-26,65
2024-04-27,6
2024-04-28,5
2024-04-29,60
2024-04-30,62
2024-05-01,61
2024-05-02,68
2024-05-03,76
2024-05-04,5
2024-05-05,5
2024-05-06,59
2024-05-07,61
2024-05-08,60
2024-05-09,64
2024-05-10,61
2024-05-11,5
2024-05-12,4
2024-05-13,61
2024-05-14,61
2024-05-15,60
2024-05-16,64
2024-05-17,59
2024-05-18,5
2024-05-19,5
2024-05-20,56
2024-05-21,58
2024-05-22,49
2024-05-23,49
2024-05-24,38
2024-05-25,5
2024-05-26,4
2024-05-27,4
2024-05-28,33
2024-05-29,34
2024-05-30,36
2024-05-31,31
2024-06-01,4
2024-06-02,4
2024-06-03,28
2024-06-04,30
2024-06-05,31
2024-06-06,27
2024-06-07,22
2024-06-08,4
2024-06-09,4
2024-06-10,20
2024-06-11,23
2024-06-12,19
2024-06-13,20
2024-06-14,13
2024-06-15,3
2024-06-16,3
2024-06-17,12
2024-06-18,13
2024-06-19,6
2024-06-20,11
2024-06-21,9
2024-06-22,3
2024-06-23,3
2024-06-24,9
2024-06-25,10
2024-06-26,9
2024-06-27,8
2024-06-28,6
2024-06-29,3
2024-06-30,2
2024-07-01,5
2024-07-02,5
2024-07-03,6
2024-07-04,2
2024-07-05,3
2024-07-06,2
2024-07-07,2
2024-07-08,6
2024-07-09,7
2024-07-10,8
2024-07-11,8
2024-07-12,6
2024-07-13,3
2024-07-14,2
2024-07-15,6
2024-07-16,7
2024-07-17,7
2024-07-18,7
2024-07-19,5
2024-07-20,3
2024-07-21,3
2024-07-22,6
2024-07-23,7
2024-07-24,7
2024-07-25,8
2024-07-26,7
2024-07-27,3
2024-07-28,3
2024-07-29,6
2024-07-30,7
2024-07-31,8
2024-08-01,9
2024-08-02,9
2024-08-03,3
2024-08-04,3
2024-08-05,10
2024-08-06,12
2024-08-07,15
2024-08-08,19
2024-08-09,21
2024-08-10,3
2024-08-11,3
2024-08-12,21
2024-08-13,27
2024-08-14,37
2024-08-15,50
2024-08-16,60
2024-08-17,4
2024-08-18,4
2024-08-19,41
2024-08-20,51
2024-08-21,54
2024-08-22,68
2024-08-23,82
2024-08-24,5
2024-08-25,5
2024-08-26,60
2024-08-27,66
2024-08-28,73
2024-08-29,85
2024-08-30,78
2024-08-31,4
2024-09-01,4
2024-09-02,4
2024-09-03,63
2024-09-04,76
2024-09-05,92
2024-09-06,100
2024-09-07,5
2024-09-08,5
2024-09-09,70
2024-09-10,72
2024-09-11,72
2024-09-12,88
2024-09-13,95
2024-09-14,5
2024-09-15,5
2024-09-16,66
