Time,kahoot
2023-04-26,64
2023-04-27,73
2023-04-28,75
2023-04-29,7
2023-04-30,7
2023-05-01,65
2023-05-02,63
2023-05-03,63
2023-05-04,66
2023-05-05,66
2023-05-06,6
2023-05-07,6
2023-05-08,58
2023-05-09,57
2023-05-10,60
2023-05-11,63
2023-05-12,63
2023-05-13,6
2023-05-14,5
2023-05-15,60
2023-05-16,61
2023-05-17,61
2023-05-18,65
2023-05-19,60
2023-05-20,6
2023-05-21,6
2023-05-22,55
2023-05-23,53
2023-05-24,49
2023-05-25,46
2023-05-26,37
2023-05-27,5
2023-05-28,4
2023-05-29,4
2023-05-30,34
2023-05-31,35
2023-06-01,33
2023-06-02,32
2023-06-03,5
2023-06-04,4
2023-06-05,27
2023-06-06,28
2023-06-07,29
2023-06-08,26
2023-06-09,22
2023-06-10,4
2023-06-11,4
2023-06-12,22
2023-06-13,20
2023-06-14,18
2023-06-15,17
2023-06-16,12
2023-06-17,4
2023-06-18,3
2023-06-19,6
2023-06-20,12
2023-06-21,12
2023-06-22,10
2023-06-23,8
2023-06-24,3
2023-06-25,3
2023-06-26,8
2023-06-27,8
2023-06-28,9
2023-06-29,8
2023-06-30,7
2023-07-01,2
2023-07-02,2
2023-07-03,4
2023-07-04,2
2023-07-05,5
2023-07-06,6
2023-07-07,5
2023-07-08,3
2023-07-09,3
2023-07-10,6
2023-07-11,7
2023-07-12,8
2023-07-13,8
2023-07-14,6
2023-07-15,2
2023-07-16,2
2023-07-17,6
2023-07-18,8
2023-07-19,7
2023-07-20,9
2023-07-21,6
2023-07-22,3
2023-07-23,2
2023-07-24,6
2023-07-25,8
2023-07-26,7
2023-07-27,8
2023-07-28,7
2023-07-29,3
2023-07-30,2
2023-07-31,6
2023-08-01,8
2023-08-02,9
2023-08-03,12
2023-08-04,13
2023-08-05,3
2023-08-06,3
2023-08-07,12
2023-08-08,16
2023-08-09,18
2023-08-10,24
2023-08-11,33
2023-08-12,3
2023-08-13,4
2023-08-14,24
2023-08-15,33
2023-08-16,43
2023-08-17,57
2023-08-18,65
2023-08-19,4
2023-08-20,4
2023-08-21,44
2023-08-22,51
2023-08-23,59
2023-08-24,72
2023-08-25,76
2023-08-26,4
2023-08-27,5
2023-08-28,57
2023-08-29,64
2023-08-30,68
2023-08-31,80
2023-09-01,80
2023-09-02,4
2023-09-03,3
2023-09-04,4
2023-09-05,66
2023-09-06,78
2023-09-07,86
2023-09-08,100
2023-09-09,5
2023-09-10,5
2023-09-11,65
2023-09-12,74
2023-09-13,83
2023-09-14,92
2023-09-15,98
2023-09-16,6
2023-09-17,6
2023-09-18,68
2023-09-19,81
2023-09-20,84
2023-09-21,92
2023-09-22,98
2023-09-23,6
2023-09-24,6
2023-09-25,56
2023-09-26,75
2023-09-27,84
2023-09-28,93
2023-09-29,98
2023-09-30,6
2023-10-01,6
2023-10-02,67
2023-10-03,74
2023-10-04,77
2023-10-05,88
2023-10-06,81
2023-10-07,6
2023-10-08,6
2023-10-09,40
2023-10-10,62
2023-10-11,62
2023-10-12,71
2023-10-13,67
2023-10-14,6
2023-10-15,6
2023-10-16,57
2023-10-17,65
2023-10-18,67
2023-10-19,76
2023-10-20,74
2023-10-21,7
2023-10-22,6
2023-10-23,64
2023-10-24,67
2023-10-25,70
2023-10-26,76
2023-10-27,76
2023-10-28,6
2023-10-29,6
2023-10-30,60
2023-10-31,88
2023-11-01,58
2023-11-02,65
2023-11-03,65
2023-11-04,6
2023-11-05,6
2023-11-06,56
2023-11-07,52
2023-11-08,60
2023-11-09,67
2023-11-10,40
2023-11-11,6
2023-11-12,6
2023-11-13,54
2023-11-14,59
2023-11-15,66
2023-11-16,70
2023-11-17,78
2023-11-18,8
2023-11-19,7
2023-11-20,41
2023-11-21,49
2023-11-22,20
2023-11-23,5
2023-11-24,5
2023-11-25,4
2023-11-26,4
2023-11-27,47
2023-11-28,56
2023-11-29,60
2023-11-30,65
2023-12-01,71
2023-12-02,7
2023-12-03,6
2023-12-04,55
2023-12-05,59
2023-12-06,63
2023-12-07,67
2023-12-08,70
2023-12-09,7
2023-12-10,6
2023-12-11,59
2023-12-12,64
2023-12-13,67
2023-12-14,80
2023-12-15,77
2023-12-16,7
2023-12-17,7
2023-12-18,61
2023-12-19,61
2023-12-20,54
2023-12-21,46
2023-12-22,31
2023-12-23,5
2023-12-24,5
2023-12-25,7
2023-12-26,4
2023-12-27,3
2023-12-28,3
2023-12-29,3
2023-12-30,3
2023-12-31,3
2024-01-01,5
2024-01-02,16
2024-01-03,31
2024-01-04,38
2024-01-05,43
2024-01-06,4
2024-01-07,4
2024-01-08,46
2024-01-09,45
2024-01-10,53
2024-01-11,64
2024-01-12,61
2024-01-13,5
2024-01-14,4
2024-01-15,5
2024-01-16,34
2024-01-17,48
2024-01-18,60
2024-01-19,56
2024-01-20,5
