Time,adele
2023-12-22,20
2023-12-23,24
2023-12-24,23
2023-12-25,25
2023-12-26,21
2023-12-27,20
2023-12-28,22
2023-12-29,22
2023-12-30,23
2023-12-31,23
2024-01-01,27
2024-01-02,20
2024-01-03,20
2024-01-04,20
2024-01-05,21
2024-01-06,22
2024-01-07,25
2024-01-08,19
2024-01-09,18
2024-01-10,21
2024-01-11,20
2024-01-12,21
2024-01-13,25
2024-01-14,25
2024-01-15,25
2024-01-16,29
2024-01-17,23
2024-01-18,20
2024-01-19,24
2024-01-20,29
2024-01-21,27
2024-01-22,21
2024-01-23,20
2024-01-24,23
2024-01-25,22
2024-01-26,23
2024-01-27,25
2024-01-28,27
2024-01-29,19
2024-01-30,23
2024-01-31,30
2024-02-01,28
2024-02-02,36
2024-02-03,32
2024-02-04,35
2024-02-05,31
2024-02-06,29
2024-02-07,30
2024-02-08,26
2024-02-09,25
2024-02-10,32
2024-02-11,45
2024-02-12,34
2024-02-13,25
2024-02-14,24
2024-02-15,24
2024-02-16,24
2024-02-17,30
2024-02-18,34
2024-02-19,31
2024-02-20,25
2024-02-21,23
2024-02-22,24
2024-02-23,24
2024-02-24,31
2024-02-25,31
2024-02-26,23
2024-02-27,20
2024-02-28,39
2024-02-29,27
2024-03-01,23
2024-03-02,28
2024-03-03,28
2024-03-04,21
2024-03-05,20
2024-03-06,18
2024-03-07,18
2024-03-08,21
2024-03-09,21
2024-03-10,20
2024-03-11,18
2024-03-12,18
2024-03-13,18
2024-03-14,19
2024-03-15,19
2024-03-16,23
2024-03-17,25
2024-03-18,20
2024-03-19,20
2024-03-20,20
2024-03-21,18
2024-03-22,18
2024-03-23,20
2024-03-24,19
2024-03-25,16
2024-03-26,16
2024-03-27,17
2024-03-28,19
2024-03-29,19
2024-03-30,19
2024-03-31,20
2024-04-01,18
2024-04-02,18
2024-04-03,18
2024-04-04,19
2024-04-05,17
2024-04-06,19
2024-04-07,18
2024-04-08,15
2024-04-09,16
2024-04-10,16
2024-04-11,16
2024-04-12,17
2024-04-13,17
2024-04-14,18
2024-04-15,16
2024-04-16,15
2024-04-17,15
2024-04-18,16
2024-04-19,17
2024-04-20,23
2024-04-21,22
2024-04-22,19
2024-04-23,20
2024-04-24,18
2024-04-25,17
2024-04-26,18
2024-04-27,19
2024-04-28,21
2024-04-29,19
2024-04-30,16
2024-05-01,15
2024-05-02,15
2024-05-03,17
2024-05-04,17
2024-05-05,21
2024-05-06,39
2024-05-07,21
2024-05-08,19
2024-05-09,18
2024-05-10,19
2024-05-11,19
2024-05-12,19
2024-05-13,18
2024-05-14,17
2024-05-15,17
2024-05-16,17
2024-05-17,19
2024-05-18,20
2024-05-19,26
2024-05-20,25
2024-05-21,19
2024-05-22,20
2024-05-23,20
2024-05-24,19
2024-05-25,23
2024-05-26,24
2024-05-27,31
2024-05-28,21
2024-05-29,18
2024-05-30,18
2024-05-31,19
2024-06-01,25
2024-06-02,38
2024-06-03,30
2024-06-04,24
2024-06-05,21
2024-06-06,20
2024-06-07,20
2024-06-08,24
2024-06-09,22
2024-06-10,20
2024-06-11,20
2024-06-12,18
2024-06-13,20
2024-06-14,19
2024-06-15,25
2024-06-16,30
2024-06-17,22
2024-06-18,21
2024-06-19,20
2024-06-20,18
2024-06-21,19
2024-06-22,21
2024-06-23,22
2024-06-24,16
2024-06-25,16
2024-06-26,16
2024-06-27,17
2024-06-28,17
2024-06-29,19
2024-06-30,18
2024-07-01,15
2024-07-02,16
2024-07-03,15
2024-07-04,17
2024-07-05,16
2024-07-06,17
2024-07-07,19
2024-07-08,14
2024-07-09,16
2024-07-10,15
2024-07-11,15
2024-07-12,16
2024-07-13,19
2024-07-14,16
2024-07-15,14
2024-07-16,16
2024-07-17,22
2024-07-18,19
2024-07-19,17
2024-07-20,18
2024-07-21,18
2024-07-22,14
2024-07-23,15
2024-07-24,13
2024-07-25,15
2024-07-26,18
2024-07-27,18
2024-07-28,18
2024-07-29,15
2024-07-30,14
2024-07-31,16
2024-08-01,15
2024-08-02,18
2024-08-03,33
2024-08-04,48
2024-08-05,44
2024-08-06,40
2024-08-07,34
2024-08-08,30
2024-08-09,36
2024-08-10,42
2024-08-11,33
2024-08-12,24
2024-08-13,23
2024-08-14,22
2024-08-15,25
2024-08-16,27
2024-08-17,33
2024-08-18,33
2024-08-19,27
2024-08-20,25
2024-08-21,24
2024-08-22,22
2024-08-23,21
2024-08-24,27
2024-08-25,29
2024-08-26,24
2024-08-27,24
2024-08-28,23
2024-08-29,20
2024-08-30,21
2024-08-31,21
2024-09-01,55
2024-09-02,100
2024-09-03,68
2024-09-04,60
2024-09-05,51
2024-09-06,39
2024-09-07,33
2024-09-08,33
2024-09-09,25
2024-09-10,21
2024-09-11,20
2024-09-12,23
2024-09-13,21
2024-09-14,24
2024-09-15,23
2024-09-16,19
