Time,starbucks
2023-12-22,39
2023-12-23,42
2023-12-24,57
2023-12-25,100
2023-12-26,42
2023-12-27,36
2023-12-28,37
2023-12-29,35
2023-12-30,35
2023-12-31,39
2024-01-01,46
2024-01-02,34
2024-01-03,47
2024-01-04,43
2024-01-05,41
2024-01-06,42
2024-01-07,36
2024-01-08,28
2024-01-09,28
2024-01-10,27
2024-01-11,28
2024-01-12,27
2024-01-13,31
2024-01-14,31
2024-01-15,27
2024-01-16,24
2024-01-17,26
2024-01-18,26
2024-01-19,25
2024-01-20,31
2024-01-21,30
2024-01-22,24
2024-01-23,24
2024-01-24,24
2024-01-25,24
2024-01-26,25
2024-01-27,30
2024-01-28,29
2024-01-29,23
2024-01-30,25
2024-01-31,26
2024-02-01,26
2024-02-02,24
2024-02-03,29
2024-02-04,29
2024-02-05,22
2024-02-06,22
2024-02-07,22
2024-02-08,23
2024-02-09,24
2024-02-10,30
2024-02-11,26
2024-02-12,19
2024-02-13,22
2024-02-14,26
2024-02-15,23
2024-02-16,25
2024-02-17,28
2024-02-18,28
2024-02-19,25
2024-02-20,23
2024-02-21,22
2024-02-22,23
2024-02-23,23
2024-02-24,28
2024-02-25,27
2024-02-26,22
2024-02-27,21
2024-02-28,21
2024-02-29,23
2024-03-01,25
2024-03-02,28
2024-03-03,28
2024-03-04,22
2024-03-05,23
2024-03-06,23
2024-03-07,28
2024-03-08,26
2024-03-09,31
2024-03-10,31
2024-03-11,24
2024-03-12,23
2024-03-13,25
2024-03-14,27
2024-03-15,25
2024-03-16,29
2024-03-17,29
2024-03-18,23
2024-03-19,23
2024-03-20,23
2024-03-21,26
2024-03-22,24
2024-03-23,29
2024-03-24,29
2024-03-25,22
2024-03-26,22
2024-03-27,23
2024-03-28,24
2024-03-29,29
2024-03-30,30
2024-03-31,43
2024-04-01,23
2024-04-02,22
2024-04-03,24
2024-04-04,23
2024-04-05,24
2024-04-06,28
2024-04-07,27
2024-04-08,20
2024-04-09,23
2024-04-10,24
2024-04-11,24
2024-04-12,24
2024-04-13,27
2024-04-14,28
2024-04-15,22
2024-04-16,23
2024-04-17,23
2024-04-18,26
2024-04-19,25
2024-04-20,30
2024-04-21,30
2024-04-22,23
2024-04-23,23
2024-04-24,23
2024-04-25,27
2024-04-26,24
2024-04-27,28
2024-04-28,29
2024-04-29,22
2024-04-30,23
2024-05-01,25
2024-05-02,27
2024-05-03,26
2024-05-04,28
2024-05-05,27
2024-05-06,25
2024-05-07,32
2024-05-08,33
2024-05-09,32
2024-05-10,33
2024-05-11,36
2024-05-12,43
2024-05-13,27
2024-05-14,26
2024-05-15,24
2024-05-16,24
2024-05-17,28
2024-05-18,28
2024-05-19,30
2024-05-20,24
2024-05-21,23
2024-05-22,23
2024-05-23,24
2024-05-24,28
2024-05-25,30
2024-05-26,29
2024-05-27,31
2024-05-28,24
2024-05-29,25
2024-05-30,24
2024-05-31,29
2024-06-01,29
2024-06-02,28
2024-06-03,23
2024-06-04,22
2024-06-05,24
2024-06-06,24
2024-06-07,29
2024-06-08,28
2024-06-09,27
2024-06-10,24
2024-06-11,24
2024-06-12,25
2024-06-13,25
2024-06-14,25
2024-06-15,27
2024-06-16,30
2024-06-17,24
2024-06-18,23
2024-06-19,25
2024-06-20,23
2024-06-21,25
2024-06-22,30
2024-06-23,29
2024-06-24,24
2024-06-25,26
2024-06-26,26
2024-06-27,26
2024-06-28,29
2024-06-29,28
2024-06-30,30
2024-07-01,25
2024-07-02,25
2024-07-03,24
2024-07-04,34
2024-07-05,26
2024-07-06,26
2024-07-07,25
2024-07-08,23
2024-07-09,25
2024-07-10,28
2024-07-11,27
2024-07-12,27
2024-07-13,26
2024-07-14,24
2024-07-15,22
2024-07-16,24
2024-07-17,24
2024-07-18,26
2024-07-19,38
2024-07-20,30
2024-07-21,27
2024-07-22,23
2024-07-23,26
2024-07-24,24
2024-07-25,25
2024-07-26,24
2024-07-27,26
2024-07-28,25
2024-07-29,23
2024-07-30,33
2024-07-31,25
2024-08-01,25
2024-08-02,26
2024-08-03,27
2024-08-04,27
2024-08-05,24
2024-08-06,26
2024-08-07,26
2024-08-08,25
2024-08-09,27
2024-08-10,28
2024-08-11,28
2024-08-12,24
2024-08-13,31
2024-08-14,29
2024-08-15,28
2024-08-16,29
2024-08-17,30
2024-08-18,30
2024-08-19,27
2024-08-20,28
2024-08-21,31
2024-08-22,45
2024-08-23,41
2024-08-24,40
2024-08-25,37
2024-08-26,29
2024-08-27,28
2024-08-28,26
2024-08-29,25
2024-08-30,28
2024-08-31,33
2024-09-01,31
2024-09-02,33
2024-09-03,23
2024-09-04,24
2024-09-05,23
2024-09-06,25
2024-09-07,31
2024-09-08,29
2024-09-09,24
2024-09-10,24
2024-09-11,23
2024-09-12,25
2024-09-13,26
2024-09-14,32
2024-09-15,28
2024-09-16,23
