Time,starbucks
2023-04-26,28
2023-04-27,26
2023-04-28,27
2023-04-29,35
2023-04-30,36
2023-05-01,27
2023-05-02,27
2023-05-03,28
2023-05-04,29
2023-05-05,28
2023-05-06,35
2023-05-07,35
2023-05-08,27
2023-05-09,33
2023-05-10,30
2023-05-11,31
2023-05-12,32
2023-05-13,36
2023-05-14,38
2023-05-15,27
2023-05-16,28
2023-05-17,27
2023-05-18,29
2023-05-19,31
2023-05-20,36
2023-05-21,38
2023-05-22,27
2023-05-23,27
2023-05-24,27
2023-05-25,28
2023-05-26,31
2023-05-27,35
2023-05-28,36
2023-05-29,36
2023-05-30,27
2023-05-31,28
2023-06-01,29
2023-06-02,30
2023-06-03,34
2023-06-04,33
2023-06-05,28
2023-06-06,27
2023-06-07,27
2023-06-08,27
2023-06-09,29
2023-06-10,33
2023-06-11,33
2023-06-12,28
2023-06-13,28
2023-06-14,30
2023-06-15,32
2023-06-16,32
2023-06-17,36
2023-06-18,35
2023-06-19,30
2023-06-20,28
2023-06-21,29
2023-06-22,29
2023-06-23,31
2023-06-24,34
2023-06-25,34
2023-06-26,28
2023-06-27,29
2023-06-28,29
2023-06-29,29
2023-06-30,31
2023-07-01,34
2023-07-02,34
2023-07-03,30
2023-07-04,42
2023-07-05,27
2023-07-06,30
2023-07-07,30
2023-07-08,37
2023-07-09,31
2023-07-10,28
2023-07-11,28
2023-07-12,27
2023-07-13,28
2023-07-14,31
2023-07-15,33
2023-07-16,31
2023-07-17,26
2023-07-18,28
2023-07-19,33
2023-07-20,30
2023-07-21,30
2023-07-22,32
2023-07-23,34
2023-07-24,27
2023-07-25,27
2023-07-26,33
2023-07-27,30
2023-07-28,28
2023-07-29,32
2023-07-30,33
2023-07-31,27
2023-08-01,28
2023-08-02,36
2023-08-03,31
2023-08-04,29
2023-08-05,34
2023-08-06,34
2023-08-07,29
2023-08-08,29
2023-08-09,35
2023-08-10,29
2023-08-11,30
2023-08-12,32
2023-08-13,33
2023-08-14,28
2023-08-15,30
2023-08-16,32
2023-08-17,30
2023-08-18,30
2023-08-19,34
2023-08-20,34
2023-08-21,29
2023-08-22,30
2023-08-23,35
2023-08-24,45
2023-08-25,40
2023-08-26,43
2023-08-27,41
2023-08-28,32
2023-08-29,32
2023-08-30,32
2023-08-31,33
2023-09-01,33
2023-09-02,36
2023-09-03,38
2023-09-04,42
2023-09-05,29
2023-09-06,30
2023-09-07,42
2023-09-08,34
2023-09-09,38
2023-09-10,34
2023-09-11,28
2023-09-12,31
2023-09-13,31
2023-09-14,40
2023-09-15,34
2023-09-16,38
2023-09-17,38
2023-09-18,27
2023-09-19,28
2023-09-20,30
2023-09-21,39
2023-09-22,35
2023-09-23,37
2023-09-24,36
2023-09-25,30
2023-09-26,29
2023-09-27,29
2023-09-28,38
2023-09-29,41
2023-09-30,36
2023-10-01,38
2023-10-02,27
2023-10-03,28
2023-10-04,30
2023-10-05,30
2023-10-06,30
2023-10-07,38
2023-10-08,37
2023-10-09,30
2023-10-10,27
2023-10-11,28
2023-10-12,30
2023-10-13,30
2023-10-14,36
2023-10-15,39
2023-10-16,30
2023-10-17,30
2023-10-18,28
2023-10-19,29
2023-10-20,29
2023-10-21,34
2023-10-22,35
2023-10-23,28
2023-10-24,29
2023-10-25,29
2023-10-26,36
2023-10-27,31
2023-10-28,35
2023-10-29,34
2023-10-30,29
2023-10-31,31
2023-11-01,36
2023-11-02,56
2023-11-03,46
2023-11-04,50
2023-11-05,44
2023-11-06,35
2023-11-07,37
2023-11-08,34
2023-11-09,35
2023-11-10,37
2023-11-11,44
2023-11-12,40
2023-11-13,30
2023-11-14,33
2023-11-15,39
2023-11-16,72
2023-11-17,40
2023-11-18,39
2023-11-19,36
2023-11-20,31
2023-11-21,32
2023-11-22,33
2023-11-23,77
2023-11-24,39
2023-11-25,34
2023-11-26,33
2023-11-27,24
2023-11-28,25
2023-11-29,29
2023-11-30,33
2023-12-01,32
2023-12-02,34
2023-12-03,33
2023-12-04,28
2023-12-05,28
2023-12-06,32
2023-12-07,37
2023-12-08,33
2023-12-09,38
2023-12-10,39
2023-12-11,30
2023-12-12,30
2023-12-13,32
2023-12-14,34
2023-12-15,35
2023-12-16,38
2023-12-17,37
2023-12-18,31
2023-12-19,31
2023-12-20,35
2023-12-21,39
2023-12-22,39
2023-12-23,42
2023-12-24,57
2023-12-25,100
2023-12-26,42
2023-12-27,36
2023-12-28,37
2023-12-29,35
2023-12-30,35
2023-12-31,39
2024-01-01,46
2024-01-02,34
2024-01-03,47
2024-01-04,43
2024-01-05,41
2024-01-06,42
2024-01-07,36
2024-01-08,28
2024-01-09,28
2024-01-10,27
2024-01-11,28
2024-01-12,27
2024-01-13,31
2024-01-14,31
2024-01-15,27
2024-01-16,24
2024-01-17,26
2024-01-18,26
2024-01-19,25
2024-01-20,31
