Time,starbucks
2022-08-29,33
2022-08-30,44
2022-08-31,36
2022-09-01,35
2022-09-02,37
2022-09-03,39
2022-09-04,41
2022-09-05,43
2022-09-06,29
2022-09-07,29
2022-09-08,28
2022-09-09,30
2022-09-10,37
2022-09-11,35
2022-09-12,28
2022-09-13,30
2022-09-14,32
2022-09-15,30
2022-09-16,32
2022-09-17,38
2022-09-18,37
2022-09-19,27
2022-09-20,28
2022-09-21,27
2022-09-22,28
2022-09-23,30
2022-09-24,37
2022-09-25,35
2022-09-26,26
2022-09-27,29
2022-09-28,28
2022-09-29,32
2022-09-30,31
2022-10-01,37
2022-10-02,35
2022-10-03,27
2022-10-04,27
2022-10-05,26
2022-10-06,28
2022-10-07,30
2022-10-08,36
2022-10-09,36
2022-10-10,27
2022-10-11,27
2022-10-12,29
2022-10-13,32
2022-10-14,30
2022-10-15,36
2022-10-16,34
2022-10-17,28
2022-10-18,28
2022-10-19,29
2022-10-20,28
2022-10-21,30
2022-10-22,34
2022-10-23,34
2022-10-24,25
2022-10-25,26
2022-10-26,28
2022-10-27,27
2022-10-28,26
2022-10-29,33
2022-10-30,33
2022-10-31,25
2022-11-01,29
2022-11-02,36
2022-11-03,48
2022-11-04,41
2022-11-05,44
2022-11-06,39
2022-11-07,32
2022-11-08,31
2022-11-09,29
2022-11-10,31
2022-11-11,38
2022-11-12,40
2022-11-13,40
2022-11-14,28
2022-11-15,32
2022-11-16,36
2022-11-17,84
2022-11-18,45
2022-11-19,42
2022-11-20,41
2022-11-21,33
2022-11-22,32
2022-11-23,35
2022-11-24,70
2022-11-25,41
2022-11-26,36
2022-11-27,34
2022-11-28,26
2022-11-29,27
2022-11-30,28
2022-12-01,31
2022-12-02,31
2022-12-03,36
2022-12-04,37
2022-12-05,29
2022-12-06,28
2022-12-07,30
2022-12-08,30
2022-12-09,31
2022-12-10,35
2022-12-11,38
2022-12-12,30
2022-12-13,28
2022-12-14,29
2022-12-15,31
2022-12-16,34
2022-12-17,41
2022-12-18,39
2022-12-19,34
2022-12-20,34
2022-12-21,35
2022-12-22,35
2022-12-23,37
2022-12-24,50
2022-12-25,100
2022-12-26,46
2022-12-27,38
2022-12-28,37
2022-12-29,38
2022-12-30,38
2022-12-31,40
2023-01-01,50
2023-01-02,36
2023-01-03,28
2023-01-04,29
2023-01-05,26
2023-01-06,29
2023-01-07,34
2023-01-08,34
2023-01-09,26
2023-01-10,27
2023-01-11,25
2023-01-12,28
2023-01-13,29
2023-01-14,35
2023-01-15,33
2023-01-16,30
2023-01-17,25
2023-01-18,25
2023-01-19,24
2023-01-20,26
2023-01-21,35
2023-01-22,32
2023-01-23,25
2023-01-24,25
2023-01-25,25
2023-01-26,25
2023-01-27,26
2023-01-28,34
2023-01-29,33
2023-01-30,25
2023-01-31,26
2023-02-01,26
2023-02-02,26
2023-02-03,28
2023-02-04,33
2023-02-05,34
2023-02-06,23
2023-02-07,26
2023-02-08,27
2023-02-09,27
2023-02-10,28
2023-02-11,35
2023-02-12,32
2023-02-13,23
2023-02-14,28
2023-02-15,24
2023-02-16,26
2023-02-17,28
2023-02-18,35
2023-02-19,35
2023-02-20,31
2023-02-21,27
2023-02-22,28
2023-02-23,27
2023-02-24,27
2023-02-25,35
2023-02-26,34
2023-02-27,25
2023-02-28,24
2023-03-01,26
2023-03-02,26
2023-03-03,26
2023-03-04,33
2023-03-05,32
2023-03-06,25
2023-03-07,26
2023-03-08,27
2023-03-09,28
2023-03-10,31
2023-03-11,35
2023-03-12,35
2023-03-13,26
2023-03-14,27
2023-03-15,28
2023-03-16,28
2023-03-17,28
2023-03-18,34
2023-03-19,35
2023-03-20,27
2023-03-21,26
2023-03-22,27
2023-03-23,28
2023-03-24,30
2023-03-25,34
2023-03-26,35
2023-03-27,28
2023-03-28,28
2023-03-29,29
2023-03-30,30
2023-03-31,29
2023-04-01,34
2023-04-02,34
2023-04-03,27
2023-04-04,26
2023-04-05,26
2023-04-06,28
2023-04-07,32
2023-04-08,36
2023-04-09,50
2023-04-10,30
2023-04-11,28
2023-04-12,28
2023-04-13,28
2023-04-14,30
2023-04-15,35
2023-04-16,35
2023-04-17,26
2023-04-18,26
2023-04-19,27
2023-04-20,27
2023-04-21,29
2023-04-22,38
2023-04-23,38
2023-04-24,26
2023-04-25,26
2023-04-26,28
2023-04-27,26
2023-04-28,26
2023-04-29,35
2023-04-30,35
2023-05-01,26
2023-05-02,26
2023-05-03,27
2023-05-04,28
2023-05-05,28
2023-05-06,34
2023-05-07,34
2023-05-08,26
2023-05-09,32
2023-05-10,30
2023-05-11,31
2023-05-12,31
2023-05-13,35
2023-05-14,37
2023-05-15,27
2023-05-16,27
2023-05-17,27
2023-05-18,29
2023-05-19,30
2023-05-20,35
2023-05-21,37
2023-05-22,27
2023-05-23,26
2023-05-24,27
2023-05-25,28
