Time,abcya
2023-04-26,60
2023-04-27,68
2023-04-28,80
2023-04-29,11
2023-04-30,8
2023-05-01,53
2023-05-02,61
2023-05-03,64
2023-05-04,66
2023-05-05,81
2023-05-06,10
2023-05-07,8
2023-05-08,58
2023-05-09,65
2023-05-10,67
2023-05-11,73
2023-05-12,91
2023-05-13,10
2023-05-14,8
2023-05-15,63
2023-05-16,69
2023-05-17,71
2023-05-18,77
2023-05-19,92
2023-05-20,11
2023-05-21,8
2023-05-22,58
2023-05-23,63
2023-05-24,61
2023-05-25,63
2023-05-26,50
2023-05-27,10
2023-05-28,7
2023-05-29,7
2023-05-30,34
2023-05-31,40
2023-06-01,42
2023-06-02,43
2023-06-03,7
2023-06-04,6
2023-06-05,32
2023-06-06,35
2023-06-07,37
2023-06-08,34
2023-06-09,31
2023-06-10,8
2023-06-11,5
2023-06-12,25
2023-06-13,25
2023-06-14,26
2023-06-15,22
2023-06-16,19
2023-06-17,6
2023-06-18,5
2023-06-19,8
2023-06-20,14
2023-06-21,17
2023-06-22,15
2023-06-23,11
2023-06-24,6
2023-06-25,5
2023-06-26,9
2023-06-27,11
2023-06-28,11
2023-06-29,10
2023-06-30,7
2023-07-01,4
2023-07-02,5
2023-07-03,5
2023-07-04,4
2023-07-05,6
2023-07-06,6
2023-07-07,6
2023-07-08,4
2023-07-09,4
2023-07-10,7
2023-07-11,8
2023-07-12,7
2023-07-13,8
2023-07-14,6
2023-07-15,4
2023-07-16,4
2023-07-17,6
2023-07-18,7
2023-07-19,8
2023-07-20,8
2023-07-21,6
2023-07-22,4
2023-07-23,4
2023-07-24,7
2023-07-25,7
2023-07-26,7
2023-07-27,8
2023-07-28,7
2023-07-29,4
2023-07-30,4
2023-07-31,7
2023-08-01,7
2023-08-02,8
2023-08-03,10
2023-08-04,11
2023-08-05,4
2023-08-06,4
2023-08-07,10
2023-08-08,15
2023-08-09,15
2023-08-10,21
2023-08-11,30
2023-08-12,6
2023-08-13,5
2023-08-14,22
2023-08-15,28
2023-08-16,33
2023-08-17,41
2023-08-18,57
2023-08-19,8
2023-08-20,7
2023-08-21,36
2023-08-22,47
2023-08-23,54
2023-08-24,56
2023-08-25,69
2023-08-26,10
2023-08-27,8
2023-08-28,44
2023-08-29,54
2023-08-30,56
2023-08-31,59
2023-09-01,68
2023-09-02,10
2023-09-03,8
2023-09-04,8
2023-09-05,45
2023-09-06,56
2023-09-07,62
2023-09-08,93
2023-09-09,13
2023-09-10,10
2023-09-11,51
2023-09-12,61
2023-09-13,68
2023-09-14,72
2023-09-15,98
2023-09-16,14
2023-09-17,10
2023-09-18,52
2023-09-19,59
2023-09-20,61
2023-09-21,70
2023-09-22,95
2023-09-23,13
2023-09-24,10
2023-09-25,51
2023-09-26,59
2023-09-27,63
2023-09-28,71
2023-09-29,100
2023-09-30,13
2023-10-01,10
2023-10-02,48
2023-10-03,54
2023-10-04,63
2023-10-05,66
2023-10-06,83
2023-10-07,12
2023-10-08,10
2023-10-09,29
2023-10-10,47
2023-10-11,54
2023-10-12,60
2023-10-13,63
2023-10-14,12
2023-10-15,9
2023-10-16,42
2023-10-17,53
2023-10-18,54
2023-10-19,57
2023-10-20,79
2023-10-21,12
2023-10-22,10
2023-10-23,45
2023-10-24,52
2023-10-25,53
2023-10-26,59
2023-10-27,76
2023-10-28,12
2023-10-29,9
2023-10-30,55
2023-10-31,60
2023-11-01,54
2023-11-02,57
2023-11-03,78
2023-11-04,12
2023-11-05,9
2023-11-06,42
2023-11-07,44
2023-11-08,54
2023-11-09,59
2023-11-10,59
2023-11-11,12
2023-11-12,10
2023-11-13,47
2023-11-14,51
2023-11-15,54
2023-11-16,59
2023-11-17,89
2023-11-18,13
2023-11-19,9
2023-11-20,35
2023-11-21,50
2023-11-22,19
2023-11-23,10
2023-11-24,8
2023-11-25,7
2023-11-26,7
2023-11-27,40
2023-11-28,51
2023-11-29,56
2023-11-30,58
2023-12-01,86
2023-12-02,13
2023-12-03,9
2023-12-04,51
2023-12-05,55
2023-12-06,58
2023-12-07,68
2023-12-08,78
2023-12-09,12
2023-12-10,9
2023-12-11,43
2023-12-12,54
2023-12-13,55
2023-12-14,74
2023-12-15,83
2023-12-16,13
2023-12-17,9
2023-12-18,55
2023-12-19,64
2023-12-20,61
2023-12-21,54
2023-12-22,38
2023-12-23,11
2023-12-24,9
2023-12-25,8
2023-12-26,7
2023-12-27,5
2023-12-28,6
2023-12-29,5
2023-12-30,5
2023-12-31,6
2024-01-01,5
2024-01-02,13
2024-01-03,28
2024-01-04,37
2024-01-05,53
2024-01-06,8
2024-01-07,7
2024-01-08,43
2024-01-09,52
2024-01-10,53
2024-01-11,63
2024-01-12,74
2024-01-13,12
2024-01-14,9
2024-01-15,9
2024-01-16,34
2024-01-17,49
2024-01-18,60
2024-01-19,62
2024-01-20,10
