Time,subway
2023-12-22,52
2023-12-23,54
2023-12-24,58
2023-12-25,55
2023-12-26,55
2023-12-27,58
2023-12-28,61
2023-12-29,66
2023-12-30,61
2023-12-31,68
2024-01-01,67
2024-01-02,61
2024-01-03,62
2024-01-04,73
2024-01-05,75
2024-01-06,63
2024-01-07,56
2024-01-08,54
2024-01-09,55
2024-01-10,62
2024-01-11,61
2024-01-12,60
2024-01-13,57
2024-01-14,51
2024-01-15,53
2024-01-16,54
2024-01-17,60
2024-01-18,62
2024-01-19,62
2024-01-20,63
2024-01-21,60
2024-01-22,60
2024-01-23,63
2024-01-24,66
2024-01-25,72
2024-01-26,71
2024-01-27,70
2024-01-28,66
2024-01-29,63
2024-01-30,66
2024-01-31,65
2024-02-01,69
2024-02-02,70
2024-02-03,67
2024-02-04,65
2024-02-05,58
2024-02-06,57
2024-02-07,61
2024-02-08,62
2024-02-09,65
2024-02-10,62
2024-02-11,57
2024-02-12,50
2024-02-13,65
2024-02-14,54
2024-02-15,57
2024-02-16,63
2024-02-17,56
2024-02-18,57
2024-02-19,58
2024-02-20,57
2024-02-21,60
2024-02-22,60
2024-02-23,63
2024-02-24,59
2024-02-25,57
2024-02-26,58
2024-02-27,58
2024-02-28,56
2024-02-29,64
2024-03-01,67
2024-03-02,67
2024-03-03,63
2024-03-04,62
2024-03-05,61
2024-03-06,68
2024-03-07,82
2024-03-08,74
2024-03-09,70
2024-03-10,69
2024-03-11,62
2024-03-12,62
2024-03-13,61
2024-03-14,63
2024-03-15,100
2024-03-16,75
2024-03-17,66
2024-03-18,56
2024-03-19,69
2024-03-20,63
2024-03-21,62
2024-03-22,60
2024-03-23,56
2024-03-24,59
2024-03-25,55
2024-03-26,63
2024-03-27,64
2024-03-28,66
2024-03-29,65
2024-03-30,62
2024-03-31,64
2024-04-01,57
2024-04-02,57
2024-04-03,63
2024-04-04,62
2024-04-05,65
2024-04-06,60
2024-04-07,62
2024-04-08,55
2024-04-09,59
2024-04-10,58
2024-04-11,60
2024-04-12,64
2024-04-13,60
2024-04-14,56
2024-04-15,57
2024-04-16,58
2024-04-17,61
2024-04-18,62
2024-04-19,61
2024-04-20,60
2024-04-21,58
2024-04-22,58
2024-04-23,58
2024-04-24,59
2024-04-25,61
2024-04-26,59
2024-04-27,52
2024-04-28,56
2024-04-29,58
2024-04-30,60
2024-05-01,63
2024-05-02,66
2024-05-03,68
2024-05-04,61
2024-05-05,60
2024-05-06,61
2024-05-07,62
2024-05-08,63
2024-05-09,65
2024-05-10,66
2024-05-11,63
2024-05-12,56
2024-05-13,61
2024-05-14,62
2024-05-15,62
2024-05-16,63
2024-05-17,66
2024-05-18,60
2024-05-19,58
2024-05-20,57
2024-05-21,64
2024-05-22,61
2024-05-23,62
2024-05-24,66
2024-05-25,62
2024-05-26,55
2024-05-27,61
2024-05-28,57
2024-05-29,61
2024-05-30,61
2024-05-31,64
2024-06-01,60
2024-06-02,59
2024-06-03,59
2024-06-04,59
2024-06-05,62
2024-06-06,63
2024-06-07,63
2024-06-08,66
2024-06-09,63
2024-06-10,60
2024-06-11,57
2024-06-12,66
2024-06-13,66
2024-06-14,65
2024-06-15,61
2024-06-16,56
2024-06-17,61
2024-06-18,60
2024-06-19,60
2024-06-20,64
2024-06-21,65
2024-06-22,62
2024-06-23,63
2024-06-24,62
2024-06-25,64
2024-06-26,63
2024-06-27,66
2024-06-28,65
2024-06-29,64
2024-06-30,64
2024-07-01,64
2024-07-02,63
2024-07-03,64
2024-07-04,74
2024-07-05,58
2024-07-06,58
2024-07-07,64
2024-07-08,54
2024-07-09,59
2024-07-10,60
2024-07-11,62
2024-07-12,60
2024-07-13,58
2024-07-14,56
2024-07-15,54
2024-07-16,57
2024-07-17,59
2024-07-18,58
2024-07-19,60
2024-07-20,54
2024-07-21,55
2024-07-22,52
2024-07-23,59
2024-07-24,57
2024-07-25,58
2024-07-26,58
2024-07-27,52
2024-07-28,53
2024-07-29,52
2024-07-30,50
2024-07-31,56
2024-08-01,57
2024-08-02,58
2024-08-03,56
2024-08-04,58
2024-08-05,52
2024-08-06,51
2024-08-07,55
2024-08-08,54
2024-08-09,56
2024-08-10,49
2024-08-11,54
2024-08-12,53
2024-08-13,53
2024-08-14,55
2024-08-15,63
2024-08-16,59
2024-08-17,58
2024-08-18,56
2024-08-19,58
2024-08-20,61
2024-08-21,58
2024-08-22,60
2024-08-23,67
2024-08-24,64
2024-08-25,64
2024-08-26,61
2024-08-27,64
2024-08-28,62
2024-08-29,67
2024-08-30,68
2024-08-31,64
2024-09-01,61
2024-09-02,65
2024-09-03,56
2024-09-04,57
2024-09-05,60
2024-09-06,58
2024-09-07,56
2024-09-08,60
2024-09-09,58
2024-09-10,56
2024-09-11,56
2024-09-12,60
2024-09-13,61
2024-09-14,58
2024-09-15,49
2024-09-16,62
