Time,clever
2022-01-01,6.0
2022-01-02,8.0
2022-01-03,23.0
2022-01-04,37.0
2022-01-05,39.0
2022-01-06,33.0
2022-01-07,34.0
2022-01-08,10.0
2022-01-09,10.0
2022-01-10,39.0
2022-01-11,47.0
2022-01-12,42.0
2022-01-13,50.0
2022-01-14,34.0
2022-01-15,10.0
2022-01-16,8.0
2022-01-17,10.0
2022-01-18,34.0
2022-01-19,39.0
2022-01-20,40.0
2022-01-21,35.0
2022-01-22,11.0
2022-01-23,9.0
2022-01-24,40.0
2022-01-25,33.0
2022-01-26,34.0
2022-01-27,41.0
2022-01-28,42.0
2022-01-29,12.0
2022-01-30,10.0
2022-01-31,39.0
2022-02-01,39.0
2022-02-02,40.0
2022-02-03,39.0
2022-02-04,31.0
2022-02-05,11.0
2022-02-06,10.0
2022-02-07,38.0
2022-02-08,38.0
2022-02-09,41.0
2022-02-10,35.0
2022-02-11,38.0
2022-02-12,11.0
2022-02-13,9.0
2022-02-14,28.0
2022-02-15,33.0
2022-02-16,35.0
2022-02-17,36.0
2022-02-18,29.0
2022-02-19,10.0
2022-02-20,8.0
2022-02-21,13.0
2022-02-22,29.0
2022-02-23,35.0
2022-02-24,29.0
2022-02-25,31.0
2022-02-26,11.0
2022-02-27,9.0
2022-02-28,35.0
2022-03-01,31.0
2022-03-02,34.0
2022-03-03,34.0
2022-03-04,34.0
2022-03-05,10.0
2022-03-06,9.0
2022-03-07,32.0
2022-03-08,34.0
2022-03-09,35.0
2022-03-10,36.0
2022-03-11,29.0
2022-03-12,10.0
2022-03-13,9.0
2022-03-14,25.0
2022-03-15,25.0
2022-03-16,24.0
2022-03-17,24.0
2022-03-18,20.0
2022-03-19,8.0
2022-03-20,8.0
2022-03-21,26.0
2022-03-22,30.0
2022-03-23,29.0
2022-03-24,32.0
2022-03-25,61.0
2022-03-26,10.0
2022-03-27,11.0
2022-03-28,65.0
2022-03-29,70.0
2022-03-30,29.0
2022-03-31,69.0
2022-04-01,64.0
2022-04-02,11.0
2022-04-03,10.0
2022-04-04,66.0
2022-04-05,62.0
2022-04-06,69.0
2022-04-07,68.0
2022-04-08,64.0
2022-04-09,11.0
2022-04-10,10.0
2022-04-11,68.0
2022-04-12,70.0
2022-04-13,67.0
2022-04-14,57.0
2022-04-15,21.0
2022-04-16,8.0
2022-04-17,9.0
2022-04-18,45.0
2022-04-19,64.0
2022-04-20,62.0
2022-04-21,60.0
2022-04-22,59.0
2022-04-23,11.0
2022-04-24,10.0
2022-04-25,75.0
2022-04-26,68.0
2022-04-27,66.0
2022-04-28,70.0
2022-04-29,63.0
2022-04-30,10.0
2022-05-01,10.0
2022-05-02,65.0
2022-05-03,63.0
2022-05-04,62.0
2022-05-05,65.0
2022-05-06,64.0
2022-05-07,11.0
2022-05-08,10.0
2022-05-09,67.0
2022-05-10,63.0
2022-05-11,59.0
2022-05-12,72.0
2022-05-13,61.0
2022-05-14,11.0
2022-05-15,10.0
2022-05-16,68.0
2022-05-17,66.0
2022-05-18,63.0
2022-05-19,63.0
2022-05-20,51.0
2022-05-21,12.0
2022-05-22,10.0
2022-05-23,50.0
2022-05-24,50.0
2022-05-25,43.0
2022-05-26,39.0
2022-05-27,29.0
2022-05-28,9.0
2022-05-29,7.0
2022-05-30,9.0
2022-05-31,32.0
2022-06-01,31.0
2022-06-02,29.0
2022-06-03,25.0
2022-06-04,7.0
2022-06-05,7.0
2022-06-06,30.0
2022-06-07,26.0
2022-06-08,26.0
2022-06-09,25.0
