Time,tesla stock price
2023-04-26,58
2023-04-27,61
2023-04-28,51
2023-04-29,18
2023-04-30,12
2023-05-01,48
2023-05-02,54
2023-05-03,49
2023-05-04,45
2023-05-05,51
2023-05-06,16
2023-05-07,14
2023-05-08,48
2023-05-09,48
2023-05-10,48
2023-05-11,46
2023-05-12,50
2023-05-13,15
2023-05-14,10
2023-05-15,44
2023-05-16,50
2023-05-17,51
2023-05-18,52
2023-05-19,53
2023-05-20,17
2023-05-21,12
2023-05-22,48
2023-05-23,58
2023-05-24,48
2023-05-25,51
2023-05-26,61
2023-05-27,21
2023-05-28,12
2023-05-29,15
2023-05-30,62
2023-05-31,59
2023-06-01,67
2023-06-02,74
2023-06-03,21
2023-06-04,11
2023-06-05,67
2023-06-06,70
2023-06-07,71
2023-06-08,78
2023-06-09,99
2023-06-10,27
2023-06-11,16
2023-06-12,76
2023-06-13,87
2023-06-14,91
2023-06-15,78
2023-06-16,77
2023-06-17,25
2023-06-18,15
2023-06-19,33
2023-06-20,80
2023-06-21,93
2023-06-22,82
2023-06-23,73
2023-06-24,20
2023-06-25,15
2023-06-26,67
2023-06-27,70
2023-06-28,70
2023-06-29,65
2023-06-30,68
2023-07-01,22
2023-07-02,18
2023-07-03,83
2023-07-04,27
2023-07-05,78
2023-07-06,72
2023-07-07,69
2023-07-08,21
2023-07-09,13
2023-07-10,66
2023-07-11,65
2023-07-12,63
2023-07-13,69
2023-07-14,68
2023-07-15,20
2023-07-16,14
2023-07-17,83
2023-07-18,76
2023-07-19,99
2023-07-20,100
2023-07-21,84
2023-07-22,20
2023-07-23,14
2023-07-24,77
2023-07-25,72
2023-07-26,63
2023-07-27,65
2023-07-28,66
2023-07-29,18
2023-07-30,14
2023-07-31,59
2023-08-01,56
2023-08-02,56
2023-08-03,60
2023-08-04,59
2023-08-05,18
2023-08-06,12
2023-08-07,58
2023-08-08,54
2023-08-09,57
2023-08-10,52
2023-08-11,50
2023-08-12,12
2023-08-13,8
2023-08-14,51
2023-08-15,51
2023-08-16,54
2023-08-17,52
2023-08-18,53
2023-08-19,18
2023-08-20,11
2023-08-21,65
2023-08-22,58
2023-08-23,56
2023-08-24,52
2023-08-25,50
2023-08-26,15
2023-08-27,9
2023-08-28,47
2023-08-29,57
2023-08-30,60
2023-08-31,54
2023-09-01,53
2023-09-02,15
2023-09-03,10
2023-09-04,13
2023-09-05,53
2023-09-06,48
2023-09-07,45
2023-09-08,44
2023-09-09,14
2023-09-10,9
2023-09-11,65
2023-09-12,63
2023-09-13,60
2023-09-14,60
2023-09-15,50
2023-09-16,14
2023-09-17,10
2023-09-18,48
2023-09-19,49
2023-09-20,48
2023-09-21,49
2023-09-22,50
2023-09-23,16
2023-09-24,9
2023-09-25,47
2023-09-26,44
2023-09-27,44
2023-09-28,47
2023-09-29,48
2023-09-30,14
2023-10-01,9
2023-10-02,52
2023-10-03,47
2023-10-04,53
2023-10-05,48
2023-10-06,49
2023-10-07,15
2023-10-08,9
2023-10-09,43
2023-10-10,48
2023-10-11,46
2023-10-12,45
2023-10-13,39
2023-10-14,12
2023-10-15,8
2023-10-16,45
2023-10-17,49
2023-10-18,53
2023-10-19,66
2023-10-20,62
2023-10-21,19
2023-10-22,13
2023-10-23,59
2023-10-24,62
2023-10-25,51
2023-10-26,54
2023-10-27,53
2023-10-28,16
2023-10-29,8
2023-10-30,56
2023-10-31,58
2023-11-01,55
2023-11-02,58
2023-11-03,52
2023-11-04,16
2023-11-05,11
2023-11-06,48
2023-11-07,48
2023-11-08,48
2023-11-09,51
2023-11-10,54
2023-11-11,15
2023-11-12,12
2023-11-13,50
2023-11-14,61
2023-11-15,64
2023-11-16,56
2023-11-17,55
2023-11-18,19
2023-11-19,10
2023-11-20,56
2023-11-21,51
2023-11-22,53
2023-11-23,17
2023-11-24,34
2023-11-25,13
2023-11-26,9
2023-11-27,46
2023-11-28,52
2023-11-29,60
2023-11-30,62
2023-12-01,54
2023-12-02,18
2023-12-03,11
2023-12-04,45
2023-12-05,51
2023-12-06,49
2023-12-07,43
2023-12-08,53
2023-12-09,15
2023-12-10,11
2023-12-11,46
2023-12-12,44
2023-12-13,61
2023-12-14,58
2023-12-15,53
2023-12-16,16
2023-12-17,12
2023-12-18,49
2023-12-19,53
2023-12-20,51
2023-12-21,54
2023-12-22,47
2023-12-23,15
2023-12-24,11
2023-12-25,9
2023-12-26,49
2023-12-27,52
2023-12-28,50
2023-12-29,48
2023-12-30,14
2023-12-31,8
2024-01-01,11
2024-01-02,47
2024-01-03,52
2024-01-04,47
2024-01-05,43
2024-01-06,15
2024-01-07,10
2024-01-08,45
2024-01-09,39
2024-01-10,45
2024-01-11,48
2024-01-12,46
2024-01-13,16
2024-01-14,10
2024-01-15,22
2024-01-16,47
2024-01-17,50
2024-01-18,46
2024-01-19,52
2024-01-20,16
