Time,tesla stock price
2025-12-11,63
2025-12-12,60
2025-12-13,24
2025-12-14,18
2025-12-15,74
2025-12-16,79
2025-12-17,81
2025-12-18,81
2025-12-19,77
2025-12-20,28
2025-12-21,19
2025-12-22,81
2025-12-23,69
2025-12-24,59
2025-12-25,24
2025-12-26,60
2025-12-27,25
2025-12-28,18
2025-12-29,62
2025-12-30,63
2025-12-31,53
2026-01-01,20
2026-01-02,62
2026-01-03,25
2026-01-04,18
2026-01-05,70
2026-01-06,75
2026-01-07,69
2026-01-08,57
2026-01-09,60
2026-01-10,22
2026-01-11,16
2026-01-12,52
2026-01-13,54
2026-01-14,53
2026-01-15,55
2026-01-16,53
2026-01-17,23
2026-01-18,14
2026-01-19,27
2026-01-20,56
2026-01-21,64
2026-01-22,62
2026-01-23,58
2026-01-24,20
2026-01-25,18
2026-01-26,54
2026-01-27,56
2026-01-28,74
2026-01-29,96
2026-01-30,86
2026-01-31,33
2026-02-01,25
2026-02-02,70
2026-02-03,73
2026-02-04,70
2026-02-05,76
2026-02-06,86
2026-02-07,33
2026-02-08,17
2026-02-09,53
2026-02-10,59
2026-02-11,56
2026-02-12,58
2026-02-13,58
2026-02-14,21
2026-02-15,18
2026-02-16,28
2026-02-17,50
2026-02-18,52
2026-02-19,51
2026-02-20,50
2026-02-21,24
2026-02-22,15
2026-02-23,56
2026-02-24,61
2026-02-25,58
2026-02-26,54
2026-02-27,52
2026-02-28,22
2026-03-01,16
2026-03-02,82
2026-03-03,80
2026-03-04,71
2026-03-05,77
2026-03-06,63
2026-03-07,26
2026-03-08,27
2026-03-09,63
2026-03-10,58
2026-03-11,62
2026-03-12,63
2026-03-13,58
2026-03-14,23
2026-03-15,49
2026-03-16,62
2026-03-17,73
2026-03-18,78
2026-03-19,86
2026-03-20,69
2026-03-21,31
2026-03-22,19
2026-03-23,61
2026-03-24,58
2026-03-25,57
2026-03-26,55
2026-03-27,60
2026-03-28,20
2026-03-29,15
2026-03-30,56
2026-03-31,67
2026-04-01,56
2026-04-02,57
2026-04-03,38
2026-04-04,15
2026-04-05,16
2026-04-06,57
2026-04-07,55
2026-04-08,71
2026-04-09,58
2026-04-10,49
2026-04-11,18
2026-04-12,17
2026-04-13,52
2026-04-14,55
2026-04-15,60
2026-04-16,62
2026-04-17,100
2026-04-18,28
2026-04-19,18
2026-04-20,56
2026-04-21,60
2026-04-22,78
2026-04-23,80
2026-04-24,72
2026-04-25,24
2026-04-26,20
2026-04-27,54
2026-04-28,52
2026-04-29,51
2026-04-30,63
2026-05-01,55
2026-05-02,25
2026-05-03,18
2026-05-04,51
2026-05-05,53
2026-05-06,61
2026-05-07,56
2026-05-08,75
2026-05-09,30
2026-05-10,21
2026-05-11,71
2026-05-12,70
2026-05-13,70
2026-05-14,68
2026-05-15,61
2026-05-16,23
2026-05-17,17
2026-05-18,54
2026-05-19,51
2026-05-20,51
2026-05-21,62
2026-05-22,81
2026-05-23,43
2026-05-24,17
2026-05-25,18
2026-05-26,60
2026-05-27,64
2026-05-28,66
2026-05-29,64
2026-05-30,29
2026-05-31,22
