Time,qqq
2024-08-18,8
2024-08-19,31
2024-08-20,31
2024-08-21,28
2024-08-22,33
2024-08-23,35
2024-08-24,12
2024-08-25,9
2024-08-26,29
2024-08-27,26
2024-08-28,33
2024-08-29,32
2024-08-30,26
2024-08-31,12
2024-09-01,7
2024-09-02,8
2024-09-03,36
2024-09-04,35
2024-09-05,29
2024-09-06,36
2024-09-07,10
2024-09-08,7
2024-09-09,30
2024-09-10,25
2024-09-11,29
2024-09-12,31
2024-09-13,27
2024-09-14,10
2024-09-15,7
2024-09-16,27
2024-09-17,27
2024-09-18,34
2024-09-19,38
2024-09-20,29
2024-09-21,10
2024-09-22,7
2024-09-23,28
2024-09-24,26
2024-09-25,26
2024-09-26,31
2024-09-27,25
2024-09-28,10
2024-09-29,7
2024-09-30,25
2024-10-01,28
2024-10-02,26
2024-10-03,25
2024-10-04,26
2024-10-05,10
2024-10-06,8
2024-10-07,26
2024-10-08,24
2024-10-09,25
2024-10-10,25
2024-10-11,23
2024-10-12,10
2024-10-13,8
2024-10-14,26
2024-10-15,27
2024-10-16,25
2024-10-17,27
2024-10-18,26
2024-10-19,11
2024-10-20,7
2024-10-21,25
2024-10-22,25
2024-10-23,30
2024-10-24,27
2024-10-25,27
2024-10-26,10
2024-10-27,7
2024-10-28,25
2024-10-29,25
2024-10-30,29
2024-10-31,34
2024-11-01,29
2024-11-02,11
2024-11-03,7
2024-11-04,23
2024-11-05,25
2024-11-06,31
2024-11-07,38
2024-11-08,32
2024-11-09,13
2024-11-10,9
2024-11-11,29
2024-11-12,28
2024-11-13,29
2024-11-14,25
2024-11-15,29
2024-11-16,11
2024-11-17,9
2024-11-18,26
2024-11-19,27
2024-11-20,29
2024-11-21,28
2024-11-22,24
2024-11-23,10
2024-11-24,8
2024-11-25,26
2024-11-26,26
2024-11-27,24
2024-11-28,11
2024-11-29,21
2024-11-30,10
2024-12-01,8
2024-12-02,25
2024-12-03,27
2024-12-04,29
2024-12-05,26
2024-12-06,26
2024-12-07,11
2024-12-08,10
2024-12-09,26
2024-12-10,26
2024-12-11,30
2024-12-12,27
2024-12-13,35
2024-12-14,18
2024-12-15,11
2024-12-16,32
2024-12-17,29
2024-12-18,40
2024-12-19,40
2024-12-20,36
2024-12-21,12
2024-12-22,9
2024-12-23,31
2024-12-24,27
2024-12-25,13
2024-12-26,29
2024-12-27,32
2024-12-28,11
2024-12-29,9
2024-12-30,34
2024-12-31,32
2025-01-01,13
2025-01-02,34
2025-01-03,30
2025-01-04,12
2025-01-05,9
2025-01-06,34
2025-01-07,34
2025-01-08,32
2025-01-09,15
2025-01-10,33
2025-01-11,13
2025-01-12,9
2025-01-13,33
2025-01-14,31
2025-01-15,32
2025-01-16,32
2025-01-17,31
2025-01-18,10
2025-01-19,9
2025-01-20,13
2025-01-21,35
2025-01-22,36
2025-01-23,33
2025-01-24,32
2025-01-25,10
2025-01-26,10
2025-01-27,63
2025-01-28,49
2025-01-29,39
2025-01-30,33
2025-01-31,35
2025-02-01,12
2025-02-02,11
2025-02-03,48
2025-02-04,36
2025-02-05,31
2025-02-06,28
2025-02-07,29
2025-02-08,10
2025-02-09,8
2025-02-10,27
2025-02-11,28
2025-02-12,30
2025-02-13,30
2025-02-14,31
2025-02-15,11
2025-02-16,8
2025-02-17,12
2025-02-18,30
2025-02-19,28
2025-02-20,26
2025-02-21,31
2025-02-22,12
2025-02-23,10
2025-02-24,34
2025-02-25,38
2025-02-26,36
2025-02-27,40
2025-02-28,43
2025-03-01,11
2025-03-02,8
2025-03-03,42
2025-03-04,58
2025-03-05,40
2025-03-06,51
2025-03-07,45
2025-03-08,12
2025-03-09,9
2025-03-10,70
2025-03-11,61
2025-03-12,51
2025-03-13,50
2025-03-14,41
2025-03-15,11
2025-03-16,9
2025-03-17,39
2025-03-18,39
2025-03-19,41
2025-03-20,36
2025-03-21,32
2025-03-22,10
2025-03-23,9
2025-03-24,35
2025-03-25,31
2025-03-26,34
2025-03-27,32
2025-03-28,41
2025-03-29,12
2025-03-30,9
2025-03-31,43
2025-04-01,36
2025-04-02,54
2025-04-03,87
2025-04-04,87
2025-04-05,24
2025-04-06,21
2025-04-07,94
2025-04-08,76
2025-04-09,100
2025-04-10,83
2025-04-11,60
2025-04-12,17
2025-04-13,13
2025-04-14,52
2025-04-15,46
2025-04-16,53
2025-04-17,42
2025-04-18,19
2025-04-19,9
2025-04-20,8
2025-04-21,51
2025-04-22,45
2025-04-23,46
2025-04-24,47
2025-04-25,39
2025-04-26,10
2025-04-27,8
2025-04-28,40
2025-04-29,35
2025-04-30,40
2025-05-01,44
2025-05-02,39
2025-05-03,11
2025-05-04,9
2025-05-05,37
2025-05-06,30
2025-05-07,34
2025-05-08,38
2025-05-09,30
2025-05-10,9
2025-05-11,9
2025-05-12,55
2025-05-13,43
2025-05-14,40
