Time,qqq
2023-04-26,69
2023-04-27,69
2023-04-28,60
2023-04-29,22
2023-04-30,15
2023-05-01,58
2023-05-02,57
2023-05-03,63
2023-05-04,62
2023-05-05,58
2023-05-06,19
2023-05-07,14
2023-05-08,56
2023-05-09,54
2023-05-10,62
2023-05-11,59
2023-05-12,56
2023-05-13,18
2023-05-14,13
2023-05-15,56
2023-05-16,60
2023-05-17,65
2023-05-18,77
2023-05-19,78
2023-05-20,23
2023-05-21,18
2023-05-22,62
2023-05-23,64
2023-05-24,76
2023-05-25,100
2023-05-26,96
2023-05-27,32
2023-05-28,23
2023-05-29,22
2023-05-30,88
2023-05-31,79
2023-06-01,85
2023-06-02,86
2023-06-03,32
2023-06-04,23
2023-06-05,80
2023-06-06,76
2023-06-07,80
2023-06-08,78
2023-06-09,78
2023-06-10,27
2023-06-11,21
2023-06-12,77
2023-06-13,88
2023-06-14,97
2023-06-15,97
2023-06-16,85
2023-06-17,24
2023-06-18,20
2023-06-19,30
2023-06-20,75
2023-06-21,77
2023-06-22,77
2023-06-23,66
2023-06-24,21
2023-06-25,19
2023-06-26,68
2023-06-27,75
2023-06-28,79
2023-06-29,70
2023-06-30,72
2023-07-01,27
2023-07-02,20
2023-07-03,64
2023-07-04,21
2023-07-05,69
2023-07-06,77
2023-07-07,68
2023-07-08,23
2023-07-09,20
2023-07-10,69
2023-07-11,71
2023-07-12,83
2023-07-13,89
2023-07-14,90
2023-07-15,29
2023-07-16,20
2023-07-17,81
2023-07-18,91
2023-07-19,92
2023-07-20,95
2023-07-21,87
2023-07-22,30
2023-07-23,22
2023-07-24,80
2023-07-25,84
2023-07-26,92
2023-07-27,88
2023-07-28,87
2023-07-29,25
2023-07-30,19
2023-07-31,77
2023-08-01,77
2023-08-02,98
2023-08-03,88
2023-08-04,83
2023-08-05,28
2023-08-06,18
2023-08-07,71
2023-08-08,80
2023-08-09,71
2023-08-10,80
2023-08-11,64
2023-08-12,24
2023-08-13,18
2023-08-14,85
2023-08-15,92
2023-08-16,80
2023-08-17,86
2023-08-18,79
2023-08-19,27
2023-08-20,16
2023-08-21,79
2023-08-22,66
2023-08-23,86
2023-08-24,86
2023-08-25,78
2023-08-26,27
2023-08-27,15
2023-08-28,66
2023-08-29,75
2023-08-30,76
2023-08-31,67
2023-09-01,71
2023-09-02,23
2023-09-03,18
2023-09-04,19
2023-09-05,66
2023-09-06,65
2023-09-07,67
2023-09-08,59
2023-09-09,22
2023-09-10,18
2023-09-11,59
2023-09-12,61
2023-09-13,64
2023-09-14,65
2023-09-15,65
2023-09-16,24
2023-09-17,18
2023-09-18,64
2023-09-19,59
2023-09-20,74
2023-09-21,81
2023-09-22,67
2023-09-23,22
2023-09-24,21
2023-09-25,62
2023-09-26,72
2023-09-27,71
2023-09-28,68
2023-09-29,63
2023-09-30,23
2023-10-01,15
2023-10-02,65
2023-10-03,77
2023-10-04,75
2023-10-05,62
2023-10-06,78
2023-10-07,25
2023-10-08,15
2023-10-09,60
2023-10-10,62
2023-10-11,67
2023-10-12,64
2023-10-13,63
2023-10-14,21
2023-10-15,18
2023-10-16,62
2023-10-17,59
2023-10-18,67
2023-10-19,61
2023-10-20,65
2023-10-21,27
2023-10-22,16
2023-10-23,67
2023-10-24,68
2023-10-25,83
2023-10-26,96
2023-10-27,82
2023-10-28,22
2023-10-29,19
2023-10-30,67
2023-10-31,72
2023-11-01,77
2023-11-02,75
2023-11-03,69
2023-11-04,22
2023-11-05,16
2023-11-06,67
2023-11-07,73
2023-11-08,71
2023-11-09,63
2023-11-10,79
2023-11-11,30
2023-11-12,18
2023-11-13,65
2023-11-14,83
2023-11-15,86
2023-11-16,67
2023-11-17,65
2023-11-18,24
2023-11-19,18
2023-11-20,68
2023-11-21,75
2023-11-22,67
2023-11-23,26
2023-11-24,49
2023-11-25,23
2023-11-26,18
2023-11-27,61
2023-11-28,60
2023-11-29,67
2023-11-30,69
2023-12-01,62
2023-12-02,29
2023-12-03,20
2023-12-04,63
2023-12-05,71
2023-12-06,65
2023-12-07,61
2023-12-08,79
2023-12-09,26
2023-12-10,19
2023-12-11,71
2023-12-12,79
2023-12-13,92
2023-12-14,94
2023-12-15,85
2023-12-16,29
2023-12-17,19
2023-12-18,80
2023-12-19,82
2023-12-20,97
2023-12-21,83
2023-12-22,72
2023-12-23,32
2023-12-24,21
2023-12-25,22
2023-12-26,75
2023-12-27,78
2023-12-28,82
2023-12-29,79
2023-12-30,36
2023-12-31,21
2024-01-01,26
2024-01-02,95
2024-01-03,92
2024-01-04,84
2024-01-05,83
2024-01-06,29
2024-01-07,22
2024-01-08,76
2024-01-09,80
2024-01-10,80
2024-01-11,83
2024-01-12,67
2024-01-13,28
2024-01-14,20
2024-01-15,25
2024-01-16,61
2024-01-17,81
2024-01-18,79
2024-01-19,93
2024-01-20,36
