Time,qqq
2023-12-22,28
2023-12-23,12
2023-12-24,8
2023-12-25,9
2023-12-26,30
2023-12-27,31
2023-12-28,32
2023-12-29,31
2023-12-30,14
2023-12-31,8
2024-01-01,10
2024-01-02,37
2024-01-03,36
2024-01-04,33
2024-01-05,33
2024-01-06,12
2024-01-07,9
2024-01-08,30
2024-01-09,31
2024-01-10,31
2024-01-11,33
2024-01-12,26
2024-01-13,11
2024-01-14,8
2024-01-15,10
2024-01-16,24
2024-01-17,32
2024-01-18,31
2024-01-19,37
2024-01-20,14
2024-01-21,10
2024-01-22,32
2024-01-23,33
2024-01-24,37
2024-01-25,33
2024-01-26,32
2024-01-27,11
2024-01-28,9
2024-01-29,30
2024-01-30,36
2024-01-31,39
2024-02-01,37
2024-02-02,38
2024-02-03,16
2024-02-04,9
2024-02-05,31
2024-02-06,30
2024-02-07,32
2024-02-08,31
2024-02-09,33
2024-02-10,13
2024-02-11,11
2024-02-12,26
2024-02-13,38
2024-02-14,34
2024-02-15,35
2024-02-16,32
2024-02-17,11
2024-02-18,9
2024-02-19,13
2024-02-20,32
2024-02-21,38
2024-02-22,46
2024-02-23,36
2024-02-24,14
2024-02-25,11
2024-02-26,32
2024-02-27,33
2024-02-28,29
2024-02-29,32
2024-03-01,34
2024-03-02,14
2024-03-03,11
2024-03-04,33
2024-03-05,35
2024-03-06,36
2024-03-07,34
2024-03-08,36
2024-03-09,14
2024-03-10,15
2024-03-11,33
2024-03-12,37
2024-03-13,35
2024-03-14,33
2024-03-15,32
2024-03-16,12
2024-03-17,10
2024-03-18,31
2024-03-19,33
2024-03-20,34
2024-03-21,36
2024-03-22,32
2024-03-23,16
2024-03-24,14
2024-03-25,32
2024-03-26,27
2024-03-27,27
2024-03-28,30
2024-03-29,15
2024-03-30,12
2024-03-31,12
2024-04-01,28
2024-04-02,32
2024-04-03,30
2024-04-04,31
2024-04-05,32
2024-04-06,13
2024-04-07,10
2024-04-08,25
2024-04-09,27
2024-04-10,34
2024-04-11,32
2024-04-12,30
2024-04-13,12
2024-04-14,8
2024-04-15,35
2024-04-16,33
2024-04-17,33
2024-04-18,36
2024-04-19,40
2024-04-20,16
2024-04-21,9
2024-04-22,35
2024-04-23,35
2024-04-24,36
2024-04-25,40
2024-04-26,33
2024-04-27,11
2024-04-28,8
2024-04-29,31
2024-04-30,28
2024-05-01,36
2024-05-02,31
2024-05-03,32
2024-05-04,11
2024-05-05,8
2024-05-06,31
2024-05-07,27
2024-05-08,27
2024-05-09,28
2024-05-10,28
2024-05-11,11
2024-05-12,10
2024-05-13,25
2024-05-14,26
2024-05-15,32
2024-05-16,32
2024-05-17,28
2024-05-18,12
2024-05-19,10
2024-05-20,28
2024-05-21,27
2024-05-22,35
2024-05-23,37
2024-05-24,30
2024-05-25,14
2024-05-26,11
2024-05-27,11
2024-05-28,33
2024-05-29,29
2024-05-30,30
2024-05-31,36
2024-06-01,13
2024-06-02,9
2024-06-03,29
2024-06-04,31
2024-06-05,39
2024-06-06,33
2024-06-07,34
2024-06-08,13
2024-06-09,10
2024-06-10,31
2024-06-11,34
2024-06-12,42
2024-06-13,39
2024-06-14,36
2024-06-15,14
2024-06-16,12
2024-06-17,39
2024-06-18,40
2024-06-19,19
2024-06-20,40
2024-06-21,29
2024-06-22,13
2024-06-23,10
2024-06-24,35
2024-06-25,34
2024-06-26,34
2024-06-27,33
2024-06-28,36
2024-06-29,13
2024-06-30,10
2024-07-01,35
2024-07-02,33
2024-07-03,34
2024-07-04,13
2024-07-05,38
2024-07-06,17
2024-07-07,13
2024-07-08,37
2024-07-09,37
2024-07-10,39
2024-07-11,50
2024-07-12,40
2024-07-13,14
2024-07-14,10
2024-07-15,41
2024-07-16,37
2024-07-17,51
2024-07-18,49
2024-07-19,41
2024-07-20,15
2024-07-21,12
2024-07-22,41
2024-07-23,41
2024-07-24,58
2024-07-25,62
2024-07-26,46
2024-07-27,14
2024-07-28,11
2024-07-29,38
2024-07-30,47
2024-07-31,51
2024-08-01,52
2024-08-02,64
2024-08-03,18
2024-08-04,12
2024-08-05,100
2024-08-06,67
2024-08-07,62
2024-08-08,54
2024-08-09,47
2024-08-10,17
2024-08-11,10
2024-08-12,42
2024-08-13,41
2024-08-14,44
2024-08-15,48
2024-08-16,39
2024-08-17,15
2024-08-18,10
2024-08-19,40
2024-08-20,40
2024-08-21,35
2024-08-22,42
2024-08-23,45
2024-08-24,15
2024-08-25,12
2024-08-26,36
2024-08-27,32
2024-08-28,42
2024-08-29,40
2024-08-30,33
2024-08-31,15
2024-09-01,9
2024-09-02,10
2024-09-03,45
2024-09-04,44
2024-09-05,37
2024-09-06,45
2024-09-07,13
2024-09-08,9
2024-09-09,38
2024-09-10,32
2024-09-11,37
2024-09-12,39
2024-09-13,34
2024-09-14,12
2024-09-15,9
2024-09-16,34
