Time,yankees
2023-12-22,17
2023-12-23,13
2023-12-24,10
2023-12-25,10
2023-12-26,11
2023-12-27,11
2023-12-28,10
2023-12-29,10
2023-12-30,11
2023-12-31,10
2024-01-01,10
2024-01-02,9
2024-01-03,9
2024-01-04,10
2024-01-05,11
2024-01-06,10
2024-01-07,10
2024-01-08,10
2024-01-09,10
2024-01-10,10
2024-01-11,11
2024-01-12,15
2024-01-13,11
2024-01-14,11
2024-01-15,10
2024-01-16,10
2024-01-17,11
2024-01-18,9
2024-01-19,10
2024-01-20,10
2024-01-21,10
2024-01-22,9
2024-01-23,10
2024-01-24,10
2024-01-25,10
2024-01-26,9
2024-01-27,9
2024-01-28,10
2024-01-29,9
2024-01-30,9
2024-01-31,9
2024-02-01,8
2024-02-02,10
2024-02-03,10
2024-02-04,9
2024-02-05,9
2024-02-06,9
2024-02-07,9
2024-02-08,8
2024-02-09,8
2024-02-10,9
2024-02-11,8
2024-02-12,8
2024-02-13,9
2024-02-14,10
2024-02-15,10
2024-02-16,10
2024-02-17,10
2024-02-18,11
2024-02-19,12
2024-02-20,12
2024-02-21,12
2024-02-22,12
2024-02-23,12
2024-02-24,20
2024-02-25,23
2024-02-26,15
2024-02-27,14
2024-02-28,13
2024-02-29,13
2024-03-01,15
2024-03-02,16
2024-03-03,16
2024-03-04,12
2024-03-05,14
2024-03-06,12
2024-03-07,12
2024-03-08,12
2024-03-09,13
2024-03-10,15
2024-03-11,13
2024-03-12,15
2024-03-13,15
2024-03-14,14
2024-03-15,13
2024-03-16,15
2024-03-17,16
2024-03-18,13
2024-03-19,13
2024-03-20,15
2024-03-21,16
2024-03-22,14
2024-03-23,15
2024-03-24,19
2024-03-25,17
2024-03-26,16
2024-03-27,16
2024-03-28,64
2024-03-29,44
2024-03-30,79
2024-03-31,100
2024-04-01,35
2024-04-02,56
2024-04-03,67
2024-04-04,31
2024-04-05,56
2024-04-06,40
2024-04-07,76
2024-04-08,36
2024-04-09,39
2024-04-10,51
2024-04-11,42
2024-04-12,25
2024-04-13,59
2024-04-14,62
2024-04-15,28
2024-04-16,35
2024-04-17,46
2024-04-18,23
2024-04-19,25
2024-04-20,62
2024-04-21,48
2024-04-22,39
2024-04-23,25
2024-04-24,40
2024-04-25,43
2024-04-26,32
2024-04-27,50
2024-04-28,65
2024-04-29,30
2024-04-30,33
2024-05-01,32
2024-05-02,42
2024-05-03,22
2024-05-04,53
2024-05-05,53
2024-05-06,21
2024-05-07,23
2024-05-08,40
2024-05-09,50
2024-05-10,30
2024-05-11,49
2024-05-12,44
2024-05-13,19
2024-05-14,23
2024-05-15,36
2024-05-16,49
2024-05-17,27
2024-05-18,58
2024-05-19,49
2024-05-20,32
2024-05-21,39
2024-05-22,40
2024-05-23,53
2024-05-24,23
2024-05-25,55
2024-05-26,70
2024-05-27,30
2024-05-28,20
2024-05-29,39
2024-05-30,44
2024-05-31,45
2024-06-01,50
2024-06-02,78
2024-06-03,30
2024-06-04,28
2024-06-05,49
2024-06-06,52
2024-06-07,65
2024-06-08,77
2024-06-09,92
2024-06-10,63
2024-06-11,46
2024-06-12,50
2024-06-13,66
2024-06-14,42
2024-06-15,69
2024-06-16,70
2024-06-17,53
2024-06-18,36
2024-06-19,61
2024-06-20,79
2024-06-21,44
2024-06-22,67
2024-06-23,74
2024-06-24,25
2024-06-25,32
2024-06-26,53
2024-06-27,65
2024-06-28,41
2024-06-29,67
2024-06-30,48
2024-07-01,22
2024-07-02,27
2024-07-03,48
2024-07-04,71
2024-07-05,36
2024-07-06,88
2024-07-07,48
2024-07-08,45
2024-07-09,25
2024-07-10,43
2024-07-11,46
2024-07-12,44
2024-07-13,76
2024-07-14,68
2024-07-15,19
2024-07-16,15
2024-07-17,16
2024-07-18,16
2024-07-19,20
2024-07-20,57
2024-07-21,47
2024-07-22,41
2024-07-23,32
2024-07-24,52
2024-07-25,53
2024-07-26,30
2024-07-27,72
2024-07-28,90
2024-07-29,76
2024-07-30,85
2024-07-31,97
2024-08-01,31
2024-08-02,36
2024-08-03,90
2024-08-04,80
2024-08-05,30
2024-08-06,30
2024-08-07,49
2024-08-08,54
2024-08-09,44
2024-08-10,61
2024-08-11,61
2024-08-12,29
2024-08-13,49
2024-08-14,50
2024-08-15,58
2024-08-16,31
2024-08-17,60
2024-08-18,47
2024-08-19,46
2024-08-20,27
2024-08-21,58
2024-08-22,65
2024-08-23,34
2024-08-24,72
2024-08-25,64
2024-08-26,36
2024-08-27,47
2024-08-28,45
2024-08-29,39
2024-08-30,27
2024-08-31,58
2024-09-01,55
2024-09-02,33
2024-09-03,41
2024-09-04,45
2024-09-05,40
2024-09-06,33
2024-09-07,44
2024-09-08,40
2024-09-09,22
2024-09-10,40
2024-09-11,39
2024-09-12,53
2024-09-13,54
2024-09-14,88
2024-09-15,54
2024-09-16,21
