Time,yankees
2023-04-26,56
2023-04-27,30
2023-04-28,49
2023-04-29,59
2023-04-30,65
2023-05-01,34
2023-05-02,47
2023-05-03,48
2023-05-04,48
2023-05-05,30
2023-05-06,65
2023-05-07,67
2023-05-08,32
2023-05-09,45
2023-05-10,57
2023-05-11,36
2023-05-12,44
2023-05-13,84
2023-05-14,67
2023-05-15,30
2023-05-16,51
2023-05-17,63
2023-05-18,60
2023-05-19,56
2023-05-20,86
2023-05-21,84
2023-05-22,31
2023-05-23,35
2023-05-24,72
2023-05-25,78
2023-05-26,61
2023-05-27,89
2023-05-28,70
2023-05-29,43
2023-05-30,56
2023-05-31,59
2023-06-01,54
2023-06-02,32
2023-06-03,77
2023-06-04,88
2023-06-05,59
2023-06-06,39
2023-06-07,61
2023-06-08,68
2023-06-09,59
2023-06-10,64
2023-06-11,79
2023-06-12,54
2023-06-13,35
2023-06-14,69
2023-06-15,67
2023-06-16,35
2023-06-17,69
2023-06-18,83
2023-06-19,54
2023-06-20,31
2023-06-21,50
2023-06-22,52
2023-06-23,52
2023-06-24,70
2023-06-25,65
2023-06-26,28
2023-06-27,28
2023-06-28,44
2023-06-29,89
2023-06-30,41
2023-07-01,100
2023-07-02,89
2023-07-03,41
2023-07-04,91
2023-07-05,46
2023-07-06,62
2023-07-07,63
2023-07-08,80
2023-07-09,70
2023-07-10,27
2023-07-11,24
2023-07-12,22
2023-07-13,24
2023-07-14,28
2023-07-15,60
2023-07-16,81
2023-07-17,32
2023-07-18,61
2023-07-19,58
2023-07-20,49
2023-07-21,35
2023-07-22,67
2023-07-23,61
2023-07-24,31
2023-07-25,40
2023-07-26,53
2023-07-27,48
2023-07-28,42
2023-07-29,89
2023-07-30,84
2023-07-31,65
2023-08-01,73
2023-08-02,58
2023-08-03,63
2023-08-04,68
2023-08-05,89
2023-08-06,84
2023-08-07,33
2023-08-08,49
2023-08-09,46
2023-08-10,48
2023-08-11,33
2023-08-12,58
2023-08-13,58
2023-08-14,35
2023-08-15,48
2023-08-16,51
2023-08-17,46
2023-08-18,36
2023-08-19,80
2023-08-20,68
2023-08-21,27
2023-08-22,30
2023-08-23,47
2023-08-24,59
2023-08-25,29
2023-08-26,55
2023-08-27,55
2023-08-28,27
2023-08-29,38
2023-08-30,40
2023-08-31,50
2023-09-01,27
2023-09-02,65
2023-09-03,63
2023-09-04,60
2023-09-05,27
2023-09-06,45
2023-09-07,48
2023-09-08,43
2023-09-09,72
2023-09-10,58
2023-09-11,30
2023-09-12,55
2023-09-13,54
2023-09-14,63
2023-09-15,50
2023-09-16,59
2023-09-17,54
2023-09-18,20
2023-09-19,24
2023-09-20,33
2023-09-21,37
2023-09-22,35
2023-09-23,45
2023-09-24,45
2023-09-25,32
2023-09-26,20
2023-09-27,30
2023-09-28,34
2023-09-29,26
2023-09-30,34
2023-10-01,37
2023-10-02,17
2023-10-03,14
2023-10-04,13
2023-10-05,11
2023-10-06,9
2023-10-07,11
2023-10-08,10
2023-10-09,8
2023-10-10,9
2023-10-11,10
2023-10-12,11
2023-10-13,9
2023-10-14,8
2023-10-15,8
2023-10-16,9
2023-10-17,8
2023-10-18,9
2023-10-19,8
2023-10-20,9
2023-10-21,9
2023-10-22,8
2023-10-23,8
2023-10-24,10
2023-10-25,10
2023-10-26,8
2023-10-27,9
2023-10-28,9
2023-10-29,8
2023-10-30,7
2023-10-31,8
2023-11-01,8
2023-11-02,11
2023-11-03,9
2023-11-04,9
2023-11-05,9
2023-11-06,12
2023-11-07,11
2023-11-08,11
2023-11-09,10
2023-11-10,9
2023-11-11,10
2023-11-12,9
2023-11-13,9
2023-11-14,10
2023-11-15,10
2023-11-16,10
2023-11-17,10
2023-11-18,11
2023-11-19,10
2023-11-20,10
2023-11-21,11
2023-11-22,12
2023-11-23,10
2023-11-24,12
2023-11-25,11
2023-11-26,10
2023-11-27,10
2023-11-28,11
2023-11-29,12
2023-11-30,13
2023-12-01,12
2023-12-02,13
2023-12-03,12
2023-12-04,14
2023-12-05,16
2023-12-06,39
2023-12-07,50
2023-12-08,21
2023-12-09,21
2023-12-10,20
2023-12-11,19
2023-12-12,17
2023-12-13,16
2023-12-14,18
2023-12-15,18
2023-12-16,16
2023-12-17,16
2023-12-18,16
2023-12-19,17
2023-12-20,17
2023-12-21,17
2023-12-22,23
2023-12-23,17
2023-12-24,14
2023-12-25,14
2023-12-26,14
2023-12-27,15
2023-12-28,14
2023-12-29,14
2023-12-30,15
2023-12-31,13
2024-01-01,13
2024-01-02,13
2024-01-03,13
2024-01-04,14
2024-01-05,14
2024-01-06,13
2024-01-07,14
2024-01-08,13
2024-01-09,14
2024-01-10,14
2024-01-11,14
2024-01-12,21
2024-01-13,15
2024-01-14,14
2024-01-15,13
2024-01-16,13
2024-01-17,15
2024-01-18,12
2024-01-19,13
2024-01-20,14
