Time,big lots
2023-12-22,77
2023-12-23,93
2023-12-24,97
2023-12-25,51
2023-12-26,69
2023-12-27,61
2023-12-28,58
2023-12-29,59
2023-12-30,65
2023-12-31,62
2024-01-01,60
2024-01-02,44
2024-01-03,44
2024-01-04,42
2024-01-05,43
2024-01-06,57
2024-01-07,54
2024-01-08,38
2024-01-09,33
2024-01-10,34
2024-01-11,38
2024-01-12,40
2024-01-13,52
2024-01-14,52
2024-01-15,40
2024-01-16,32
2024-01-17,37
2024-01-18,37
2024-01-19,37
2024-01-20,62
2024-01-21,63
2024-01-22,38
2024-01-23,32
2024-01-24,32
2024-01-25,32
2024-01-26,34
2024-01-27,48
2024-01-28,47
2024-01-29,32
2024-01-30,32
2024-01-31,37
2024-02-01,34
2024-02-02,39
2024-02-03,58
2024-02-04,57
2024-02-05,35
2024-02-06,33
2024-02-07,32
2024-02-08,33
2024-02-09,37
2024-02-10,50
2024-02-11,46
2024-02-12,31
2024-02-13,35
2024-02-14,31
2024-02-15,34
2024-02-16,41
2024-02-17,57
2024-02-18,62
2024-02-19,46
2024-02-20,39
2024-02-21,38
2024-02-22,41
2024-02-23,42
2024-02-24,64
2024-02-25,63
2024-02-26,43
2024-02-27,39
2024-02-28,39
2024-02-29,40
2024-03-01,44
2024-03-02,59
2024-03-03,63
2024-03-04,44
2024-03-05,36
2024-03-06,37
2024-03-07,38
2024-03-08,42
2024-03-09,58
2024-03-10,59
2024-03-11,38
2024-03-12,39
2024-03-13,40
2024-03-14,40
2024-03-15,42
2024-03-16,57
2024-03-17,62
2024-03-18,41
2024-03-19,36
2024-03-20,38
2024-03-21,40
2024-03-22,45
2024-03-23,62
2024-03-24,76
2024-03-25,41
2024-03-26,37
2024-03-27,38
2024-03-28,42
2024-03-29,46
2024-03-30,61
2024-03-31,61
2024-04-01,41
2024-04-02,36
2024-04-03,39
2024-04-04,40
2024-04-05,44
2024-04-06,54
2024-04-07,60
2024-04-08,39
2024-04-09,36
2024-04-10,37
2024-04-11,40
2024-04-12,47
2024-04-13,72
2024-04-14,88
2024-04-15,46
2024-04-16,40
2024-04-17,40
2024-04-18,40
2024-04-19,45
2024-04-20,59
2024-04-21,62
2024-04-22,41
2024-04-23,40
2024-04-24,40
2024-04-25,39
2024-04-26,42
2024-04-27,55
2024-04-28,62
2024-04-29,41
2024-04-30,38
2024-05-01,38
2024-05-02,42
2024-05-03,43
2024-05-04,55
2024-05-05,63
2024-05-06,39
2024-05-07,37
2024-05-08,37
2024-05-09,39
2024-05-10,44
2024-05-11,60
2024-05-12,59
2024-05-13,41
2024-05-14,41
2024-05-15,39
2024-05-16,42
2024-05-17,45
2024-05-18,61
2024-05-19,79
2024-05-20,46
2024-05-21,43
2024-05-22,44
2024-05-23,45
2024-05-24,53
2024-05-25,71
2024-05-26,75
2024-05-27,73
2024-05-28,44
2024-05-29,41
2024-05-30,43
2024-05-31,44
2024-06-01,56
2024-06-02,63
2024-06-03,42
2024-06-04,41
2024-06-05,43
2024-06-06,45
2024-06-07,48
2024-06-08,69
2024-06-09,75
2024-06-10,46
2024-06-11,44
2024-06-12,43
2024-06-13,44
2024-06-14,50
2024-06-15,62
2024-06-16,62
2024-06-17,47
2024-06-18,42
2024-06-19,48
2024-06-20,42
2024-06-21,48
2024-06-22,60
2024-06-23,65
2024-06-24,46
2024-06-25,44
2024-06-26,43
2024-06-27,44
2024-06-28,48
2024-06-29,63
2024-06-30,65
2024-07-01,47
2024-07-02,48
2024-07-03,51
2024-07-04,72
2024-07-05,60
2024-07-06,62
2024-07-07,61
2024-07-08,45
2024-07-09,46
2024-07-10,74
2024-07-11,55
2024-07-12,64
2024-07-13,62
2024-07-14,61
2024-07-15,45
2024-07-16,48
2024-07-17,47
2024-07-18,45
2024-07-19,51
2024-07-20,67
2024-07-21,66
2024-07-22,48
2024-07-23,52
2024-07-24,53
2024-07-25,49
2024-07-26,48
2024-07-27,60
2024-07-28,63
2024-07-29,44
2024-07-30,44
2024-07-31,45
2024-08-01,43
2024-08-02,56
2024-08-03,100
2024-08-04,83
2024-08-05,55
2024-08-06,63
2024-08-07,62
2024-08-08,76
2024-08-09,66
2024-08-10,81
2024-08-11,94
2024-08-12,69
2024-08-13,52
2024-08-14,58
2024-08-15,48
2024-08-16,52
2024-08-17,66
2024-08-18,66
2024-08-19,45
2024-08-20,43
2024-08-21,40
2024-08-22,40
2024-08-23,41
2024-08-24,59
2024-08-25,62
2024-08-26,42
2024-08-27,36
2024-08-28,41
2024-08-29,44
2024-08-30,51
2024-08-31,62
2024-09-01,68
2024-09-02,70
2024-09-03,41
2024-09-04,36
2024-09-05,40
2024-09-06,42
2024-09-07,58
2024-09-08,62
2024-09-09,69
2024-09-10,56
2024-09-11,46
2024-09-12,45
2024-09-13,57
2024-09-14,71
2024-09-15,65
2024-09-16,39
