Time,big lots
2025-12-11,73
2025-12-12,68
2025-12-13,85
2025-12-14,86
2025-12-15,64
2025-12-16,65
2025-12-17,68
2025-12-18,74
2025-12-19,75
2025-12-20,99
2025-12-21,88
2025-12-22,83
2025-12-23,75
2025-12-24,100
2025-12-25,59
2025-12-26,77
2025-12-27,88
2025-12-28,80
2025-12-29,62
2025-12-30,60
2025-12-31,71
2026-01-01,72
2026-01-02,70
2026-01-03,75
2026-01-04,72
2026-01-05,47
2026-01-06,52
2026-01-07,54
2026-01-08,47
2026-01-09,50
2026-01-10,66
2026-01-11,62
2026-01-12,45
2026-01-13,46
2026-01-14,44
2026-01-15,51
2026-01-16,55
2026-01-17,70
2026-01-18,66
2026-01-19,54
2026-01-20,50
2026-01-21,51
2026-01-22,49
2026-01-23,56
2026-01-24,63
2026-01-25,53
2026-01-26,43
2026-01-27,49
2026-01-28,49
2026-01-29,50
2026-01-30,59
2026-01-31,64
2026-02-01,58
2026-02-02,48
2026-02-03,47
2026-02-04,50
2026-02-05,45
2026-02-06,53
2026-02-07,64
2026-02-08,57
2026-02-09,40
2026-02-10,45
2026-02-11,49
2026-02-12,52
2026-02-13,52
2026-02-14,59
2026-02-15,69
2026-02-16,56
2026-02-17,52
2026-02-18,46
2026-02-19,52
2026-02-20,59
2026-02-21,77
2026-02-22,70
2026-02-23,58
2026-02-24,51
2026-02-25,59
2026-02-26,64
2026-02-27,63
2026-02-28,80
2026-03-01,74
2026-03-02,55
2026-03-03,60
2026-03-04,59
2026-03-05,61
2026-03-06,64
2026-03-07,84
2026-03-08,72
2026-03-09,58
2026-03-10,61
2026-03-11,56
2026-03-12,56
2026-03-13,66
2026-03-14,83
2026-03-15,76
2026-03-16,56
2026-03-17,51
2026-03-18,53
2026-03-19,50
2026-03-20,72
2026-03-21,73
2026-03-22,78
2026-03-23,56
2026-03-24,59
2026-03-25,51
2026-03-26,60
2026-03-27,64
2026-03-28,73
2026-03-29,76
2026-03-30,57
2026-03-31,52
2026-04-01,54
2026-04-02,58
2026-04-03,65
2026-04-04,73
2026-04-05,64
2026-04-06,51
2026-04-07,51
2026-04-08,53
2026-04-09,56
2026-04-10,58
2026-04-11,79
2026-04-12,84
2026-04-13,59
2026-04-14,57
2026-04-15,53
2026-04-16,56
2026-04-17,66
2026-04-18,73
2026-04-19,77
2026-04-20,60
2026-04-21,60
2026-04-22,55
2026-04-23,58
2026-04-24,55
2026-04-25,77
2026-04-26,71
2026-04-27,52
2026-04-28,51
2026-04-29,61
2026-04-30,54
2026-05-01,56
2026-05-02,74
2026-05-03,85
2026-05-04,57
2026-05-05,53
2026-05-06,59
2026-05-07,56
2026-05-08,58
2026-05-09,72
2026-05-10,76
2026-05-11,57
2026-05-12,56
2026-05-13,55
2026-05-14,61
2026-05-15,61
2026-05-16,77
2026-05-17,76
2026-05-18,58
2026-05-19,57
2026-05-20,56
2026-05-21,53
2026-05-22,63
2026-05-23,79
2026-05-24,85
2026-05-25,71
2026-05-26,57
2026-05-27,52
2026-05-28,56
2026-05-29,63
2026-05-30,80
2026-05-31,78
