Time,laura loomer
2023-04-26,7
2023-04-27,0
2023-04-28,0
2023-04-29,0
2023-04-30,10
2023-05-01,0
2023-05-02,0
2023-05-03,9
2023-05-04,0
2023-05-05,0
2023-05-06,0
2023-05-07,0
2023-05-08,0
2023-05-09,0
2023-05-10,0
2023-05-11,0
2023-05-12,0
2023-05-13,0
2023-05-14,0
2023-05-15,0
2023-05-16,10
2023-05-17,0
2023-05-18,0
2023-05-19,0
2023-05-20,0
2023-05-21,0
2023-05-22,0
2023-05-23,0
2023-05-24,0
2023-05-25,0
2023-05-26,0
2023-05-27,0
2023-05-28,19
2023-05-29,11
2023-05-30,12
2023-05-31,0
2023-06-01,15
2023-06-02,0
2023-06-03,11
2023-06-04,11
2023-06-05,14
2023-06-06,18
2023-06-07,12
2023-06-08,7
2023-06-09,0
2023-06-10,0
2023-06-11,0
2023-06-12,9
2023-06-13,40
2023-06-14,9
2023-06-15,8
2023-06-16,0
2023-06-17,9
2023-06-18,0
2023-06-19,0
2023-06-20,0
2023-06-21,0
2023-06-22,7
2023-06-23,18
2023-06-24,14
2023-06-25,8
2023-06-26,25
2023-06-27,27
2023-06-28,10
2023-06-29,0
2023-06-30,0
2023-07-01,0
2023-07-02,0
2023-07-03,7
2023-07-04,11
2023-07-05,0
2023-07-06,0
2023-07-07,11
2023-07-08,10
2023-07-09,12
2023-07-10,0
2023-07-11,0
2023-07-12,0
2023-07-13,0
2023-07-14,0
2023-07-15,14
2023-07-16,8
2023-07-17,18
2023-07-18,38
2023-07-19,10
2023-07-20,10
2023-07-21,0
2023-07-22,11
2023-07-23,0
2023-07-24,0
2023-07-25,0
2023-07-26,0
2023-07-27,30
2023-07-28,11
2023-07-29,9
2023-07-30,11
2023-07-31,15
2023-08-01,7
2023-08-02,0
2023-08-03,7
2023-08-04,13
2023-08-05,0
2023-08-06,10
2023-08-07,13
2023-08-08,8
2023-08-09,19
2023-08-10,0
2023-08-11,9
2023-08-12,0
2023-08-13,13
2023-08-14,61
2023-08-15,29
2023-08-16,18
2023-08-17,13
2023-08-18,35
2023-08-19,67
2023-08-20,26
2023-08-21,19
2023-08-22,11
2023-08-23,25
2023-08-24,30
2023-08-25,45
2023-08-26,28
2023-08-27,16
2023-08-28,16
2023-08-29,18
2023-08-30,12
2023-08-31,24
2023-09-01,24
2023-09-02,15
2023-09-03,36
2023-09-04,36
2023-09-05,27
2023-09-06,21
2023-09-07,14
2023-09-08,31
2023-09-09,25
2023-09-10,15
2023-09-11,0
2023-09-12,0
2023-09-13,9
2023-09-14,8
2023-09-15,0
2023-09-16,0
2023-09-17,0
2023-09-18,0
2023-09-19,0
2023-09-20,0
2023-09-21,0
2023-09-22,0
2023-09-23,0
2023-09-24,0
2023-09-25,8
2023-09-26,7
2023-09-27,0
2023-09-28,8
2023-09-29,0
2023-09-30,0
2023-10-01,0
2023-10-02,0
2023-10-03,16
2023-10-04,8
2023-10-05,15
2023-10-06,22
2023-10-07,16
2023-10-08,17
2023-10-09,23
2023-10-10,22
2023-10-11,12
2023-10-12,26
2023-10-13,23
2023-10-14,13
2023-10-15,11
2023-10-16,10
2023-10-17,10
2023-10-18,14
2023-10-19,22
2023-10-20,8
2023-10-21,12
2023-10-22,10
2023-10-23,11
2023-10-24,17
2023-10-25,21
2023-10-26,0
2023-10-27,18
2023-10-28,17
2023-10-29,0
2023-10-30,10
2023-10-31,0
2023-11-01,8
2023-11-02,0
2023-11-03,10
2023-11-04,13
2023-11-05,15
2023-11-06,11
2023-11-07,0
2023-11-08,8
2023-11-09,16
2023-11-10,23
2023-11-11,36
2023-11-12,44
2023-11-13,54
2023-11-14,35
2023-11-15,16
2023-11-16,25
2023-11-17,32
2023-11-18,32
2023-11-19,21
2023-11-20,13
2023-11-21,0
2023-11-22,18
2023-11-23,14
2023-11-24,0
2023-11-25,10
2023-11-26,13
2023-11-27,8
2023-11-28,10
2023-11-29,13
2023-11-30,13
2023-12-01,17
2023-12-02,21
2023-12-03,20
2023-12-04,11
2023-12-05,9
2023-12-06,14
2023-12-07,13
2023-12-08,0
2023-12-09,0
2023-12-10,7
2023-12-11,6
2023-12-12,9
2023-12-13,10
2023-12-14,13
2023-12-15,8
2023-12-16,13
2023-12-17,19
2023-12-18,31
2023-12-19,14
2023-12-20,18
2023-12-21,14
2023-12-22,13
2023-12-23,0
2023-12-24,0
2023-12-25,16
2023-12-26,10
2023-12-27,15
2023-12-28,9
2023-12-29,18
2023-12-30,27
2023-12-31,30
2024-01-01,23
2024-01-02,13
2024-01-03,14
2024-01-04,19
2024-01-05,0
2024-01-06,29
2024-01-07,65
2024-01-08,24
2024-01-09,12
2024-01-10,19
2024-01-11,10
2024-01-12,31
2024-01-13,61
2024-01-14,39
2024-01-15,100
2024-01-16,45
2024-01-17,34
2024-01-18,24
2024-01-19,20
2024-01-20,11
