Time,signature bank
2023-12-22,56
2023-12-23,34
2023-12-24,20
2023-12-25,21
2023-12-26,58
2023-12-27,71
2023-12-28,81
2023-12-29,46
2023-12-30,34
2023-12-31,39
2024-01-01,33
2024-01-02,55
2024-01-03,81
2024-01-04,78
2024-01-05,63
2024-01-06,22
2024-01-07,26
2024-01-08,59
2024-01-09,57
2024-01-10,77
2024-01-11,69
2024-01-12,64
2024-01-13,38
2024-01-14,24
2024-01-15,29
2024-01-16,62
2024-01-17,77
2024-01-18,52
2024-01-19,67
2024-01-20,29
2024-01-21,37
2024-01-22,72
2024-01-23,74
2024-01-24,64
2024-01-25,57
2024-01-26,51
2024-01-27,45
2024-01-28,22
2024-01-29,70
2024-01-30,68
2024-01-31,94
2024-02-01,100
2024-02-02,60
2024-02-03,27
2024-02-04,36
2024-02-05,72
2024-02-06,79
2024-02-07,99
2024-02-08,77
2024-02-09,70
2024-02-10,40
2024-02-11,22
2024-02-12,64
2024-02-13,49
2024-02-14,78
2024-02-15,66
2024-02-16,48
2024-02-17,33
2024-02-18,28
2024-02-19,49
2024-02-20,75
2024-02-21,66
2024-02-22,49
2024-02-23,45
2024-02-24,18
2024-02-25,33
2024-02-26,70
2024-02-27,49
2024-02-28,56
2024-02-29,59
2024-03-01,72
2024-03-02,36
2024-03-03,38
2024-03-04,77
2024-03-05,75
2024-03-06,87
2024-03-07,53
2024-03-08,58
2024-03-09,45
2024-03-10,36
2024-03-11,71
2024-03-12,65
2024-03-13,53
2024-03-14,57
2024-03-15,57
2024-03-16,37
2024-03-17,25
2024-03-18,65
2024-03-19,51
2024-03-20,53
2024-03-21,58
2024-03-22,66
2024-03-23,24
2024-03-24,23
2024-03-25,64
2024-03-26,45
2024-03-27,64
2024-03-28,39
2024-03-29,36
2024-03-30,31
2024-03-31,30
2024-04-01,53
2024-04-02,67
2024-04-03,57
2024-04-04,58
2024-04-05,57
2024-04-06,39
2024-04-07,25
2024-04-08,43
2024-04-09,54
2024-04-10,74
2024-04-11,69
2024-04-12,61
2024-04-13,44
2024-04-14,34
2024-04-15,48
2024-04-16,50
2024-04-17,59
2024-04-18,58
2024-04-19,53
2024-04-20,29
2024-04-21,17
2024-04-22,47
2024-04-23,58
2024-04-24,45
2024-04-25,57
2024-04-26,47
2024-04-27,22
2024-04-28,33
2024-04-29,63
2024-04-30,69
2024-05-01,69
2024-05-02,66
2024-05-03,51
2024-05-04,29
2024-05-05,31
2024-05-06,62
2024-05-07,40
2024-05-08,61
2024-05-09,57
2024-05-10,49
2024-05-11,34
2024-05-12,32
2024-05-13,52
2024-05-14,54
2024-05-15,55
2024-05-16,52
2024-05-17,48
2024-05-18,45
2024-05-19,28
2024-05-20,53
2024-05-21,50
2024-05-22,61
2024-05-23,50
2024-05-24,47
2024-05-25,18
2024-05-26,29
2024-05-27,0
2024-05-28,52
2024-05-29,40
2024-05-30,52
2024-05-31,58
2024-06-01,30
2024-06-02,27
2024-06-03,63
2024-06-04,62
2024-06-05,53
2024-06-06,54
2024-06-07,44
2024-06-08,32
2024-06-09,20
2024-06-10,55
2024-06-11,55
2024-06-12,56
2024-06-13,60
2024-06-14,46
2024-06-15,24
2024-06-16,31
2024-06-17,51
2024-06-18,34
2024-06-19,48
2024-06-20,49
2024-06-21,43
2024-06-22,20
2024-06-23,23
2024-06-24,51
2024-06-25,51
2024-06-26,48
2024-06-27,47
2024-06-28,63
2024-06-29,26
2024-06-30,0
2024-07-01,56
2024-07-02,61
2024-07-03,60
2024-07-04,25
2024-07-05,49
2024-07-06,18
2024-07-07,23
2024-07-08,47
2024-07-09,45
2024-07-10,57
2024-07-11,55
2024-07-12,56
2024-07-13,0
2024-07-14,21
2024-07-15,46
2024-07-16,49
2024-07-17,54
2024-07-18,55
2024-07-19,37
2024-07-20,33
2024-07-21,22
2024-07-22,59
2024-07-23,52
2024-07-24,51
2024-07-25,60
2024-07-26,41
2024-07-27,0
2024-07-28,35
2024-07-29,43
2024-07-30,53
2024-07-31,53
2024-08-01,35
2024-08-02,39
2024-08-03,18
2024-08-04,17
2024-08-05,43
2024-08-06,51
2024-08-07,53
2024-08-08,56
2024-08-09,38
2024-08-10,17
2024-08-11,0
2024-08-12,32
2024-08-13,40
2024-08-14,41
2024-08-15,42
2024-08-16,45
2024-08-17,32
2024-08-18,42
2024-08-19,55
2024-08-20,33
2024-08-21,48
2024-08-22,38
2024-08-23,53
2024-08-24,20
2024-08-25,19
2024-08-26,52
2024-08-27,45
2024-08-28,48
2024-08-29,40
2024-08-30,38
2024-08-31,18
2024-09-01,32
2024-09-02,29
2024-09-03,43
2024-09-04,40
2024-09-05,81
2024-09-06,48
2024-09-07,30
2024-09-08,21
2024-09-09,45
2024-09-10,38
2024-09-11,55
2024-09-12,53
2024-09-13,49
2024-09-14,24
2024-09-15,24
2024-09-16,57
