Time,signature bank
2023-04-26,64
2023-04-27,53
2023-04-28,65
2023-04-29,49
2023-04-30,38
2023-05-01,100
2023-05-02,72
2023-05-03,65
2023-05-04,71
2023-05-05,60
2023-05-06,17
2023-05-07,20
2023-05-08,53
2023-05-09,58
2023-05-10,44
2023-05-11,40
2023-05-12,37
2023-05-13,21
2023-05-14,16
2023-05-15,39
2023-05-16,53
2023-05-17,49
2023-05-18,36
2023-05-19,35
2023-05-20,18
2023-05-21,16
2023-05-22,38
2023-05-23,44
2023-05-24,43
2023-05-25,38
2023-05-26,42
2023-05-27,17
2023-05-28,16
2023-05-29,18
2023-05-30,40
2023-05-31,41
2023-06-01,57
2023-06-02,39
2023-06-03,21
2023-06-04,15
2023-06-05,39
2023-06-06,45
2023-06-07,42
2023-06-08,41
2023-06-09,37
2023-06-10,11
2023-06-11,17
2023-06-12,37
2023-06-13,42
2023-06-14,36
2023-06-15,45
2023-06-16,43
2023-06-17,24
2023-06-18,13
2023-06-19,23
2023-06-20,40
2023-06-21,40
2023-06-22,40
2023-06-23,41
2023-06-24,17
2023-06-25,12
2023-06-26,42
2023-06-27,35
2023-06-28,44
2023-06-29,34
2023-06-30,40
2023-07-01,10
2023-07-02,19
2023-07-03,36
2023-07-04,16
2023-07-05,47
2023-07-06,42
2023-07-07,41
2023-07-08,14
2023-07-09,22
2023-07-10,36
2023-07-11,43
2023-07-12,36
2023-07-13,44
2023-07-14,39
2023-07-15,19
2023-07-16,10
2023-07-17,38
2023-07-18,35
2023-07-19,42
2023-07-20,31
2023-07-21,26
2023-07-22,20
2023-07-23,18
2023-07-24,51
2023-07-25,41
2023-07-26,39
2023-07-27,33
2023-07-28,42
2023-07-29,14
2023-07-30,16
2023-07-31,39
2023-08-01,37
2023-08-02,37
2023-08-03,33
2023-08-04,34
2023-08-05,17
2023-08-06,21
2023-08-07,38
2023-08-08,47
2023-08-09,35
2023-08-10,34
2023-08-11,28
2023-08-12,0
2023-08-13,12
2023-08-14,34
2023-08-15,37
2023-08-16,34
2023-08-17,37
2023-08-18,30
2023-08-19,17
2023-08-20,15
2023-08-21,35
2023-08-22,29
2023-08-23,32
2023-08-24,25
2023-08-25,35
2023-08-26,12
2023-08-27,12
2023-08-28,35
2023-08-29,26
2023-08-30,31
2023-08-31,28
2023-09-01,26
2023-09-02,14
2023-09-03,10
2023-09-04,12
2023-09-05,49
2023-09-06,35
2023-09-07,31
2023-09-08,33
2023-09-09,19
2023-09-10,21
2023-09-11,32
2023-09-12,36
2023-09-13,32
2023-09-14,29
2023-09-15,41
2023-09-16,16
2023-09-17,9
2023-09-18,33
2023-09-19,31
2023-09-20,24
2023-09-21,34
2023-09-22,33
2023-09-23,18
2023-09-24,13
2023-09-25,25
2023-09-26,40
2023-09-27,31
2023-09-28,30
2023-09-29,42
2023-09-30,15
2023-10-01,10
2023-10-02,26
2023-10-03,33
2023-10-04,35
2023-10-05,41
2023-10-06,31
2023-10-07,13
2023-10-08,8
2023-10-09,28
2023-10-10,29
2023-10-11,33
2023-10-12,33
2023-10-13,24
2023-10-14,18
2023-10-15,11
2023-10-16,24
2023-10-17,29
2023-10-18,28
2023-10-19,25
2023-10-20,27
2023-10-21,16
2023-10-22,13
2023-10-23,27
2023-10-24,31
2023-10-25,32
2023-10-26,24
2023-10-27,32
2023-10-28,11
2023-10-29,16
2023-10-30,33
2023-10-31,38
2023-11-01,39
2023-11-02,30
2023-11-03,35
2023-11-04,15
2023-11-05,9
2023-11-06,31
2023-11-07,37
2023-11-08,38
2023-11-09,31
2023-11-10,39
2023-11-11,12
2023-11-12,12
2023-11-13,26
2023-11-14,32
2023-11-15,30
2023-11-16,42
2023-11-17,34
2023-11-18,14
2023-11-19,22
2023-11-20,44
2023-11-21,30
2023-11-22,29
2023-11-23,12
2023-11-24,15
2023-11-25,11
2023-11-26,12
2023-11-27,23
2023-11-28,33
2023-11-29,30
2023-11-30,34
2023-12-01,29
2023-12-02,11
2023-12-03,15
2023-12-04,35
2023-12-05,33
2023-12-06,36
2023-12-07,31
2023-12-08,38
2023-12-09,15
2023-12-10,12
2023-12-11,28
2023-12-12,32
2023-12-13,30
2023-12-14,31
2023-12-15,29
2023-12-16,16
2023-12-17,10
2023-12-18,39
2023-12-19,25
2023-12-20,31
2023-12-21,32
2023-12-22,26
2023-12-23,16
2023-12-24,10
2023-12-25,10
2023-12-26,28
2023-12-27,33
2023-12-28,38
2023-12-29,22
2023-12-30,16
2023-12-31,19
2024-01-01,16
2024-01-02,26
2024-01-03,38
2024-01-04,37
2024-01-05,30
2024-01-06,10
2024-01-07,12
2024-01-08,28
2024-01-09,27
2024-01-10,36
2024-01-11,33
2024-01-12,30
2024-01-13,18
2024-01-14,11
2024-01-15,14
2024-01-16,29
2024-01-17,36
2024-01-18,25
2024-01-19,32
2024-01-20,14
