Time,ny yankees
2023-04-26,50
2023-04-27,31
2023-04-28,49
2023-04-29,57
2023-04-30,67
2023-05-01,32
2023-05-02,42
2023-05-03,48
2023-05-04,51
2023-05-05,32
2023-05-06,66
2023-05-07,62
2023-05-08,30
2023-05-09,41
2023-05-10,53
2023-05-11,35
2023-05-12,39
2023-05-13,80
2023-05-14,63
2023-05-15,31
2023-05-16,47
2023-05-17,60
2023-05-18,59
2023-05-19,52
2023-05-20,85
2023-05-21,89
2023-05-22,30
2023-05-23,32
2023-05-24,69
2023-05-25,78
2023-05-26,55
2023-05-27,85
2023-05-28,67
2023-05-29,43
2023-05-30,50
2023-05-31,55
2023-06-01,51
2023-06-02,35
2023-06-03,65
2023-06-04,78
2023-06-05,49
2023-06-06,34
2023-06-07,61
2023-06-08,61
2023-06-09,57
2023-06-10,62
2023-06-11,76
2023-06-12,49
2023-06-13,31
2023-06-14,62
2023-06-15,58
2023-06-16,35
2023-06-17,68
2023-06-18,79
2023-06-19,54
2023-06-20,32
2023-06-21,48
2023-06-22,48
2023-06-23,52
2023-06-24,67
2023-06-25,64
2023-06-26,30
2023-06-27,30
2023-06-28,45
2023-06-29,81
2023-06-30,37
2023-07-01,100
2023-07-02,94
2023-07-03,37
2023-07-04,89
2023-07-05,46
2023-07-06,61
2023-07-07,51
2023-07-08,76
2023-07-09,74
2023-07-10,30
2023-07-11,22
2023-07-12,24
2023-07-13,25
2023-07-14,30
2023-07-15,58
2023-07-16,82
2023-07-17,35
2023-07-18,51
2023-07-19,54
2023-07-20,54
2023-07-21,34
2023-07-22,68
2023-07-23,59
2023-07-24,32
2023-07-25,38
2023-07-26,46
2023-07-27,47
2023-07-28,44
2023-07-29,90
2023-07-30,88
2023-07-31,66
2023-08-01,81
2023-08-02,63
2023-08-03,67
2023-08-04,69
2023-08-05,89
2023-08-06,88
2023-08-07,35
2023-08-08,51
2023-08-09,52
2023-08-10,49
2023-08-11,35
2023-08-12,64
2023-08-13,62
2023-08-14,35
2023-08-15,46
2023-08-16,49
2023-08-17,48
2023-08-18,38
2023-08-19,82
2023-08-20,77
2023-08-21,33
2023-08-22,31
2023-08-23,47
2023-08-24,56
2023-08-25,30
2023-08-26,59
2023-08-27,62
2023-08-28,31
2023-08-29,39
2023-08-30,43
2023-08-31,51
2023-09-01,34
2023-09-02,62
2023-09-03,62
2023-09-04,63
2023-09-05,29
2023-09-06,49
2023-09-07,47
2023-09-08,46
2023-09-09,75
2023-09-10,59
2023-09-11,35
2023-09-12,55
2023-09-13,51
2023-09-14,65
2023-09-15,47
2023-09-16,64
2023-09-17,59
2023-09-18,25
2023-09-19,28
2023-09-20,35
2023-09-21,39
2023-09-22,38
2023-09-23,48
2023-09-24,50
2023-09-25,34
2023-09-26,24
2023-09-27,33
2023-09-28,34
2023-09-29,28
2023-09-30,41
2023-10-01,43
2023-10-02,24
2023-10-03,14
2023-10-04,13
2023-10-05,11
2023-10-06,11
2023-10-07,11
2023-10-08,12
2023-10-09,9
2023-10-10,9
2023-10-11,10
2023-10-12,11
2023-10-13,9
2023-10-14,9
2023-10-15,9
2023-10-16,9
2023-10-17,6
2023-10-18,8
2023-10-19,8
2023-10-20,7
2023-10-21,9
2023-10-22,9
2023-10-23,7
2023-10-24,10
2023-10-25,9
2023-10-26,8
2023-10-27,9
2023-10-28,9
2023-10-29,8
2023-10-30,7
2023-10-31,9
2023-11-01,8
2023-11-02,9
2023-11-03,9
2023-11-04,8
2023-11-05,10
2023-11-06,10
2023-11-07,11
2023-11-08,11
2023-11-09,11
2023-11-10,10
2023-11-11,11
2023-11-12,10
2023-11-13,10
2023-11-14,10
2023-11-15,10
2023-11-16,12
2023-11-17,11
2023-11-18,12
2023-11-19,12
2023-11-20,12
2023-11-21,12
2023-11-22,13
2023-11-23,10
2023-11-24,11
2023-11-25,12
2023-11-26,10
2023-11-27,12
2023-11-28,13
2023-11-29,13
2023-11-30,14
2023-12-01,13
2023-12-02,15
2023-12-03,16
2023-12-04,17
2023-12-05,18
2023-12-06,31
2023-12-07,36
2023-12-08,24
2023-12-09,22
2023-12-10,21
2023-12-11,18
2023-12-12,19
2023-12-13,17
2023-12-14,18
2023-12-15,21
2023-12-16,19
2023-12-17,20
2023-12-18,18
2023-12-19,20
2023-12-20,21
2023-12-21,19
2023-12-22,26
2023-12-23,21
2023-12-24,16
2023-12-25,15
2023-12-26,17
2023-12-27,17
2023-12-28,14
2023-12-29,15
2023-12-30,16
2023-12-31,17
2024-01-01,17
2024-01-02,14
2024-01-03,15
2024-01-04,15
2024-01-05,17
2024-01-06,15
2024-01-07,16
2024-01-08,15
2024-01-09,16
2024-01-10,16
2024-01-11,17
2024-01-12,22
2024-01-13,16
2024-01-14,15
2024-01-15,15
2024-01-16,13
2024-01-17,16
2024-01-18,13
2024-01-19,14
2024-01-20,14
