Time,google maps
2025-12-11,60
2025-12-12,59
2025-12-13,39
2025-12-14,32
2025-12-15,58
2025-12-16,56
2025-12-17,58
2025-12-18,57
2025-12-19,55
2025-12-20,33
2025-12-21,31
2025-12-22,48
2025-12-23,47
2025-12-24,36
2025-12-25,23
2025-12-26,36
2025-12-27,34
2025-12-28,32
2025-12-29,44
2025-12-30,47
2025-12-31,41
2026-01-01,27
2026-01-02,45
2026-01-03,38
2026-01-04,31
2026-01-05,54
2026-01-06,58
2026-01-07,62
2026-01-08,61
2026-01-09,58
2026-01-10,39
2026-01-11,34
2026-01-12,65
2026-01-13,63
2026-01-14,66
2026-01-15,59
2026-01-16,61
2026-01-17,38
2026-01-18,33
2026-01-19,48
2026-01-20,59
2026-01-21,61
2026-01-22,61
2026-01-23,55
2026-01-24,53
2026-01-25,45
2026-01-26,58
2026-01-27,79
2026-01-28,57
2026-01-29,77
2026-01-30,68
2026-01-31,42
2026-02-01,38
2026-02-02,60
2026-02-03,61
2026-02-04,75
2026-02-05,100
2026-02-06,79
2026-02-07,47
2026-02-08,45
2026-02-09,62
2026-02-10,72
2026-02-11,70
2026-02-12,71
2026-02-13,87
2026-02-14,68
2026-02-15,42
2026-02-16,58
2026-02-17,64
2026-02-18,64
2026-02-19,63
2026-02-20,60
2026-02-21,46
2026-02-22,39
2026-02-23,62
2026-02-24,65
2026-02-25,62
2026-02-26,67
2026-02-27,64
2026-02-28,40
2026-03-01,39
2026-03-02,67
2026-03-03,70
2026-03-04,68
2026-03-05,68
2026-03-06,64
2026-03-07,46
2026-03-08,43
2026-03-09,68
2026-03-10,68
2026-03-11,71
2026-03-12,68
2026-03-13,66
2026-03-14,52
2026-03-15,48
2026-03-16,66
2026-03-17,73
2026-03-18,75
2026-03-19,81
2026-03-20,77
2026-03-21,51
2026-03-22,47
2026-03-23,76
2026-03-24,78
2026-03-25,76
2026-03-26,87
2026-03-27,73
2026-03-28,51
2026-03-29,51
2026-03-30,77
2026-03-31,77
2026-04-01,76
2026-04-02,66
2026-04-03,59
2026-04-04,50
2026-04-05,47
2026-04-06,73
2026-04-07,72
2026-04-08,73
2026-04-09,71
2026-04-10,65
2026-04-11,48
2026-04-12,42
2026-04-13,73
2026-04-14,72
2026-04-15,73
2026-04-16,73
2026-04-17,72
2026-04-18,51
2026-04-19,48
2026-04-20,73
2026-04-21,71
2026-04-22,76
2026-04-23,74
2026-04-24,66
2026-04-25,49
2026-04-26,48
2026-04-27,73
2026-04-28,75
2026-04-29,71
2026-04-30,73
2026-05-01,70
2026-05-02,48
2026-05-03,50
2026-05-04,73
2026-05-05,68
2026-05-06,73
2026-05-07,70
2026-05-08,66
2026-05-09,44
2026-05-10,41
2026-05-11,72
2026-05-12,69
2026-05-13,69
2026-05-14,69
2026-05-15,65
2026-05-16,46
2026-05-17,43
2026-05-18,67
2026-05-19,67
2026-05-20,67
2026-05-21,68
2026-05-22,64
2026-05-23,47
2026-05-24,44
2026-05-25,46
2026-05-26,68
2026-05-27,70
2026-05-28,69
2026-05-29,68
2026-05-30,53
2026-05-31,51
