Time,google maps
2022-08-29,92
2022-08-30,94
2022-08-31,88
2022-09-01,88
2022-09-02,85
2022-09-03,56
2022-09-04,51
2022-09-05,57
2022-09-06,91
2022-09-07,94
2022-09-08,88
2022-09-09,85
2022-09-10,54
2022-09-11,49
2022-09-12,88
2022-09-13,93
2022-09-14,87
2022-09-15,99
2022-09-16,86
2022-09-17,57
2022-09-18,51
2022-09-19,94
2022-09-20,93
2022-09-21,89
2022-09-22,89
2022-09-23,85
2022-09-24,55
2022-09-25,52
2022-09-26,89
2022-09-27,94
2022-09-28,95
2022-09-29,92
2022-09-30,89
2022-10-01,53
2022-10-02,48
2022-10-03,89
2022-10-04,89
2022-10-05,88
2022-10-06,88
2022-10-07,87
2022-10-08,57
2022-10-09,51
2022-10-10,83
2022-10-11,90
2022-10-12,82
2022-10-13,91
2022-10-14,82
2022-10-15,56
2022-10-16,50
2022-10-17,87
2022-10-18,88
2022-10-19,88
2022-10-20,84
2022-10-21,81
2022-10-22,52
2022-10-23,48
2022-10-24,82
2022-10-25,83
2022-10-26,86
2022-10-27,87
2022-10-28,84
2022-10-29,50
2022-10-30,46
2022-10-31,80
2022-11-01,80
2022-11-02,84
2022-11-03,79
2022-11-04,79
2022-11-05,51
2022-11-06,44
2022-11-07,79
2022-11-08,80
2022-11-09,77
2022-11-10,80
2022-11-11,75
2022-11-12,49
2022-11-13,45
2022-11-14,83
2022-11-15,85
2022-11-16,83
2022-11-17,84
2022-11-18,81
2022-11-19,50
2022-11-20,45
2022-11-21,74
2022-11-22,75
2022-11-23,67
2022-11-24,39
2022-11-25,46
2022-11-26,41
2022-11-27,45
2022-11-28,73
2022-11-29,78
2022-11-30,78
2022-12-01,76
2022-12-02,73
2022-12-03,48
2022-12-04,43
2022-12-05,74
2022-12-06,76
2022-12-07,80
2022-12-08,81
2022-12-09,75
2022-12-10,49
2022-12-11,42
2022-12-12,79
2022-12-13,79
2022-12-14,77
2022-12-15,76
2022-12-16,73
2022-12-17,48
2022-12-18,41
2022-12-19,75
2022-12-20,75
2022-12-21,70
2022-12-22,67
2022-12-23,52
2022-12-24,39
2022-12-25,33
2022-12-26,44
2022-12-27,65
2022-12-28,66
2022-12-29,66
2022-12-30,61
2022-12-31,44
2023-01-01,39
2023-01-02,54
2023-01-03,72
2023-01-04,82
2023-01-05,82
2023-01-06,82
2023-01-07,52
2023-01-08,48
2023-01-09,81
2023-01-10,92
2023-01-11,87
2023-01-12,85
2023-01-13,82
2023-01-14,53
2023-01-15,46
2023-01-16,68
2023-01-17,85
2023-01-18,87
2023-01-19,84
2023-01-20,81
2023-01-21,51
2023-01-22,46
2023-01-23,84
2023-01-24,89
2023-01-25,85
2023-01-26,85
2023-01-27,81
2023-01-28,54
2023-01-29,47
2023-01-30,80
2023-01-31,86
2023-02-01,83
2023-02-02,82
2023-02-03,84
2023-02-04,54
2023-02-05,51
2023-02-06,87
2023-02-07,92
2023-02-08,87
2023-02-09,86
2023-02-10,89
2023-02-11,57
2023-02-12,49
2023-02-13,78
2023-02-14,89
2023-02-15,89
2023-02-16,91
2023-02-17,84
2023-02-18,56
2023-02-19,53
2023-02-20,75
2023-02-21,87
2023-02-22,88
2023-02-23,85
2023-02-24,89
2023-02-25,56
2023-02-26,54
2023-02-27,89
2023-02-28,87
2023-03-01,89
2023-03-02,87
2023-03-03,81
2023-03-04,58
2023-03-05,54
2023-03-06,85
2023-03-07,84
2023-03-08,91
2023-03-09,91
2023-03-10,85
2023-03-11,59
2023-03-12,54
2023-03-13,82
2023-03-14,86
2023-03-15,88
2023-03-16,87
2023-03-17,79
2023-03-18,56
2023-03-19,54
2023-03-20,91
2023-03-21,86
2023-03-22,87
2023-03-23,87
2023-03-24,88
2023-03-25,55
2023-03-26,55
2023-03-27,87
2023-03-28,91
2023-03-29,85
2023-03-30,88
2023-03-31,82
2023-04-01,57
2023-04-02,53
2023-04-03,87
2023-04-04,88
2023-04-05,92
2023-04-06,90
2023-04-07,75
2023-04-08,52
2023-04-09,48
2023-04-10,91
2023-04-11,93
2023-04-12,92
2023-04-13,93
2023-04-14,87
2023-04-15,59
2023-04-16,55
2023-04-17,91
2023-04-18,87
2023-04-19,93
2023-04-20,89
2023-04-21,84
2023-04-22,60
2023-04-23,55
2023-04-24,88
2023-04-25,89
2023-04-26,88
2023-04-27,89
2023-04-28,84
2023-04-29,56
2023-04-30,53
2023-05-01,90
2023-05-02,92
2023-05-03,91
2023-05-04,92
2023-05-05,86
2023-05-06,57
2023-05-07,55
2023-05-08,92
2023-05-09,95
2023-05-10,92
2023-05-11,90
2023-05-12,91
2023-05-13,55
2023-05-14,51
2023-05-15,100
2023-05-16,98
2023-05-17,95
2023-05-18,97
2023-05-19,91
2023-05-20,59
2023-05-21,57
2023-05-22,93
2023-05-23,94
2023-05-24,93
2023-05-25,93
