Time,google maps
2024-08-18,34
2024-08-19,53
2024-08-20,57
2024-08-21,53
2024-08-22,54
2024-08-23,50
2024-08-24,34
2024-08-25,33
2024-08-26,51
2024-08-27,54
2024-08-28,53
2024-08-29,52
2024-08-30,50
2024-08-31,33
2024-09-01,32
2024-09-02,32
2024-09-03,50
2024-09-04,53
2024-09-05,54
2024-09-06,47
2024-09-07,32
2024-09-08,29
2024-09-09,49
2024-09-10,52
2024-09-11,51
2024-09-12,55
2024-09-13,49
2024-09-14,33
2024-09-15,29
2024-09-16,50
2024-09-17,53
2024-09-18,52
2024-09-19,51
2024-09-20,50
2024-09-21,31
2024-09-22,29
2024-09-23,49
2024-09-24,52
2024-09-25,53
2024-09-26,53
2024-09-27,48
2024-09-28,33
2024-09-29,30
2024-09-30,51
2024-10-01,49
2024-10-02,50
2024-10-03,52
2024-10-04,50
2024-10-05,32
2024-10-06,29
2024-10-07,53
2024-10-08,55
2024-10-09,56
2024-10-10,51
2024-10-11,47
2024-10-12,31
2024-10-13,30
2024-10-14,45
2024-10-15,48
2024-10-16,49
2024-10-17,48
2024-10-18,46
2024-10-19,32
2024-10-20,28
2024-10-21,50
2024-10-22,49
2024-10-23,50
2024-10-24,49
2024-10-25,48
2024-10-26,29
2024-10-27,27
2024-10-28,47
2024-10-29,49
2024-10-30,50
2024-10-31,47
2024-11-01,46
2024-11-02,29
2024-11-03,28
2024-11-04,46
2024-11-05,41
2024-11-06,33
2024-11-07,43
2024-11-08,45
2024-11-09,28
2024-11-10,26
2024-11-11,43
2024-11-12,47
2024-11-13,48
2024-11-14,48
2024-11-15,45
2024-11-16,26
2024-11-17,26
2024-11-18,46
2024-11-19,46
2024-11-20,47
2024-11-21,46
2024-11-22,43
2024-11-23,27
2024-11-24,25
2024-11-25,42
2024-11-26,42
2024-11-27,39
2024-11-28,22
2024-11-29,28
2024-11-30,24
2024-12-01,26
2024-12-02,45
2024-12-03,45
2024-12-04,46
2024-12-05,48
2024-12-06,46
2024-12-07,29
2024-12-08,26
2024-12-09,45
2024-12-10,47
2024-12-11,46
2024-12-12,48
2024-12-13,44
2024-12-14,29
2024-12-15,27
2024-12-16,45
2024-12-17,51
2024-12-18,59
2024-12-19,56
2024-12-20,49
2024-12-21,32
2024-12-22,27
2024-12-23,38
2024-12-24,29
2024-12-25,19
2024-12-26,36
2024-12-27,37
2024-12-28,29
2024-12-29,26
2024-12-30,39
2024-12-31,35
2025-01-01,24
2025-01-02,39
2025-01-03,40
2025-01-04,29
2025-01-05,27
2025-01-06,44
2025-01-07,48
2025-01-08,57
2025-01-09,53
2025-01-10,49
2025-01-11,31
2025-01-12,34
2025-01-13,50
2025-01-14,52
2025-01-15,50
2025-01-16,49
2025-01-17,46
2025-01-18,29
2025-01-19,25
2025-01-20,33
2025-01-21,45
2025-01-22,48
2025-01-23,49
2025-01-24,49
2025-01-25,29
2025-01-26,29
2025-01-27,52
2025-01-28,66
2025-01-29,57
2025-01-30,53
2025-01-31,47
2025-02-01,32
2025-02-02,30
2025-02-03,48
2025-02-04,49
2025-02-05,50
2025-02-06,49
2025-02-07,47
2025-02-08,31
2025-02-09,28
2025-02-10,50
2025-02-11,100
2025-02-12,69
2025-02-13,59
2025-02-14,54
2025-02-15,35
2025-02-16,32
2025-02-17,43
2025-02-18,53
2025-02-19,52
2025-02-20,51
2025-02-21,51
2025-02-22,32
2025-02-23,29
2025-02-24,53
2025-02-25,53
2025-02-26,54
2025-02-27,52
2025-02-28,51
2025-03-01,32
2025-03-02,31
2025-03-03,51
2025-03-04,56
2025-03-05,51
2025-03-06,52
2025-03-07,48
2025-03-08,32
2025-03-09,31
2025-03-10,52
2025-03-11,53
2025-03-12,56
2025-03-13,52
2025-03-14,48
2025-03-15,33
2025-03-16,32
2025-03-17,52
2025-03-18,51
2025-03-19,53
2025-03-20,51
2025-03-21,49
2025-03-22,32
2025-03-23,31
2025-03-24,48
2025-03-25,52
2025-03-26,51
2025-03-27,51
2025-03-28,49
2025-03-29,33
2025-03-30,31
2025-03-31,51
2025-04-01,50
2025-04-02,49
2025-04-03,51
2025-04-04,51
2025-04-05,33
2025-04-06,31
2025-04-07,54
2025-04-08,50
2025-04-09,53
2025-04-10,52
2025-04-11,51
2025-04-12,33
2025-04-13,30
2025-04-14,52
2025-04-15,54
2025-04-16,54
2025-04-17,51
2025-04-18,44
2025-04-19,30
2025-04-20,27
2025-04-21,51
2025-04-22,56
2025-04-23,54
2025-04-24,53
2025-04-25,49
2025-04-26,31
2025-04-27,32
2025-04-28,54
2025-04-29,53
2025-04-30,52
2025-05-01,58
2025-05-02,54
2025-05-03,34
2025-05-04,33
2025-05-05,55
2025-05-06,58
2025-05-07,57
2025-05-08,56
2025-05-09,54
2025-05-10,34
2025-05-11,30
2025-05-12,59
2025-05-13,55
2025-05-14,59
