Time,google maps
2023-04-26,88
2023-04-27,89
2023-04-28,84
2023-04-29,56
2023-04-30,53
2023-05-01,90
2023-05-02,92
2023-05-03,91
2023-05-04,92
2023-05-05,86
2023-05-06,57
2023-05-07,55
2023-05-08,92
2023-05-09,95
2023-05-10,92
2023-05-11,90
2023-05-12,91
2023-05-13,55
2023-05-14,51
2023-05-15,100
2023-05-16,98
2023-05-17,95
2023-05-18,97
2023-05-19,91
2023-05-20,59
2023-05-21,57
2023-05-22,93
2023-05-23,94
2023-05-24,93
2023-05-25,93
2023-05-26,87
2023-05-27,58
2023-05-28,55
2023-05-29,56
2023-05-30,92
2023-05-31,93
2023-06-01,94
2023-06-02,90
2023-06-03,58
2023-06-04,58
2023-06-05,93
2023-06-06,93
2023-06-07,95
2023-06-08,91
2023-06-09,86
2023-06-10,63
2023-06-11,56
2023-06-12,92
2023-06-13,92
2023-06-14,93
2023-06-15,90
2023-06-16,85
2023-06-17,59
2023-06-18,55
2023-06-19,84
2023-06-20,94
2023-06-21,91
2023-06-22,89
2023-06-23,88
2023-06-24,63
2023-06-25,58
2023-06-26,93
2023-06-27,92
2023-06-28,88
2023-06-29,94
2023-06-30,82
2023-07-01,60
2023-07-02,56
2023-07-03,73
2023-07-04,57
2023-07-05,89
2023-07-06,89
2023-07-07,86
2023-07-08,60
2023-07-09,54
2023-07-10,83
2023-07-11,85
2023-07-12,86
2023-07-13,85
2023-07-14,81
2023-07-15,57
2023-07-16,54
2023-07-17,86
2023-07-18,75
2023-07-19,73
2023-07-20,71
2023-07-21,66
2023-07-22,50
2023-07-23,49
2023-07-24,72
2023-07-25,71
2023-07-26,74
2023-07-27,68
2023-07-28,66
2023-07-29,54
2023-07-30,49
2023-07-31,64
2023-08-01,68
2023-08-02,70
2023-08-03,69
2023-08-04,72
2023-08-05,51
2023-08-06,47
2023-08-07,73
2023-08-08,72
2023-08-09,69
2023-08-10,70
2023-08-11,70
2023-08-12,47
2023-08-13,49
2023-08-14,70
2023-08-15,73
2023-08-16,75
2023-08-17,75
2023-08-18,69
2023-08-19,50
2023-08-20,50
2023-08-21,75
2023-08-22,76
2023-08-23,76
2023-08-24,75
2023-08-25,66
2023-08-26,45
2023-08-27,45
2023-08-28,71
2023-08-29,72
2023-08-30,74
2023-08-31,74
2023-09-01,68
2023-09-02,45
2023-09-03,45
2023-09-04,46
2023-09-05,73
2023-09-06,78
2023-09-07,71
2023-09-08,69
2023-09-09,46
2023-09-10,42
2023-09-11,70
2023-09-12,71
2023-09-13,73
2023-09-14,71
2023-09-15,72
2023-09-16,44
2023-09-17,41
2023-09-18,71
2023-09-19,76
2023-09-20,72
2023-09-21,72
2023-09-22,70
2023-09-23,47
2023-09-24,44
2023-09-25,69
2023-09-26,69
2023-09-27,73
2023-09-28,73
2023-09-29,69
2023-09-30,47
2023-10-01,40
2023-10-02,72
2023-10-03,72
2023-10-04,73
2023-10-05,70
2023-10-06,67
2023-10-07,44
2023-10-08,40
2023-10-09,68
2023-10-10,72
2023-10-11,72
2023-10-12,69
2023-10-13,66
2023-10-14,45
2023-10-15,41
2023-10-16,71
2023-10-17,68
2023-10-18,67
2023-10-19,71
2023-10-20,67
2023-10-21,42
2023-10-22,40
2023-10-23,67
2023-10-24,67
2023-10-25,66
2023-10-26,68
2023-10-27,64
2023-10-28,42
2023-10-29,38
2023-10-30,63
2023-10-31,67
2023-11-01,63
2023-11-02,65
2023-11-03,62
2023-11-04,42
2023-11-05,37
2023-11-06,65
2023-11-07,66
2023-11-08,66
2023-11-09,65
2023-11-10,58
2023-11-11,41
2023-11-12,37
2023-11-13,60
2023-11-14,66
2023-11-15,64
2023-11-16,63
2023-11-17,59
2023-11-18,39
2023-11-19,37
2023-11-20,59
2023-11-21,60
2023-11-22,52
2023-11-23,33
2023-11-24,37
2023-11-25,36
2023-11-26,35
2023-11-27,58
2023-11-28,59
2023-11-29,62
2023-11-30,60
2023-12-01,57
2023-12-02,38
2023-12-03,35
2023-12-04,62
2023-12-05,68
2023-12-06,69
2023-12-07,66
2023-12-08,73
2023-12-09,45
2023-12-10,42
2023-12-11,71
2023-12-12,76
2023-12-13,74
2023-12-14,61
2023-12-15,57
2023-12-16,39
2023-12-17,36
2023-12-18,56
2023-12-19,57
2023-12-20,57
2023-12-21,55
2023-12-22,50
2023-12-23,36
2023-12-24,29
2023-12-25,26
2023-12-26,43
2023-12-27,50
2023-12-28,50
2023-12-29,48
2023-12-30,35
2023-12-31,32
2024-01-01,32
2024-01-02,54
2024-01-03,61
2024-01-04,61
2024-01-05,59
2024-01-06,39
2024-01-07,36
2024-01-08,59
2024-01-09,59
2024-01-10,64
2024-01-11,67
2024-01-12,59
2024-01-13,39
2024-01-14,35
2024-01-15,48
2024-01-16,57
2024-01-17,62
2024-01-18,59
2024-01-19,55
2024-01-20,39
