Time,mcdonalds
2023-04-26,28
2023-04-27,30
2023-04-28,30
2023-04-29,40
2023-04-30,42
2023-05-01,31
2023-05-02,27
2023-05-03,29
2023-05-04,33
2023-05-05,31
2023-05-06,41
2023-05-07,40
2023-05-08,29
2023-05-09,28
2023-05-10,30
2023-05-11,29
2023-05-12,31
2023-05-13,40
2023-05-14,43
2023-05-15,29
2023-05-16,28
2023-05-17,28
2023-05-18,29
2023-05-19,29
2023-05-20,38
2023-05-21,41
2023-05-22,29
2023-05-23,29
2023-05-24,28
2023-05-25,30
2023-05-26,35
2023-05-27,38
2023-05-28,41
2023-05-29,40
2023-05-30,29
2023-05-31,31
2023-06-01,32
2023-06-02,37
2023-06-03,43
2023-06-04,42
2023-06-05,31
2023-06-06,33
2023-06-07,32
2023-06-08,34
2023-06-09,39
2023-06-10,43
2023-06-11,45
2023-06-12,43
2023-06-13,51
2023-06-14,46
2023-06-15,44
2023-06-16,45
2023-06-17,52
2023-06-18,49
2023-06-19,40
2023-06-20,35
2023-06-21,38
2023-06-22,36
2023-06-23,39
2023-06-24,47
2023-06-25,50
2023-06-26,44
2023-06-27,49
2023-06-28,54
2023-06-29,53
2023-06-30,54
2023-07-01,60
2023-07-02,59
2023-07-03,47
2023-07-04,57
2023-07-05,46
2023-07-06,42
2023-07-07,53
2023-07-08,56
2023-07-09,54
2023-07-10,44
2023-07-11,41
2023-07-12,38
2023-07-13,52
2023-07-14,47
2023-07-15,45
2023-07-16,47
2023-07-17,35
2023-07-18,34
2023-07-19,36
2023-07-20,37
2023-07-21,39
2023-07-22,45
2023-07-23,45
2023-07-24,33
2023-07-25,33
2023-07-26,32
2023-07-27,35
2023-07-28,40
2023-07-29,43
2023-07-30,42
2023-07-31,32
2023-08-01,33
2023-08-02,31
2023-08-03,33
2023-08-04,33
2023-08-05,38
2023-08-06,40
2023-08-07,31
2023-08-08,30
2023-08-09,29
2023-08-10,31
2023-08-11,32
2023-08-12,37
2023-08-13,40
2023-08-14,31
2023-08-15,35
2023-08-16,33
2023-08-17,31
2023-08-18,32
2023-08-19,37
2023-08-20,37
2023-08-21,28
2023-08-22,28
2023-08-23,29
2023-08-24,29
2023-08-25,30
2023-08-26,37
2023-08-27,41
2023-08-28,28
2023-08-29,28
2023-08-30,30
2023-08-31,30
2023-09-01,31
2023-09-02,38
2023-09-03,37
2023-09-04,39
2023-09-05,27
2023-09-06,28
2023-09-07,29
2023-09-08,29
2023-09-09,32
2023-09-10,34
2023-09-11,26
2023-09-12,28
2023-09-13,30
2023-09-14,30
2023-09-15,32
2023-09-16,41
2023-09-17,45
2023-09-18,55
2023-09-19,40
2023-09-20,31
2023-09-21,29
2023-09-22,33
2023-09-23,41
2023-09-24,44
2023-09-25,33
2023-09-26,32
2023-09-27,34
2023-09-28,32
2023-09-29,32
2023-09-30,39
2023-10-01,38
2023-10-02,31
2023-10-03,29
2023-10-04,31
2023-10-05,30
2023-10-06,33
2023-10-07,45
2023-10-08,44
2023-10-09,35
2023-10-10,35
2023-10-11,34
2023-10-12,37
2023-10-13,40
2023-10-14,45
2023-10-15,44
2023-10-16,37
2023-10-17,44
2023-10-18,42
2023-10-19,42
2023-10-20,42
2023-10-21,49
2023-10-22,48
2023-10-23,35
2023-10-24,29
2023-10-25,31
2023-10-26,31
2023-10-27,35
2023-10-28,41
2023-10-29,40
2023-10-30,29
2023-10-31,32
2023-11-01,35
2023-11-02,34
2023-11-03,33
2023-11-04,38
2023-11-05,40
2023-11-06,30
2023-11-07,29
2023-11-08,29
2023-11-09,28
2023-11-10,33
2023-11-11,40
2023-11-12,37
2023-11-13,28
2023-11-14,31
2023-11-15,31
2023-11-16,31
2023-11-17,33
2023-11-18,40
2023-11-19,38
2023-11-20,28
2023-11-21,30
2023-11-22,33
2023-11-23,66
2023-11-24,45
2023-11-25,31
2023-11-26,34
2023-11-27,26
2023-11-28,28
2023-11-29,34
2023-11-30,33
2023-12-01,33
2023-12-02,39
2023-12-03,37
2023-12-04,30
2023-12-05,31
2023-12-06,32
2023-12-07,37
2023-12-08,37
2023-12-09,42
2023-12-10,44
2023-12-11,31
2023-12-12,32
2023-12-13,30
2023-12-14,30
2023-12-15,31
2023-12-16,36
2023-12-17,35
2023-12-18,27
2023-12-19,29
2023-12-20,32
2023-12-21,30
2023-12-22,32
2023-12-23,35
2023-12-24,47
2023-12-25,100
2023-12-26,57
2023-12-27,37
2023-12-28,33
2023-12-29,35
2023-12-30,37
2023-12-31,37
2024-01-01,59
2024-01-02,30
2024-01-03,29
2024-01-04,28
2024-01-05,29
2024-01-06,34
2024-01-07,33
2024-01-08,27
2024-01-09,25
2024-01-10,28
2024-01-11,28
2024-01-12,29
2024-01-13,33
2024-01-14,30
2024-01-15,27
2024-01-16,24
2024-01-17,25
2024-01-18,28
2024-01-19,27
2024-01-20,32
