Time,macys
2023-12-22,89
2023-12-23,100
2023-12-24,88
2023-12-25,61
2023-12-26,80
2023-12-27,71
2023-12-28,66
2023-12-29,62
2023-12-30,62
2023-12-31,63
2024-01-01,55
2024-01-02,48
2024-01-03,43
2024-01-04,40
2024-01-05,40
2024-01-06,51
2024-01-07,48
2024-01-08,37
2024-01-09,32
2024-01-10,35
2024-01-11,33
2024-01-12,35
2024-01-13,43
2024-01-14,44
2024-01-15,41
2024-01-16,33
2024-01-17,33
2024-01-18,35
2024-01-19,40
2024-01-20,45
2024-01-21,44
2024-01-22,33
2024-01-23,30
2024-01-24,32
2024-01-25,31
2024-01-26,31
2024-01-27,38
2024-01-28,41
2024-01-29,29
2024-01-30,29
2024-01-31,29
2024-02-01,30
2024-02-02,31
2024-02-03,38
2024-02-04,42
2024-02-05,31
2024-02-06,30
2024-02-07,32
2024-02-08,32
2024-02-09,33
2024-02-10,40
2024-02-11,39
2024-02-12,28
2024-02-13,33
2024-02-14,36
2024-02-15,30
2024-02-16,33
2024-02-17,44
2024-02-18,47
2024-02-19,45
2024-02-20,34
2024-02-21,29
2024-02-22,28
2024-02-23,35
2024-02-24,39
2024-02-25,38
2024-02-26,29
2024-02-27,43
2024-02-28,39
2024-02-29,34
2024-03-01,34
2024-03-02,41
2024-03-03,41
2024-03-04,33
2024-03-05,30
2024-03-06,30
2024-03-07,29
2024-03-08,31
2024-03-09,38
2024-03-10,41
2024-03-11,29
2024-03-12,33
2024-03-13,37
2024-03-14,34
2024-03-15,33
2024-03-16,41
2024-03-17,42
2024-03-18,31
2024-03-19,30
2024-03-20,30
2024-03-21,28
2024-03-22,31
2024-03-23,40
2024-03-24,41
2024-03-25,33
2024-03-26,29
2024-03-27,33
2024-03-28,33
2024-03-29,37
2024-03-30,44
2024-03-31,43
2024-04-01,33
2024-04-02,34
2024-04-03,34
2024-04-04,33
2024-04-05,36
2024-04-06,45
2024-04-07,46
2024-04-08,30
2024-04-09,33
2024-04-10,33
2024-04-11,32
2024-04-12,36
2024-04-13,42
2024-04-14,45
2024-04-15,34
2024-04-16,30
2024-04-17,31
2024-04-18,32
2024-04-19,32
2024-04-20,42
2024-04-21,44
2024-04-22,32
2024-04-23,30
2024-04-24,31
2024-04-25,34
2024-04-26,38
2024-04-27,45
2024-04-28,48
2024-04-29,38
2024-04-30,39
2024-05-01,37
2024-05-02,34
2024-05-03,38
2024-05-04,41
2024-05-05,47
2024-05-06,33
2024-05-07,31
2024-05-08,32
2024-05-09,33
2024-05-10,37
2024-05-11,45
2024-05-12,42
2024-05-13,32
2024-05-14,32
2024-05-15,30
2024-05-16,29
2024-05-17,31
2024-05-18,38
2024-05-19,42
2024-05-20,33
2024-05-21,31
2024-05-22,32
2024-05-23,32
2024-05-24,36
2024-05-25,37
2024-05-26,46
2024-05-27,55
2024-05-28,30
2024-05-29,27
2024-05-30,29
2024-05-31,29
2024-06-01,36
2024-06-02,39
2024-06-03,29
2024-06-04,32
2024-06-05,32
2024-06-06,30
2024-06-07,32
2024-06-08,40
2024-06-09,41
2024-06-10,35
2024-06-11,32
2024-06-12,30
2024-06-13,29
2024-06-14,35
2024-06-15,38
2024-06-16,36
2024-06-17,31
2024-06-18,27
2024-06-19,33
2024-06-20,31
2024-06-21,34
2024-06-22,38
2024-06-23,38
2024-06-24,31
2024-06-25,29
2024-06-26,30
2024-06-27,31
2024-06-28,28
2024-06-29,35
2024-06-30,34
2024-07-01,34
2024-07-02,34
2024-07-03,36
2024-07-04,53
2024-07-05,49
2024-07-06,36
2024-07-07,36
2024-07-08,25
2024-07-09,28
2024-07-10,30
2024-07-11,29
2024-07-12,29
2024-07-13,31
2024-07-14,29
2024-07-15,28
2024-07-16,26
2024-07-17,31
2024-07-18,29
2024-07-19,30
2024-07-20,34
2024-07-21,33
2024-07-22,28
2024-07-23,28
2024-07-24,26
2024-07-25,25
2024-07-26,28
2024-07-27,30
2024-07-28,32
2024-07-29,27
2024-07-30,26
2024-07-31,27
2024-08-01,27
2024-08-02,28
2024-08-03,33
2024-08-04,34
2024-08-05,24
2024-08-06,26
2024-08-07,27
2024-08-08,26
2024-08-09,30
2024-08-10,33
2024-08-11,36
2024-08-12,28
2024-08-13,29
2024-08-14,30
2024-08-15,28
2024-08-16,29
2024-08-17,33
2024-08-18,34
2024-08-19,29
2024-08-20,26
2024-08-21,27
2024-08-22,27
2024-08-23,26
2024-08-24,33
2024-08-25,37
2024-08-26,28
2024-08-27,26
2024-08-28,26
2024-08-29,27
2024-08-30,29
2024-08-31,35
2024-09-01,39
2024-09-02,46
2024-09-03,30
2024-09-04,27
2024-09-05,24
2024-09-06,25
2024-09-07,34
2024-09-08,32
2024-09-09,26
2024-09-10,25
2024-09-11,23
2024-09-12,25
2024-09-13,27
2024-09-14,34
2024-09-15,34
2024-09-16,25
