Time,home_depot
2022-01-01,67.0
2022-01-02,57.0
2022-01-03,51.0
2022-01-04,60.0
2022-01-05,53.0
2022-01-06,45.0
2022-01-07,49.0
2022-01-08,57.0
2022-01-09,57.0
2022-01-10,48.0
2022-01-11,49.0
2022-01-12,50.0
2022-01-13,51.0
2022-01-14,45.0
2022-01-15,62.0
2022-01-16,52.0
2022-01-17,51.0
2022-01-18,45.0
2022-01-19,45.0
2022-01-20,45.0
2022-01-21,48.0
2022-01-22,56.0
2022-01-23,56.0
2022-01-24,58.0
2022-01-25,43.0
2022-01-26,44.0
2022-01-27,46.0
2022-01-28,46.0
2022-01-29,58.0
2022-01-30,56.0
2022-01-31,52.0
2022-02-01,53.0
2022-02-02,52.0
2022-02-03,48.0
2022-02-04,49.0
2022-02-05,59.0
2022-02-06,60.0
2022-02-07,52.0
2022-02-08,48.0
2022-02-09,47.0
2022-02-10,41.0
2022-02-11,47.0
2022-02-12,55.0
2022-02-13,51.0
2022-02-14,43.0
2022-02-15,47.0
2022-02-16,48.0
2022-02-17,48.0
2022-02-18,50.0
2022-02-19,60.0
2022-02-20,63.0
2022-02-21,58.0
2022-02-22,52.0
2022-02-23,52.0
2022-02-24,47.0
2022-02-25,48.0
2022-02-26,58.0
2022-02-27,59.0
2022-02-28,51.0
2022-03-01,51.0
2022-03-02,51.0
2022-03-03,53.0
2022-03-04,54.0
2022-03-05,62.0
2022-03-06,63.0
2022-03-07,56.0
2022-03-08,52.0
2022-03-09,51.0
2022-03-10,50.0
2022-03-11,53.0
2022-03-12,60.0
2022-03-13,62.0
2022-03-14,54.0
2022-03-15,53.0
2022-03-16,53.0
2022-03-17,55.0
2022-03-18,56.0
2022-03-19,68.0
2022-03-20,68.0
2022-03-21,61.0
2022-03-22,58.0
2022-03-23,56.0
2022-03-24,57.0
2022-03-25,55.0
2022-03-26,72.0
2022-03-27,68.0
2022-03-28,52.0
2022-03-29,53.0
2022-03-30,56.0
2022-03-31,53.0
2022-04-01,54.0
