Time,archive 81
2023-12-22,0
2023-12-23,19
2023-12-24,29
2023-12-25,0
2023-12-26,22
2023-12-27,19
2023-12-28,17
2023-12-29,25
2023-12-30,31
2023-12-31,33
2024-01-01,32
2024-01-02,20
2024-01-03,16
2024-01-04,24
2024-01-05,24
2024-01-06,0
2024-01-07,24
2024-01-08,0
2024-01-09,20
2024-01-10,15
2024-01-11,0
2024-01-12,0
2024-01-13,0
2024-01-14,0
2024-01-15,18
2024-01-16,19
2024-01-17,14
2024-01-18,0
2024-01-19,16
2024-01-20,27
2024-01-21,0
2024-01-22,16
2024-01-23,0
2024-01-24,22
2024-01-25,16
2024-01-26,0
2024-01-27,0
2024-01-28,18
2024-01-29,22
2024-01-30,0
2024-01-31,18
2024-02-01,0
2024-02-02,0
2024-02-03,0
2024-02-04,31
2024-02-05,37
2024-02-06,20
2024-02-07,14
2024-02-08,16
2024-02-09,0
2024-02-10,17
2024-02-11,0
2024-02-12,19
2024-02-13,0
2024-02-14,37
2024-02-15,0
2024-02-16,0
2024-02-17,16
2024-02-18,0
2024-02-19,28
2024-02-20,0
2024-02-21,0
2024-02-22,18
2024-02-23,14
2024-02-24,26
2024-02-25,18
2024-02-26,17
2024-02-27,0
2024-02-28,0
2024-02-29,15
2024-03-01,0
2024-03-02,21
2024-03-03,25
2024-03-04,15
2024-03-05,18
2024-03-06,18
2024-03-07,0
2024-03-08,0
2024-03-09,17
2024-03-10,20
2024-03-11,0
2024-03-12,0
2024-03-13,0
2024-03-14,0
2024-03-15,18
2024-03-16,20
2024-03-17,18
2024-03-18,20
2024-03-19,14
2024-03-20,15
2024-03-21,0
2024-03-22,15
2024-03-23,0
2024-03-24,17
2024-03-25,32
2024-03-26,18
2024-03-27,0
2024-03-28,22
2024-03-29,17
2024-03-30,0
2024-03-31,0
2024-04-01,16
2024-04-02,16
2024-04-03,0
2024-04-04,14
2024-04-05,16
2024-04-06,0
2024-04-07,0
2024-04-08,14
2024-04-09,0
2024-04-10,14
2024-04-11,25
2024-04-12,16
2024-04-13,25
2024-04-14,0
2024-04-15,14
2024-04-16,0
2024-04-17,0
2024-04-18,0
2024-04-19,0
2024-04-20,0
2024-04-21,18
2024-04-22,0
2024-04-23,0
2024-04-24,16
2024-04-25,0
2024-04-26,26
2024-04-27,0
2024-04-28,47
2024-04-29,0
2024-04-30,15
2024-05-01,0
2024-05-02,0
2024-05-03,0
2024-05-04,0
2024-05-05,24
2024-05-06,0
2024-05-07,0
2024-05-08,0
2024-05-09,15
2024-05-10,19
2024-05-11,18
2024-05-12,19
2024-05-13,20
2024-05-14,22
2024-05-15,21
2024-05-16,18
2024-05-17,0
2024-05-18,0
2024-05-19,0
2024-05-20,18
2024-05-21,19
2024-05-22,18
2024-05-23,24
2024-05-24,21
2024-05-25,0
2024-05-26,30
2024-05-27,26
2024-05-28,20
2024-05-29,22
2024-05-30,19
2024-05-31,0
2024-06-01,22
2024-06-02,21
2024-06-03,15
2024-06-04,17
2024-06-05,100
2024-06-06,43
2024-06-07,27
2024-06-08,40
2024-06-09,42
2024-06-10,38
2024-06-11,27
2024-06-12,23
2024-06-13,28
2024-06-14,22
2024-06-15,30
2024-06-16,26
2024-06-17,26
2024-06-18,27
2024-06-19,30
2024-06-20,21
2024-06-21,23
2024-06-22,45
2024-06-23,30
2024-06-24,15
2024-06-25,17
2024-06-26,27
2024-06-27,20
2024-06-28,17
2024-06-29,20
2024-06-30,24
2024-07-01,18
2024-07-02,0
2024-07-03,0
2024-07-04,19
2024-07-05,17
2024-07-06,0
2024-07-07,22
2024-07-08,20
2024-07-09,0
2024-07-10,0
2024-07-11,18
2024-07-12,16
2024-07-13,20
2024-07-14,0
2024-07-15,0
2024-07-16,0
2024-07-17,0
2024-07-18,17
2024-07-19,0
2024-07-20,0
2024-07-21,21
2024-07-22,17
2024-07-23,0
2024-07-24,0
2024-07-25,0
2024-07-26,22
2024-07-27,0
2024-07-28,0
2024-07-29,0
2024-07-30,23
2024-07-31,18
2024-08-01,0
2024-08-02,0
2024-08-03,22
2024-08-04,24
2024-08-05,22
2024-08-06,22
2024-08-07,0
2024-08-08,0
2024-08-09,0
2024-08-10,20
2024-08-11,45
2024-08-12,0
2024-08-13,0
2024-08-14,18
2024-08-15,19
2024-08-16,23
2024-08-17,16
2024-08-18,0
2024-08-19,0
2024-08-20,0
2024-08-21,0
2024-08-22,16
2024-08-23,15
2024-08-24,27
2024-08-25,0
2024-08-26,14
2024-08-27,0
2024-08-28,17
2024-08-29,0
2024-08-30,0
2024-08-31,0
2024-09-01,23
2024-09-02,0
2024-09-03,21
2024-09-04,22
2024-09-05,0
2024-09-06,16
2024-09-07,27
2024-09-08,0
2024-09-09,20
2024-09-10,0
2024-09-11,16
2024-09-12,18
2024-09-13,25
2024-09-14,24
2024-09-15,0
2024-09-16,23
