Time,archive 81
2025-12-11,0
2025-12-12,0
2025-12-13,0
2025-12-14,51
2025-12-15,0
2025-12-16,0
2025-12-17,0
2025-12-18,0
2025-12-19,0
2025-12-20,62
2025-12-21,0
2025-12-22,0
2025-12-23,0
2025-12-24,0
2025-12-25,0
2025-12-26,0
2025-12-27,0
2025-12-28,0
2025-12-29,0
2025-12-30,0
2025-12-31,0
2026-01-01,0
2026-01-02,55
2026-01-03,0
2026-01-04,85
2026-01-05,59
2026-01-06,43
2026-01-07,0
2026-01-08,0
2026-01-09,0
2026-01-10,0
2026-01-11,57
2026-01-12,0
2026-01-13,0
2026-01-14,41
2026-01-15,0
2026-01-16,0
2026-01-17,80
2026-01-18,0
2026-01-19,51
2026-01-20,55
2026-01-21,0
2026-01-22,78
2026-01-23,0
2026-01-24,0
2026-01-25,0
2026-01-26,46
2026-01-27,77
2026-01-28,49
2026-01-29,0
2026-01-30,0
2026-01-31,0
2026-02-01,55
2026-02-02,66
2026-02-03,0
2026-02-04,82
2026-02-05,0
2026-02-06,0
2026-02-07,55
2026-02-08,62
2026-02-09,0
2026-02-10,45
2026-02-11,44
2026-02-12,48
2026-02-13,0
2026-02-14,67
2026-02-15,54
2026-02-16,82
2026-02-17,50
2026-02-18,47
2026-02-19,0
2026-02-20,44
2026-02-21,0
2026-02-22,51
2026-02-23,0
2026-02-24,70
2026-02-25,0
2026-02-26,0
2026-02-27,45
2026-02-28,0
2026-03-01,51
2026-03-02,0
2026-03-03,65
2026-03-04,51
2026-03-05,0
2026-03-06,0
2026-03-07,54
2026-03-08,63
2026-03-09,51
2026-03-10,0
2026-03-11,0
2026-03-12,49
2026-03-13,0
2026-03-14,0
2026-03-15,52
2026-03-16,0
2026-03-17,0
2026-03-18,0
2026-03-19,0
2026-03-20,56
2026-03-21,0
2026-03-22,0
2026-03-23,0
2026-03-24,0
2026-03-25,0
2026-03-26,0
2026-03-27,0
2026-03-28,100
2026-03-29,92
2026-03-30,0
2026-03-31,63
2026-04-01,40
2026-04-02,0
2026-04-03,60
2026-04-04,78
2026-04-05,62
2026-04-06,70
2026-04-07,0
2026-04-08,53
2026-04-09,64
2026-04-10,0
2026-04-11,65
2026-04-12,0
2026-04-13,0
2026-04-14,0
2026-04-15,0
2026-04-16,45
2026-04-17,47
2026-04-18,0
2026-04-19,84
2026-04-20,48
2026-04-21,48
2026-04-22,0
2026-04-23,0
2026-04-24,0
2026-04-25,0
2026-04-26,62
2026-04-27,55
2026-04-28,0
2026-04-29,0
2026-04-30,58
2026-05-01,0
2026-05-02,56
2026-05-03,70
2026-05-04,72
2026-05-05,69
2026-05-06,71
2026-05-07,42
2026-05-08,0
2026-05-09,76
2026-05-10,55
2026-05-11,0
2026-05-12,60
2026-05-13,0
2026-05-14,0
2026-05-15,0
2026-05-16,0
2026-05-17,62
2026-05-18,0
2026-05-19,0
2026-05-20,0
2026-05-21,63
2026-05-22,0
2026-05-23,0
2026-05-24,0
2026-05-25,70
2026-05-26,75
2026-05-27,55
2026-05-28,47
2026-05-29,0
2026-05-30,93
2026-05-31,94
