Time,archive 81
2023-04-26,32
2023-04-27,28
2023-04-28,23
2023-04-29,0
2023-04-30,48
2023-05-01,44
2023-05-02,29
2023-05-03,37
2023-05-04,32
2023-05-05,24
2023-05-06,31
2023-05-07,41
2023-05-08,26
2023-05-09,31
2023-05-10,23
2023-05-11,32
2023-05-12,37
2023-05-13,44
2023-05-14,100
2023-05-15,33
2023-05-16,31
2023-05-17,30
2023-05-18,31
2023-05-19,0
2023-05-20,49
2023-05-21,43
2023-05-22,33
2023-05-23,0
2023-05-24,0
2023-05-25,0
2023-05-26,27
2023-05-27,0
2023-05-28,28
2023-05-29,41
2023-05-30,32
2023-05-31,0
2023-06-01,0
2023-06-02,27
2023-06-03,38
2023-06-04,38
2023-06-05,36
2023-06-06,0
2023-06-07,42
2023-06-08,26
2023-06-09,32
2023-06-10,35
2023-06-11,38
2023-06-12,25
2023-06-13,22
2023-06-14,0
2023-06-15,31
2023-06-16,0
2023-06-17,37
2023-06-18,31
2023-06-19,35
2023-06-20,33
2023-06-21,36
2023-06-22,23
2023-06-23,23
2023-06-24,0
2023-06-25,49
2023-06-26,44
2023-06-27,41
2023-06-28,32
2023-06-29,31
2023-06-30,0
2023-07-01,0
2023-07-02,29
2023-07-03,45
2023-07-04,38
2023-07-05,27
2023-07-06,27
2023-07-07,33
2023-07-08,35
2023-07-09,0
2023-07-10,36
2023-07-11,33
2023-07-12,28
2023-07-13,24
2023-07-14,0
2023-07-15,48
2023-07-16,0
2023-07-17,37
2023-07-18,0
2023-07-19,0
2023-07-20,26
2023-07-21,28
2023-07-22,29
2023-07-23,49
2023-07-24,38
2023-07-25,0
2023-07-26,39
2023-07-27,26
2023-07-28,0
2023-07-29,50
2023-07-30,63
2023-07-31,0
2023-08-01,0
2023-08-02,0
2023-08-03,28
2023-08-04,0
2023-08-05,0
2023-08-06,32
2023-08-07,31
2023-08-08,27
2023-08-09,24
2023-08-10,30
2023-08-11,0
2023-08-12,41
2023-08-13,38
2023-08-14,43
2023-08-15,34
2023-08-16,29
2023-08-17,59
2023-08-18,69
2023-08-19,60
2023-08-20,68
2023-08-21,63
2023-08-22,56
2023-08-23,48
2023-08-24,39
2023-08-25,54
2023-08-26,62
2023-08-27,58
2023-08-28,48
2023-08-29,55
2023-08-30,33
2023-08-31,39
2023-09-01,47
2023-09-02,51
2023-09-03,65
2023-09-04,71
2023-09-05,50
2023-09-06,0
2023-09-07,23
2023-09-08,33
2023-09-09,29
2023-09-10,41
2023-09-11,41
2023-09-12,29
2023-09-13,38
2023-09-14,24
2023-09-15,0
2023-09-16,0
2023-09-17,49
2023-09-18,23
2023-09-19,37
2023-09-20,47
2023-09-21,0
2023-09-22,30
2023-09-23,37
2023-09-24,67
2023-09-25,41
2023-09-26,39
2023-09-27,36
2023-09-28,39
2023-09-29,0
2023-09-30,43
2023-10-01,29
2023-10-02,56
2023-10-03,63
2023-10-04,27
2023-10-05,48
2023-10-06,25
2023-10-07,52
2023-10-08,38
2023-10-09,37
2023-10-10,35
2023-10-11,35
2023-10-12,42
2023-10-13,38
2023-10-14,57
2023-10-15,92
2023-10-16,64
2023-10-17,61
2023-10-18,43
2023-10-19,31
2023-10-20,57
2023-10-21,76
2023-10-22,33
2023-10-23,71
2023-10-24,64
2023-10-25,51
2023-10-26,38
2023-10-27,49
2023-10-28,49
2023-10-29,42
2023-10-30,38
2023-10-31,60
2023-11-01,37
2023-11-02,30
2023-11-03,35
2023-11-04,33
2023-11-05,52
2023-11-06,39
2023-11-07,0
2023-11-08,31
2023-11-09,0
2023-11-10,34
2023-11-11,0
2023-11-12,43
2023-11-13,37
2023-11-14,31
2023-11-15,0
2023-11-16,0
2023-11-17,30
2023-11-18,28
2023-11-19,32
2023-11-20,24
2023-11-21,33
2023-11-22,0
2023-11-23,41
2023-11-24,0
2023-11-25,39
2023-11-26,29
2023-11-27,33
2023-11-28,27
2023-11-29,28
2023-11-30,28
2023-12-01,29
2023-12-02,0
2023-12-03,0
2023-12-04,27
2023-12-05,24
2023-12-06,25
2023-12-07,29
2023-12-08,24
2023-12-09,45
2023-12-10,40
2023-12-11,20
2023-12-12,0
2023-12-13,38
2023-12-14,30
2023-12-15,0
2023-12-16,0
2023-12-17,29
2023-12-18,52
2023-12-19,0
2023-12-20,0
2023-12-21,0
2023-12-22,0
2023-12-23,34
2023-12-24,51
2023-12-25,0
2023-12-26,38
2023-12-27,33
2023-12-28,30
2023-12-29,44
2023-12-30,54
2023-12-31,58
2024-01-01,55
2024-01-02,35
2024-01-03,28
2024-01-04,42
2024-01-05,41
2024-01-06,0
2024-01-07,42
2024-01-08,0
2024-01-09,36
2024-01-10,26
2024-01-11,0
2024-01-12,0
2024-01-13,0
2024-01-14,0
2024-01-15,31
2024-01-16,32
2024-01-17,25
2024-01-18,0
2024-01-19,28
2024-01-20,47
