Time,toyota
2022-01-01,66.0
2022-01-02,72.0
2022-01-03,78.0
2022-01-04,95.0
2022-01-05,84.0
2022-01-06,67.0
2022-01-07,80.0
2022-01-08,88.0
2022-01-09,72.0
2022-01-10,77.0
2022-01-11,79.0
2022-01-12,78.0
2022-01-13,89.0
2022-01-14,70.0
2022-01-15,86.0
2022-01-16,68.0
2022-01-17,72.0
2022-01-18,73.0
2022-01-19,74.0
2022-01-20,77.0
2022-01-21,79.0
2022-01-22,89.0
2022-01-23,84.0
2022-01-24,94.0
2022-01-25,73.0
2022-01-26,89.0
2022-01-27,79.0
2022-01-28,85.0
2022-01-29,93.0
2022-01-30,82.0
2022-01-31,81.0
2022-02-01,78.0
2022-02-02,79.0
2022-02-03,76.0
2022-02-04,80.0
2022-02-05,93.0
2022-02-06,83.0
2022-02-07,82.0
2022-02-08,86.0
2022-02-09,82.0
2022-02-10,69.0
2022-02-11,90.0
2022-02-12,92.0
2022-02-13,81.0
2022-02-14,84.0
2022-02-15,86.0
2022-02-16,86.0
2022-02-17,85.0
2022-02-18,91.0
2022-02-19,100.0
2022-02-20,92.0
2022-02-21,100.0
2022-02-22,92.0
2022-02-23,97.0
2022-02-24,84.0
2022-02-25,82.0
2022-02-26,92.0
2022-02-27,83.0
2022-02-28,89.0
2022-03-01,87.0
2022-03-02,86.0
2022-03-03,82.0
2022-03-04,92.0
2022-03-05,98.0
2022-03-06,86.0
2022-03-07,92.0
2022-03-08,89.0
2022-03-09,93.0
2022-03-10,94.0
2022-03-11,92.0
2022-03-12,100.0
2022-03-13,90.0
2022-03-14,90.0
2022-03-15,88.0
2022-03-16,89.0
2022-03-17,87.0
2022-03-18,84.0
2022-03-19,99.0
2022-03-20,85.0
2022-03-21,87.0
2022-03-22,90.0
2022-03-23,86.0
2022-03-24,93.0
2022-03-25,81.0
2022-03-26,90.0
2022-03-27,83.0
2022-03-28,78.0
2022-03-29,78.0
2022-03-30,84.0
2022-03-31,80.0
2022-04-01,92.0
2022-04-02,99.0
2022-04-03,86.0
2022-04-04,82.0
2022-04-05,81.0
2022-04-06,79.0
2022-04-07,77.0
2022-04-08,81.0
2022-04-09,89.0
2022-04-10,81.0
2022-04-11,77.0
2022-04-12,77.0
2022-04-13,76.0
2022-04-14,78.0
2022-04-15,87.0
2022-04-16,90.0
2022-04-17,79.0
2022-04-18,83.0
2022-04-19,78.0
2022-04-20,80.0
2022-04-21,76.0
2022-04-22,81.0
2022-04-23,92.0
2022-04-24,81.0
2022-04-25,72.0
2022-04-26,77.0
2022-04-27,77.0
2022-04-28,77.0
2022-04-29,81.0
2022-04-30,84.0
2022-05-01,77.0
2022-05-02,79.0
