Time,long legs
2023-12-22,4
2023-12-23,5
2023-12-24,7
2023-12-25,8
2023-12-26,5
2023-12-27,4
2023-12-28,4
2023-12-29,4
2023-12-30,5
2023-12-31,8
2024-01-01,8
2024-01-02,4
2024-01-03,4
2024-01-04,4
2024-01-05,4
2024-01-06,5
2024-01-07,5
2024-01-08,4
2024-01-09,4
2024-01-10,4
2024-01-11,5
2024-01-12,4
2024-01-13,4
2024-01-14,5
2024-01-15,4
2024-01-16,4
2024-01-17,4
2024-01-18,4
2024-01-19,4
2024-01-20,5
2024-01-21,4
2024-01-22,5
2024-01-23,4
2024-01-24,4
2024-01-25,4
2024-01-26,4
2024-01-27,5
2024-01-28,6
2024-01-29,4
2024-01-30,5
2024-01-31,6
2024-02-01,4
2024-02-02,5
2024-02-03,7
2024-02-04,7
2024-02-05,5
2024-02-06,6
2024-02-07,5
2024-02-08,5
2024-02-09,5
2024-02-10,6
2024-02-11,7
2024-02-12,5
2024-02-13,5
2024-02-14,6
2024-02-15,5
2024-02-16,5
2024-02-17,6
2024-02-18,7
2024-02-19,5
2024-02-20,5
2024-02-21,5
2024-02-22,5
2024-02-23,5
2024-02-24,5
2024-02-25,6
2024-02-26,5
2024-02-27,5
2024-02-28,5
2024-02-29,5
2024-03-01,5
2024-03-02,5
2024-03-03,6
2024-03-04,5
2024-03-05,5
2024-03-06,5
2024-03-07,6
2024-03-08,5
2024-03-09,6
2024-03-10,6
2024-03-11,5
2024-03-12,5
2024-03-13,5
2024-03-14,5
2024-03-15,5
2024-03-16,7
2024-03-17,6
2024-03-18,5
2024-03-19,5
2024-03-20,5
2024-03-21,5
2024-03-22,5
2024-03-23,5
2024-03-24,6
2024-03-25,5
2024-03-26,5
2024-03-27,4
2024-03-28,4
2024-03-29,5
2024-03-30,6
2024-03-31,7
2024-04-01,5
2024-04-02,5
2024-04-03,5
2024-04-04,5
2024-04-05,5
2024-04-06,5
2024-04-07,6
2024-04-08,4
2024-04-09,5
2024-04-10,5
2024-04-11,5
2024-04-12,5
2024-04-13,5
2024-04-14,6
2024-04-15,5
2024-04-16,5
2024-04-17,5
2024-04-18,5
2024-04-19,5
2024-04-20,5
2024-04-21,6
2024-04-22,5
2024-04-23,5
2024-04-24,5
2024-04-25,5
2024-04-26,5
2024-04-27,6
2024-04-28,8
2024-04-29,6
2024-04-30,6
2024-05-01,5
2024-05-02,5
2024-05-03,6
2024-05-04,6
2024-05-05,6
2024-05-06,5
2024-05-07,5
2024-05-08,6
2024-05-09,6
2024-05-10,6
2024-05-11,6
2024-05-12,8
2024-05-13,6
2024-05-14,6
2024-05-15,6
2024-05-16,6
2024-05-17,6
2024-05-18,6
2024-05-19,8
2024-05-20,6
2024-05-21,7
2024-05-22,6
2024-05-23,6
2024-05-24,6
2024-05-25,7
2024-05-26,8
2024-05-27,8
2024-05-28,6
2024-05-29,6
2024-05-30,6
2024-05-31,6
2024-06-01,8
2024-06-02,9
2024-06-03,7
2024-06-04,7
2024-06-05,7
2024-06-06,7
2024-06-07,7
2024-06-08,8
2024-06-09,8
2024-06-10,7
2024-06-11,7
2024-06-12,7
2024-06-13,7
2024-06-14,7
2024-06-15,8
2024-06-16,11
2024-06-17,8
2024-06-18,11
2024-06-19,9
2024-06-20,7
2024-06-21,9
2024-06-22,11
2024-06-23,10
2024-06-24,9
2024-06-25,11
2024-06-26,10
2024-06-27,10
2024-06-28,11
2024-06-29,14
2024-06-30,15
2024-07-01,12
2024-07-02,13
2024-07-03,13
2024-07-04,16
2024-07-05,15
2024-07-06,15
2024-07-07,15
2024-07-08,20
2024-07-09,30
2024-07-10,30
2024-07-11,38
2024-07-12,74
2024-07-13,100
2024-07-14,85
2024-07-15,58
2024-07-16,47
2024-07-17,51
2024-07-18,42
2024-07-19,47
2024-07-20,60
2024-07-21,51
2024-07-22,36
2024-07-23,33
2024-07-24,33
2024-07-25,31
2024-07-26,32
2024-07-27,35
2024-07-28,35
2024-07-29,26
2024-07-30,24
2024-07-31,21
2024-08-01,19
2024-08-02,21
2024-08-03,25
2024-08-04,27
2024-08-05,17
2024-08-06,16
2024-08-07,16
2024-08-08,15
2024-08-09,16
2024-08-10,20
2024-08-11,20
2024-08-12,14
2024-08-13,12
2024-08-14,13
2024-08-15,11
2024-08-16,12
2024-08-17,16
2024-08-18,16
2024-08-19,11
2024-08-20,10
2024-08-21,9
2024-08-22,9
2024-08-23,13
2024-08-24,22
2024-08-25,25
2024-08-26,17
2024-08-27,14
2024-08-28,12
2024-08-29,12
2024-08-30,13
2024-08-31,18
2024-09-01,19
2024-09-02,19
2024-09-03,11
2024-09-04,10
2024-09-05,9
2024-09-06,9
2024-09-07,13
2024-09-08,16
2024-09-09,10
2024-09-10,9
2024-09-11,8
2024-09-12,8
2024-09-13,10
2024-09-14,13
2024-09-15,13
2024-09-16,9
