Time,apple
2023-12-22,67
2023-12-23,67
2023-12-24,69
2023-12-25,88
2023-12-26,82
2023-12-27,72
2023-12-28,67
2023-12-29,63
2023-12-30,58
2023-12-31,58
2024-01-01,58
2024-01-02,58
2024-01-03,59
2024-01-04,58
2024-01-05,54
2024-01-06,56
2024-01-07,57
2024-01-08,57
2024-01-09,53
2024-01-10,52
2024-01-11,50
2024-01-12,53
2024-01-13,57
2024-01-14,55
2024-01-15,52
2024-01-16,50
2024-01-17,52
2024-01-18,52
2024-01-19,51
2024-01-20,54
2024-01-21,54
2024-01-22,52
2024-01-23,51
2024-01-24,53
2024-01-25,50
2024-01-26,51
2024-01-27,56
2024-01-28,56
2024-01-29,47
2024-01-30,51
2024-01-31,51
2024-02-01,53
2024-02-02,58
2024-02-03,66
2024-02-04,68
2024-02-05,61
2024-02-06,60
2024-02-07,56
2024-02-08,56
2024-02-09,53
2024-02-10,59
2024-02-11,53
2024-02-12,46
2024-02-13,49
2024-02-14,49
2024-02-15,53
2024-02-16,52
2024-02-17,55
2024-02-18,56
2024-02-19,50
2024-02-20,50
2024-02-21,51
2024-02-22,56
2024-02-23,52
2024-02-24,52
2024-02-25,56
2024-02-26,50
2024-02-27,47
2024-02-28,49
2024-02-29,50
2024-03-01,51
2024-03-02,54
2024-03-03,54
2024-03-04,52
2024-03-05,52
2024-03-06,50
2024-03-07,49
2024-03-08,48
2024-03-09,54
2024-03-10,53
2024-03-11,47
2024-03-12,49
2024-03-13,49
2024-03-14,48
2024-03-15,49
2024-03-16,52
2024-03-17,56
2024-03-18,48
2024-03-19,50
2024-03-20,48
2024-03-21,52
2024-03-22,49
2024-03-23,53
2024-03-24,53
2024-03-25,48
2024-03-26,50
2024-03-27,48
2024-03-28,46
2024-03-29,48
2024-03-30,52
2024-03-31,53
2024-04-01,51
2024-04-02,48
2024-04-03,51
2024-04-04,47
2024-04-05,49
2024-04-06,53
2024-04-07,52
2024-04-08,47
2024-04-09,48
2024-04-10,51
2024-04-11,52
2024-04-12,52
2024-04-13,53
2024-04-14,52
2024-04-15,48
2024-04-16,49
2024-04-17,47
2024-04-18,48
2024-04-19,51
2024-04-20,52
2024-04-21,53
2024-04-22,49
2024-04-23,48
2024-04-24,47
2024-04-25,47
2024-04-26,47
2024-04-27,49
2024-04-28,51
2024-04-29,47
2024-04-30,49
2024-05-01,47
2024-05-02,50
2024-05-03,54
2024-05-04,50
2024-05-05,52
2024-05-06,50
2024-05-07,59
2024-05-08,52
2024-05-09,52
2024-05-10,54
2024-05-11,55
2024-05-12,52
2024-05-13,52
2024-05-14,51
2024-05-15,50
2024-05-16,51
2024-05-17,52
2024-05-18,54
2024-05-19,50
2024-05-20,51
2024-05-21,51
2024-05-22,54
2024-05-23,52
2024-05-24,51
2024-05-25,53
2024-05-26,51
2024-05-27,51
2024-05-28,47
2024-05-29,49
2024-05-30,50
2024-05-31,50
2024-06-01,53
2024-06-02,52
2024-06-03,51
2024-06-04,48
2024-06-05,52
2024-06-06,50
2024-06-07,50
2024-06-08,53
2024-06-09,53
2024-06-10,68
2024-06-11,66
2024-06-12,60
2024-06-13,54
2024-06-14,54
2024-06-15,53
2024-06-16,58
2024-06-17,54
2024-06-18,53
2024-06-19,53
2024-06-20,49
2024-06-21,55
2024-06-22,54
2024-06-23,53
2024-06-24,52
2024-06-25,50
2024-06-26,51
2024-06-27,50
2024-06-28,49
2024-06-29,52
2024-06-30,52
2024-07-01,53
2024-07-02,53
2024-07-03,52
2024-07-04,52
2024-07-05,51
2024-07-06,52
2024-07-07,51
2024-07-08,51
2024-07-09,50
2024-07-10,52
2024-07-11,50
2024-07-12,51
2024-07-13,52
2024-07-14,46
2024-07-15,49
2024-07-16,59
2024-07-17,58
2024-07-18,53
2024-07-19,52
2024-07-20,53
2024-07-21,52
2024-07-22,49
2024-07-23,52
2024-07-24,51
2024-07-25,52
2024-07-26,49
2024-07-27,51
2024-07-28,50
2024-07-29,49
2024-07-30,53
2024-07-31,50
2024-08-01,55
2024-08-02,55
2024-08-03,54
2024-08-04,52
2024-08-05,55
2024-08-06,50
2024-08-07,52
2024-08-08,51
2024-08-09,51
2024-08-10,52
2024-08-11,54
2024-08-12,52
2024-08-13,51
2024-08-14,54
2024-08-15,54
2024-08-16,54
2024-08-17,56
2024-08-18,55
2024-08-19,51
2024-08-20,52
2024-08-21,52
2024-08-22,55
2024-08-23,52
2024-08-24,59
2024-08-25,60
2024-08-26,57
2024-08-27,58
2024-08-28,53
2024-08-29,54
2024-08-30,54
2024-08-31,59
2024-09-01,59
2024-09-02,61
2024-09-03,54
2024-09-04,54
2024-09-05,53
2024-09-06,54
2024-09-07,59
2024-09-08,64
2024-09-09,100
2024-09-10,81
2024-09-11,64
2024-09-12,64
2024-09-13,70
2024-09-14,78
2024-09-15,68
2024-09-16,61
