Time,andor
2025-12-11,50
2025-12-12,48
2025-12-13,53
2025-12-14,58
2025-12-15,47
2025-12-16,48
2025-12-17,44
2025-12-18,44
2025-12-19,44
2025-12-20,51
2025-12-21,58
2025-12-22,56
2025-12-23,50
2025-12-24,53
2025-12-25,55
2025-12-26,55
2025-12-27,59
2025-12-28,66
2025-12-29,65
2025-12-30,64
2025-12-31,70
2026-01-01,62
2026-01-02,74
2026-01-03,75
2026-01-04,69
2026-01-05,62
2026-01-06,58
2026-01-07,58
2026-01-08,64
2026-01-09,67
2026-01-10,72
2026-01-11,71
2026-01-12,80
2026-01-13,61
2026-01-14,59
2026-01-15,60
2026-01-16,71
2026-01-17,84
2026-01-18,77
2026-01-19,74
2026-01-20,71
2026-01-21,67
2026-01-22,61
2026-01-23,62
2026-01-24,82
2026-01-25,98
2026-01-26,74
2026-01-27,68
2026-01-28,69
2026-01-29,55
2026-01-30,59
2026-01-31,65
2026-02-01,77
2026-02-02,67
2026-02-03,70
2026-02-04,58
2026-02-05,53
2026-02-06,44
2026-02-07,52
2026-02-08,52
2026-02-09,40
2026-02-10,41
2026-02-11,47
2026-02-12,43
2026-02-13,100
2026-02-14,73
2026-02-15,61
2026-02-16,67
2026-02-17,49
2026-02-18,50
2026-02-19,46
2026-02-20,53
2026-02-21,57
2026-02-22,54
2026-02-23,52
2026-02-24,44
2026-02-25,48
2026-02-26,46
2026-02-27,40
2026-02-28,43
2026-03-01,59
2026-03-02,41
2026-03-03,53
2026-03-04,52
2026-03-05,42
2026-03-06,50
2026-03-07,47
2026-03-08,58
2026-03-09,42
2026-03-10,44
2026-03-11,43
2026-03-12,40
2026-03-13,41
2026-03-14,45
2026-03-15,46
2026-03-16,50
2026-03-17,43
2026-03-18,38
2026-03-19,37
2026-03-20,40
2026-03-21,48
2026-03-22,54
2026-03-23,41
2026-03-24,39
2026-03-25,41
2026-03-26,36
2026-03-27,37
2026-03-28,43
2026-03-29,50
2026-03-30,40
2026-03-31,40
2026-04-01,41
2026-04-02,40
2026-04-03,41
2026-04-04,44
2026-04-05,47
2026-04-06,49
2026-04-07,41
2026-04-08,48
2026-04-09,43
2026-04-10,39
2026-04-11,42
2026-04-12,58
2026-04-13,36
2026-04-14,40
2026-04-15,42
2026-04-16,37
2026-04-17,39
2026-04-18,42
2026-04-19,48
2026-04-20,37
2026-04-21,38
2026-04-22,39
2026-04-23,41
2026-04-24,36
2026-04-25,47
2026-04-26,55
2026-04-27,46
2026-04-28,42
2026-04-29,40
2026-04-30,44
2026-05-01,41
2026-05-02,59
2026-05-03,64
2026-05-04,95
2026-05-05,92
2026-05-06,73
2026-05-07,63
2026-05-08,55
2026-05-09,66
2026-05-10,67
2026-05-11,59
2026-05-12,58
2026-05-13,55
2026-05-14,58
2026-05-15,63
2026-05-16,62
2026-05-17,71
2026-05-18,56
2026-05-19,55
2026-05-20,59
2026-05-21,54
2026-05-22,71
2026-05-23,77
2026-05-24,83
2026-05-25,93
2026-05-26,73
2026-05-27,60
2026-05-28,63
2026-05-29,67
2026-05-30,73
2026-05-31,75
