Time,tpt
2023-12-22,18
2023-12-23,6
2023-12-24,5
2023-12-25,5
2023-12-26,8
2023-12-27,10
2023-12-28,11
2023-12-29,12
2023-12-30,10
2023-12-31,13
2024-01-01,17
2024-01-02,54
2024-01-03,63
2024-01-04,57
2024-01-05,53
2024-01-06,14
2024-01-07,26
2024-01-08,79
2024-01-09,65
2024-01-10,68
2024-01-11,67
2024-01-12,48
2024-01-13,12
2024-01-14,13
2024-01-15,25
2024-01-16,51
2024-01-17,59
2024-01-18,62
2024-01-19,48
2024-01-20,15
2024-01-21,23
2024-01-22,66
2024-01-23,65
2024-01-24,65
2024-01-25,64
2024-01-26,58
2024-01-27,17
2024-01-28,24
2024-01-29,77
2024-01-30,76
2024-01-31,71
2024-02-01,71
2024-02-02,66
2024-02-03,18
2024-02-04,27
2024-02-05,74
2024-02-06,74
2024-02-07,76
2024-02-08,75
2024-02-09,64
2024-02-10,15
2024-02-11,23
2024-02-12,72
2024-02-13,74
2024-02-14,76
2024-02-15,65
2024-02-16,49
2024-02-17,13
2024-02-18,16
2024-02-19,35
2024-02-20,64
2024-02-21,63
2024-02-22,62
2024-02-23,54
2024-02-24,16
2024-02-25,24
2024-02-26,80
2024-02-27,71
2024-02-28,72
2024-02-29,74
2024-03-01,57
2024-03-02,15
2024-03-03,24
2024-03-04,73
2024-03-05,69
2024-03-06,62
2024-03-07,65
2024-03-08,53
2024-03-09,14
2024-03-10,23
2024-03-11,63
2024-03-12,57
2024-03-13,55
2024-03-14,57
2024-03-15,47
2024-03-16,13
2024-03-17,23
2024-03-18,74
2024-03-19,62
2024-03-20,61
2024-03-21,59
2024-03-22,50
2024-03-23,13
2024-03-24,20
2024-03-25,55
2024-03-26,53
2024-03-27,51
2024-03-28,43
2024-03-29,18
2024-03-30,9
2024-03-31,13
2024-04-01,46
2024-04-02,55
2024-04-03,52
2024-04-04,50
2024-04-05,44
2024-04-06,14
2024-04-07,24
2024-04-08,68
2024-04-09,66
2024-04-10,59
2024-04-11,61
2024-04-12,51
2024-04-13,14
2024-04-14,20
2024-04-15,67
2024-04-16,69
2024-04-17,64
2024-04-18,61
2024-04-19,49
2024-04-20,13
2024-04-21,21
2024-04-22,75
2024-04-23,60
2024-04-24,59
2024-04-25,56
2024-04-26,47
2024-04-27,12
2024-04-28,21
2024-04-29,71
2024-04-30,68
2024-05-01,60
2024-05-02,58
2024-05-03,48
2024-05-04,13
2024-05-05,22
2024-05-06,72
2024-05-07,66
2024-05-08,64
2024-05-09,62
2024-05-10,51
2024-05-11,11
2024-05-12,16
2024-05-13,67
2024-05-14,61
2024-05-15,58
2024-05-16,55
2024-05-17,45
2024-05-18,12
2024-05-19,17
2024-05-20,65
2024-05-21,54
2024-05-22,52
2024-05-23,44
2024-05-24,32
2024-05-25,9
2024-05-26,11
2024-05-27,16
2024-05-28,45
2024-05-29,39
2024-05-30,37
2024-05-31,28
2024-06-01,12
2024-06-02,17
2024-06-03,40
2024-06-04,34
2024-06-05,35
2024-06-06,31
2024-06-07,22
2024-06-08,11
2024-06-09,14
2024-06-10,30
2024-06-11,29
2024-06-12,28
2024-06-13,26
2024-06-14,19
2024-06-15,9
2024-06-16,9
2024-06-17,24
2024-06-18,26
2024-06-19,18
2024-06-20,23
2024-06-21,17
2024-06-22,11
2024-06-23,12
2024-06-24,24
2024-06-25,23
2024-06-26,21
2024-06-27,17
2024-06-28,14
2024-06-29,10
2024-06-30,13
2024-07-01,18
2024-07-02,20
2024-07-03,18
2024-07-04,11
2024-07-05,13
2024-07-06,12
2024-07-07,14
2024-07-08,24
2024-07-09,25
2024-07-10,24
2024-07-11,23
2024-07-12,19
2024-07-13,13
2024-07-14,14
2024-07-15,24
2024-07-16,27
2024-07-17,27
2024-07-18,26
2024-07-19,22
2024-07-20,16
2024-07-21,17
2024-07-22,28
2024-07-23,31
2024-07-24,31
2024-07-25,32
2024-07-26,27
2024-07-27,20
2024-07-28,21
2024-07-29,35
2024-07-30,42
2024-07-31,43
2024-08-01,43
2024-08-02,45
2024-08-03,27
2024-08-04,34
2024-08-05,55
2024-08-06,75
2024-08-07,76
2024-08-08,74
2024-08-09,72
2024-08-10,34
2024-08-11,46
2024-08-12,83
2024-08-13,90
2024-08-14,90
2024-08-15,81
2024-08-16,75
2024-08-17,32
2024-08-18,45
2024-08-19,87
2024-08-20,92
2024-08-21,89
2024-08-22,92
2024-08-23,85
2024-08-24,31
2024-08-25,49
2024-08-26,97
2024-08-27,95
2024-08-28,95
2024-08-29,96
2024-08-30,77
2024-08-31,24
2024-09-01,29
2024-09-02,49
2024-09-03,97
2024-09-04,100
2024-09-05,93
2024-09-06,83
2024-09-07,26
2024-09-08,46
2024-09-09,99
2024-09-10,91
2024-09-11,91
2024-09-12,89
2024-09-13,83
2024-09-14,25
2024-09-15,43
2024-09-16,94
