Time,tpt
2023-04-26,62
2023-04-27,56
2023-04-28,51
2023-04-29,14
2023-04-30,23
2023-05-01,67
2023-05-02,60
2023-05-03,61
2023-05-04,58
2023-05-05,49
2023-05-06,13
2023-05-07,22
2023-05-08,68
2023-05-09,66
2023-05-10,63
2023-05-11,59
2023-05-12,49
2023-05-13,12
2023-05-14,17
2023-05-15,64
2023-05-16,58
2023-05-17,55
2023-05-18,55
2023-05-19,44
2023-05-20,12
2023-05-21,20
2023-05-22,60
2023-05-23,50
2023-05-24,46
2023-05-25,42
2023-05-26,32
2023-05-27,10
2023-05-28,13
2023-05-29,16
2023-05-30,43
2023-05-31,40
2023-06-01,34
2023-06-02,28
2023-06-03,12
2023-06-04,16
2023-06-05,39
2023-06-06,34
2023-06-07,32
2023-06-08,29
2023-06-09,24
2023-06-10,12
2023-06-11,11
2023-06-12,29
2023-06-13,28
2023-06-14,27
2023-06-15,25
2023-06-16,17
2023-06-17,11
2023-06-18,11
2023-06-19,17
2023-06-20,26
2023-06-21,22
2023-06-22,21
2023-06-23,16
2023-06-24,11
2023-06-25,13
2023-06-26,20
2023-06-27,23
2023-06-28,21
2023-06-29,20
2023-06-30,15
2023-07-01,10
2023-07-02,11
2023-07-03,16
2023-07-04,18
2023-07-05,20
2023-07-06,21
2023-07-07,18
2023-07-08,14
2023-07-09,15
2023-07-10,26
2023-07-11,23
2023-07-12,25
2023-07-13,26
2023-07-14,20
2023-07-15,16
2023-07-16,17
2023-07-17,28
2023-07-18,31
2023-07-19,29
2023-07-20,26
2023-07-21,23
2023-07-22,18
2023-07-23,20
2023-07-24,32
2023-07-25,36
2023-07-26,34
2023-07-27,37
2023-07-28,33
2023-07-29,26
2023-07-30,27
2023-07-31,44
2023-08-01,60
2023-08-02,64
2023-08-03,63
2023-08-04,55
2023-08-05,34
2023-08-06,37
2023-08-07,68
2023-08-08,76
2023-08-09,77
2023-08-10,74
2023-08-11,72
2023-08-12,34
2023-08-13,50
2023-08-14,83
2023-08-15,88
2023-08-16,87
2023-08-17,85
2023-08-18,75
2023-08-19,35
2023-08-20,50
2023-08-21,89
2023-08-22,91
2023-08-23,90
2023-08-24,93
2023-08-25,77
2023-08-26,32
2023-08-27,49
2023-08-28,97
2023-08-29,97
2023-08-30,96
2023-08-31,88
2023-09-01,69
2023-09-02,23
2023-09-03,25
2023-09-04,47
2023-09-05,96
2023-09-06,93
2023-09-07,90
2023-09-08,82
2023-09-09,26
2023-09-10,47
2023-09-11,97
2023-09-12,92
2023-09-13,89
2023-09-14,86
2023-09-15,76
2023-09-16,21
2023-09-17,41
2023-09-18,99
2023-09-19,89
2023-09-20,84
2023-09-21,86
2023-09-22,69
2023-09-23,22
2023-09-24,37
2023-09-25,85
2023-09-26,89
2023-09-27,85
2023-09-28,86
2023-09-29,70
2023-09-30,23
2023-10-01,35
2023-10-02,92
2023-10-03,86
2023-10-04,82
2023-10-05,78
2023-10-06,63
2023-10-07,19
2023-10-08,28
2023-10-09,70
2023-10-10,81
2023-10-11,77
2023-10-12,74
2023-10-13,62
2023-10-14,21
2023-10-15,34
2023-10-16,90
2023-10-17,84
2023-10-18,86
2023-10-19,82
2023-10-20,64
2023-10-21,19
2023-10-22,34
2023-10-23,90
2023-10-24,90
2023-10-25,83
2023-10-26,81
2023-10-27,67
2023-10-28,19
2023-10-29,32
2023-10-30,99
2023-10-31,85
2023-11-01,86
2023-11-02,86
2023-11-03,71
2023-11-04,19
2023-11-05,31
2023-11-06,91
2023-11-07,87
2023-11-08,83
2023-11-09,77
2023-11-10,47
2023-11-11,17
2023-11-12,31
2023-11-13,90
2023-11-14,90
2023-11-15,83
2023-11-16,82
2023-11-17,70
2023-11-18,15
2023-11-19,19
2023-11-20,65
2023-11-21,49
2023-11-22,21
2023-11-23,10
2023-11-24,13
2023-11-25,16
2023-11-26,33
2023-11-27,100
2023-11-28,92
2023-11-29,92
2023-11-30,81
2023-12-01,69
2023-12-02,16
2023-12-03,28
2023-12-04,90
2023-12-05,86
2023-12-06,81
2023-12-07,76
2023-12-08,65
2023-12-09,16
2023-12-10,26
2023-12-11,81
2023-12-12,75
2023-12-13,69
2023-12-14,75
2023-12-15,64
2023-12-16,12
2023-12-17,22
2023-12-18,68
2023-12-19,59
2023-12-20,50
2023-12-21,39
2023-12-22,23
2023-12-23,7
2023-12-24,6
2023-12-25,6
2023-12-26,10
2023-12-27,12
2023-12-28,14
2023-12-29,15
2023-12-30,13
2023-12-31,16
2024-01-01,21
2024-01-02,67
2024-01-03,78
2024-01-04,71
2024-01-05,66
2024-01-06,18
2024-01-07,32
2024-01-08,98
2024-01-09,81
2024-01-10,85
2024-01-11,83
2024-01-12,60
2024-01-13,15
2024-01-14,16
2024-01-15,31
2024-01-16,63
2024-01-17,73
2024-01-18,77
2024-01-19,59
2024-01-20,19
