Time,dr strange 2
2022-08-29,45
2022-08-30,32
2022-08-31,60
2022-09-01,30
2022-09-02,58
2022-09-03,71
2022-09-04,68
2022-09-05,75
2022-09-06,64
2022-09-07,35
2022-09-08,28
2022-09-09,49
2022-09-10,65
2022-09-11,69
2022-09-12,55
2022-09-13,37
2022-09-14,43
2022-09-15,44
2022-09-16,31
2022-09-17,55
2022-09-18,80
2022-09-19,40
2022-09-20,0
2022-09-21,0
2022-09-22,0
2022-09-23,28
2022-09-24,43
2022-09-25,54
2022-09-26,36
2022-09-27,43
2022-09-28,37
2022-09-29,29
2022-09-30,42
2022-10-01,65
2022-10-02,46
2022-10-03,43
2022-10-04,36
2022-10-05,30
2022-10-06,35
2022-10-07,28
2022-10-08,55
2022-10-09,0
2022-10-10,27
2022-10-11,31
2022-10-12,34
2022-10-13,55
2022-10-14,35
2022-10-15,0
2022-10-16,65
2022-10-17,49
2022-10-18,26
2022-10-19,36
2022-10-20,32
2022-10-21,28
2022-10-22,32
2022-10-23,46
2022-10-24,33
2022-10-25,31
2022-10-26,28
2022-10-27,0
2022-10-28,36
2022-10-29,52
2022-10-30,53
2022-10-31,31
2022-11-01,0
2022-11-02,0
2022-11-03,43
2022-11-04,0
2022-11-05,0
2022-11-06,0
2022-11-07,26
2022-11-08,42
2022-11-09,39
2022-11-10,25
2022-11-11,46
2022-11-12,56
2022-11-13,89
2022-11-14,40
2022-11-15,42
2022-11-16,29
2022-11-17,50
2022-11-18,43
2022-11-19,78
2022-11-20,69
2022-11-21,56
2022-11-22,56
2022-11-23,34
2022-11-24,32
2022-11-25,36
2022-11-26,52
2022-11-27,65
2022-11-28,38
2022-11-29,0
2022-11-30,26
2022-12-01,0
2022-12-02,28
2022-12-03,41
2022-12-04,52
2022-12-05,0
2022-12-06,0
2022-12-07,34
2022-12-08,0
2022-12-09,0
2022-12-10,44
2022-12-11,53
2022-12-12,40
2022-12-13,50
2022-12-14,35
2022-12-15,38
2022-12-16,0
2022-12-17,73
2022-12-18,50
2022-12-19,0
2022-12-20,41
2022-12-21,38
2022-12-22,0
2022-12-23,30
2022-12-24,40
2022-12-25,0
2022-12-26,35
2022-12-27,59
2022-12-28,45
2022-12-29,65
2022-12-30,48
2022-12-31,61
2023-01-01,84
2023-01-02,100
2023-01-03,51
2023-01-04,39
2023-01-05,46
2023-01-06,50
2023-01-07,90
2023-01-08,88
2023-01-09,40
2023-01-10,61
2023-01-11,36
2023-01-12,36
2023-01-13,0
2023-01-14,43
2023-01-15,0
2023-01-16,36
2023-01-17,40
2023-01-18,0
2023-01-19,43
2023-01-20,0
2023-01-21,63
2023-01-22,63
2023-01-23,46
2023-01-24,31
2023-01-25,0
2023-01-26,28
2023-01-27,71
2023-01-28,0
2023-01-29,89
2023-01-30,35
2023-01-31,0
2023-02-01,0
2023-02-02,29
2023-02-03,28
2023-02-04,0
2023-02-05,71
2023-02-06,50
2023-02-07,33
2023-02-08,0
2023-02-09,31
2023-02-10,28
2023-02-11,43
2023-02-12,71
2023-02-13,26
2023-02-14,29
2023-02-15,37
2023-02-16,39
2023-02-17,68
2023-02-18,50
2023-02-19,61
2023-02-20,53
2023-02-21,33
2023-02-22,38
2023-02-23,36
2023-02-24,0
2023-02-25,70
2023-02-26,49
2023-02-27,57
2023-02-28,0
2023-03-01,47
2023-03-02,0
2023-03-03,57
2023-03-04,51
2023-03-05,56
2023-03-06,35
2023-03-07,34
2023-03-08,39
2023-03-09,0
2023-03-10,47
2023-03-11,43
2023-03-12,41
2023-03-13,0
2023-03-14,30
2023-03-15,0
2023-03-16,35
2023-03-17,34
2023-03-18,39
2023-03-19,53
2023-03-20,35
2023-03-21,26
2023-03-22,26
2023-03-23,31
2023-03-24,34
2023-03-25,33
2023-03-26,50
2023-03-27,44
2023-03-28,26
2023-03-29,42
2023-03-30,0
2023-03-31,34
2023-04-01,61
2023-04-02,0
2023-04-03,43
2023-04-04,0
2023-04-05,34
2023-04-06,0
2023-04-07,28
2023-04-08,0
2023-04-09,41
2023-04-10,38
2023-04-11,46
2023-04-12,32
2023-04-13,32
2023-04-14,0
2023-04-15,53
2023-04-16,46
2023-04-17,0
2023-04-18,0
2023-04-19,0
2023-04-20,39
2023-04-21,0
2023-04-22,0
2023-04-23,36
2023-04-24,33
2023-04-25,0
2023-04-26,0
2023-04-27,40
2023-04-28,29
2023-04-29,50
2023-04-30,70
2023-05-01,29
2023-05-02,0
2023-05-03,26
2023-05-04,31
2023-05-05,49
2023-05-06,46
2023-05-07,56
2023-05-08,0
2023-05-09,43
2023-05-10,30
2023-05-11,33
2023-05-12,0
2023-05-13,0
2023-05-14,46
2023-05-15,41
2023-05-16,42
2023-05-17,32
2023-05-18,28
2023-05-19,30
2023-05-20,49
2023-05-21,74
2023-05-22,44
2023-05-23,35
2023-05-24,30
2023-05-25,0
