Time,ace hardware
2023-12-22,50
2023-12-23,63
2023-12-24,61
2023-12-25,26
2023-12-26,48
2023-12-27,44
2023-12-28,42
2023-12-29,42
2023-12-30,51
2023-12-31,55
2024-01-01,55
2024-01-02,34
2024-01-03,33
2024-01-04,34
2024-01-05,36
2024-01-06,46
2024-01-07,44
2024-01-08,36
2024-01-09,32
2024-01-10,36
2024-01-11,38
2024-01-12,46
2024-01-13,57
2024-01-14,54
2024-01-15,50
2024-01-16,37
2024-01-17,42
2024-01-18,35
2024-01-19,38
2024-01-20,48
2024-01-21,42
2024-01-22,30
2024-01-23,30
2024-01-24,29
2024-01-25,29
2024-01-26,30
2024-01-27,42
2024-01-28,42
2024-01-29,29
2024-01-30,31
2024-01-31,31
2024-02-01,30
2024-02-02,31
2024-02-03,50
2024-02-04,43
2024-02-05,30
2024-02-06,29
2024-02-07,30
2024-02-08,29
2024-02-09,32
2024-02-10,45
2024-02-11,43
2024-02-12,25
2024-02-13,31
2024-02-14,29
2024-02-15,28
2024-02-16,33
2024-02-17,43
2024-02-18,47
2024-02-19,40
2024-02-20,32
2024-02-21,31
2024-02-22,30
2024-02-23,33
2024-02-24,46
2024-02-25,52
2024-02-26,33
2024-02-27,32
2024-02-28,31
2024-02-29,31
2024-03-01,33
2024-03-02,47
2024-03-03,50
2024-03-04,35
2024-03-05,32
2024-03-06,34
2024-03-07,33
2024-03-08,39
2024-03-09,49
2024-03-10,50
2024-03-11,37
2024-03-12,37
2024-03-13,36
2024-03-14,36
2024-03-15,36
2024-03-16,54
2024-03-17,55
2024-03-18,37
2024-03-19,38
2024-03-20,38
2024-03-21,36
2024-03-22,36
2024-03-23,47
2024-03-24,51
2024-03-25,39
2024-03-26,36
2024-03-27,35
2024-03-28,36
2024-03-29,42
2024-03-30,61
2024-03-31,50
2024-04-01,40
2024-04-02,36
2024-04-03,37
2024-04-04,38
2024-04-05,43
2024-04-06,65
2024-04-07,75
2024-04-08,61
2024-04-09,38
2024-04-10,42
2024-04-11,38
2024-04-12,44
2024-04-13,65
2024-04-14,70
2024-04-15,47
2024-04-16,45
2024-04-17,41
2024-04-18,42
2024-04-19,46
2024-04-20,66
2024-04-21,65
2024-04-22,45
2024-04-23,44
2024-04-24,44
2024-04-25,44
2024-04-26,43
2024-04-27,68
2024-04-28,73
2024-04-29,45
2024-04-30,45
2024-05-01,44
2024-05-02,45
2024-05-03,47
2024-05-04,76
2024-05-05,63
2024-05-06,47
2024-05-07,44
2024-05-08,42
2024-05-09,48
2024-05-10,46
2024-05-11,82
2024-05-12,68
2024-05-13,48
2024-05-14,45
2024-05-15,45
2024-05-16,46
2024-05-17,53
2024-05-18,73
2024-05-19,76
2024-05-20,51
2024-05-21,49
2024-05-22,45
2024-05-23,50
2024-05-24,58
2024-05-25,94
2024-05-26,92
2024-05-27,100
2024-05-28,52
2024-05-29,48
2024-05-30,48
2024-05-31,62
2024-06-01,71
2024-06-02,75
2024-06-03,49
2024-06-04,47
2024-06-05,51
2024-06-06,50
2024-06-07,54
2024-06-08,78
2024-06-09,76
2024-06-10,53
2024-06-11,47
2024-06-12,52
2024-06-13,51
2024-06-14,57
2024-06-15,77
2024-06-16,71
2024-06-17,52
2024-06-18,46
2024-06-19,57
2024-06-20,46
2024-06-21,55
2024-06-22,63
2024-06-23,60
2024-06-24,51
2024-06-25,49
2024-06-26,49
2024-06-27,50
2024-06-28,50
2024-06-29,70
2024-06-30,73
2024-07-01,54
2024-07-02,54
2024-07-03,60
2024-07-04,91
2024-07-05,58
2024-07-06,66
2024-07-07,66
2024-07-08,48
2024-07-09,47
2024-07-10,48
2024-07-11,46
2024-07-12,48
2024-07-13,62
2024-07-14,53
2024-07-15,42
2024-07-16,45
2024-07-17,45
2024-07-18,43
2024-07-19,46
2024-07-20,58
2024-07-21,56
2024-07-22,45
2024-07-23,49
2024-07-24,41
2024-07-25,40
2024-07-26,44
2024-07-27,57
2024-07-28,57
2024-07-29,44
2024-07-30,43
2024-07-31,43
2024-08-01,43
2024-08-02,45
2024-08-03,59
2024-08-04,58
2024-08-05,44
2024-08-06,39
2024-08-07,41
2024-08-08,39
2024-08-09,42
2024-08-10,59
2024-08-11,60
2024-08-12,43
2024-08-13,44
2024-08-14,39
2024-08-15,41
2024-08-16,41
2024-08-17,57
2024-08-18,54
2024-08-19,41
2024-08-20,38
2024-08-21,38
2024-08-22,38
2024-08-23,41
2024-08-24,56
2024-08-25,58
2024-08-26,48
2024-08-27,37
2024-08-28,38
2024-08-29,38
2024-08-30,42
2024-08-31,59
2024-09-01,59
2024-09-02,75
2024-09-03,40
2024-09-04,36
2024-09-05,37
2024-09-06,36
2024-09-07,49
2024-09-08,51
2024-09-09,38
2024-09-10,35
2024-09-11,34
2024-09-12,35
2024-09-13,38
2024-09-14,52
2024-09-15,48
2024-09-16,36
