Time,ace hardware
2023-04-26,39
2023-04-27,35
2023-04-28,38
2023-04-29,56
2023-04-30,61
2023-05-01,37
2023-05-02,38
2023-05-03,38
2023-05-04,39
2023-05-05,44
2023-05-06,65
2023-05-07,67
2023-05-08,42
2023-05-09,42
2023-05-10,40
2023-05-11,41
2023-05-12,47
2023-05-13,72
2023-05-14,60
2023-05-15,42
2023-05-16,42
2023-05-17,42
2023-05-18,43
2023-05-19,47
2023-05-20,71
2023-05-21,75
2023-05-22,47
2023-05-23,46
2023-05-24,46
2023-05-25,45
2023-05-26,55
2023-05-27,86
2023-05-28,88
2023-05-29,100
2023-05-30,49
2023-05-31,47
2023-06-01,45
2023-06-02,48
2023-06-03,69
2023-06-04,69
2023-06-05,44
2023-06-06,41
2023-06-07,43
2023-06-08,41
2023-06-09,43
2023-06-10,60
2023-06-11,60
2023-06-12,43
2023-06-13,40
2023-06-14,42
2023-06-15,42
2023-06-16,46
2023-06-17,68
2023-06-18,62
2023-06-19,48
2023-06-20,43
2023-06-21,39
2023-06-22,38
2023-06-23,43
2023-06-24,62
2023-06-25,64
2023-06-26,44
2023-06-27,44
2023-06-28,44
2023-06-29,46
2023-06-30,53
2023-07-01,73
2023-07-02,76
2023-07-03,64
2023-07-04,79
2023-07-05,42
2023-07-06,46
2023-07-07,47
2023-07-08,59
2023-07-09,56
2023-07-10,42
2023-07-11,40
2023-07-12,38
2023-07-13,40
2023-07-14,41
2023-07-15,56
2023-07-16,54
2023-07-17,43
2023-07-18,41
2023-07-19,39
2023-07-20,37
2023-07-21,38
2023-07-22,54
2023-07-23,55
2023-07-24,40
2023-07-25,36
2023-07-26,36
2023-07-27,37
2023-07-28,42
2023-07-29,54
2023-07-30,54
2023-07-31,37
2023-08-01,37
2023-08-02,37
2023-08-03,37
2023-08-04,40
2023-08-05,52
2023-08-06,53
2023-08-07,38
2023-08-08,36
2023-08-09,34
2023-08-10,37
2023-08-11,45
2023-08-12,48
2023-08-13,53
2023-08-14,37
2023-08-15,36
2023-08-16,37
2023-08-17,35
2023-08-18,39
2023-08-19,53
2023-08-20,50
2023-08-21,34
2023-08-22,34
2023-08-23,35
2023-08-24,34
2023-08-25,36
2023-08-26,46
2023-08-27,52
2023-08-28,37
2023-08-29,35
2023-08-30,39
2023-08-31,36
2023-09-01,39
2023-09-02,51
2023-09-03,58
2023-09-04,66
2023-09-05,33
2023-09-06,33
2023-09-07,32
2023-09-08,33
2023-09-09,55
2023-09-10,44
2023-09-11,33
2023-09-12,35
2023-09-13,31
2023-09-14,31
2023-09-15,33
2023-09-16,45
2023-09-17,42
2023-09-18,32
2023-09-19,32
2023-09-20,30
2023-09-21,32
2023-09-22,33
2023-09-23,44
2023-09-24,42
2023-09-25,31
2023-09-26,32
2023-09-27,33
2023-09-28,32
2023-09-29,34
2023-09-30,47
2023-10-01,46
2023-10-02,34
2023-10-03,32
2023-10-04,32
2023-10-05,30
2023-10-06,33
2023-10-07,42
2023-10-08,45
2023-10-09,37
2023-10-10,30
2023-10-11,30
2023-10-12,32
2023-10-13,32
2023-10-14,43
2023-10-15,42
2023-10-16,33
2023-10-17,31
2023-10-18,30
2023-10-19,31
2023-10-20,32
2023-10-21,43
2023-10-22,46
2023-10-23,33
2023-10-24,32
2023-10-25,30
2023-10-26,31
2023-10-27,34
2023-10-28,48
2023-10-29,42
2023-10-30,35
2023-10-31,33
2023-11-01,33
2023-11-02,36
2023-11-03,38
2023-11-04,48
2023-11-05,48
2023-11-06,34
2023-11-07,32
2023-11-08,33
2023-11-09,33
2023-11-10,37
2023-11-11,49
2023-11-12,46
2023-11-13,34
2023-11-14,32
2023-11-15,35
2023-11-16,35
2023-11-17,37
2023-11-18,49
2023-11-19,51
2023-11-20,37
2023-11-21,38
2023-11-22,48
2023-11-23,53
2023-11-24,77
2023-11-25,61
2023-11-26,56
2023-11-27,36
2023-11-28,36
2023-11-29,38
2023-11-30,36
2023-12-01,36
2023-12-02,47
2023-12-03,46
2023-12-04,36
2023-12-05,34
2023-12-06,36
2023-12-07,33
2023-12-08,35
2023-12-09,47
2023-12-10,47
2023-12-11,33
2023-12-12,35
2023-12-13,35
2023-12-14,35
2023-12-15,36
2023-12-16,45
2023-12-17,46
2023-12-18,36
2023-12-19,38
2023-12-20,40
2023-12-21,42
2023-12-22,44
2023-12-23,56
2023-12-24,54
2023-12-25,23
2023-12-26,43
2023-12-27,39
2023-12-28,37
2023-12-29,37
2023-12-30,45
2023-12-31,49
2024-01-01,49
2024-01-02,30
2024-01-03,29
2024-01-04,30
2024-01-05,32
2024-01-06,41
2024-01-07,40
2024-01-08,32
2024-01-09,28
2024-01-10,33
2024-01-11,33
2024-01-12,41
2024-01-13,51
2024-01-14,48
2024-01-15,45
2024-01-16,33
2024-01-17,37
2024-01-18,31
2024-01-19,34
2024-01-20,43
