Time,delta
2023-04-26,83
2023-04-27,80
2023-04-28,80
2023-04-29,67
2023-04-30,75
2023-05-01,84
2023-05-02,85
2023-05-03,78
2023-05-04,80
2023-05-05,76
2023-05-06,63
2023-05-07,66
2023-05-08,84
2023-05-09,83
2023-05-10,82
2023-05-11,78
2023-05-12,78
2023-05-13,65
2023-05-14,65
2023-05-15,88
2023-05-16,86
2023-05-17,85
2023-05-18,86
2023-05-19,77
2023-05-20,67
2023-05-21,70
2023-05-22,85
2023-05-23,83
2023-05-24,81
2023-05-25,80
2023-05-26,78
2023-05-27,67
2023-05-28,61
2023-05-29,69
2023-05-30,81
2023-05-31,83
2023-06-01,82
2023-06-02,76
2023-06-03,71
2023-06-04,69
2023-06-05,86
2023-06-06,86
2023-06-07,84
2023-06-08,80
2023-06-09,77
2023-06-10,69
2023-06-11,70
2023-06-12,86
2023-06-13,85
2023-06-14,85
2023-06-15,84
2023-06-16,82
2023-06-17,73
2023-06-18,71
2023-06-19,86
2023-06-20,86
2023-06-21,80
2023-06-22,79
2023-06-23,82
2023-06-24,72
2023-06-25,80
2023-06-26,99
2023-06-27,97
2023-06-28,97
2023-06-29,94
2023-06-30,87
2023-07-01,76
2023-07-02,79
2023-07-03,73
2023-07-04,68
2023-07-05,82
2023-07-06,84
2023-07-07,83
2023-07-08,75
2023-07-09,79
2023-07-10,91
2023-07-11,87
2023-07-12,84
2023-07-13,86
2023-07-14,86
2023-07-15,77
2023-07-16,80
2023-07-17,89
2023-07-18,90
2023-07-19,87
2023-07-20,84
2023-07-21,83
2023-07-22,75
2023-07-23,74
2023-07-24,87
2023-07-25,86
2023-07-26,82
2023-07-27,84
2023-07-28,78
2023-07-29,75
2023-07-30,75
2023-07-31,82
2023-08-01,86
2023-08-02,88
2023-08-03,88
2023-08-04,81
2023-08-05,67
2023-08-06,71
2023-08-07,93
2023-08-08,90
2023-08-09,81
2023-08-10,81
2023-08-11,80
2023-08-12,66
2023-08-13,69
2023-08-14,80
2023-08-15,84
2023-08-16,85
2023-08-17,85
2023-08-18,85
2023-08-19,70
2023-08-20,75
2023-08-21,85
2023-08-22,87
2023-08-23,87
2023-08-24,86
2023-08-25,80
2023-08-26,65
2023-08-27,69
2023-08-28,84
2023-08-29,86
2023-08-30,83
2023-08-31,84
2023-09-01,84
2023-09-02,67
2023-09-03,62
2023-09-04,73
2023-09-05,94
2023-09-06,100
2023-09-07,95
2023-09-08,89
2023-09-09,72
2023-09-10,79
2023-09-11,92
2023-09-12,94
2023-09-13,89
2023-09-14,96
2023-09-15,88
2023-09-16,73
2023-09-17,69
2023-09-18,86
2023-09-19,86
2023-09-20,82
2023-09-21,95
2023-09-22,80
2023-09-23,69
2023-09-24,68
2023-09-25,84
2023-09-26,85
2023-09-27,84
2023-09-28,91
2023-09-29,88
2023-09-30,68
2023-10-01,66
2023-10-02,81
2023-10-03,85
2023-10-04,84
2023-10-05,81
2023-10-06,80
2023-10-07,63
2023-10-08,63
2023-10-09,79
2023-10-10,81
2023-10-11,84
2023-10-12,79
2023-10-13,76
2023-10-14,63
2023-10-15,71
2023-10-16,80
2023-10-17,79
2023-10-18,77
2023-10-19,91
2023-10-20,83
2023-10-21,64
2023-10-22,64
2023-10-23,83
2023-10-24,79
2023-10-25,82
2023-10-26,77
2023-10-27,78
2023-10-28,59
2023-10-29,57
2023-10-30,76
2023-10-31,74
2023-11-01,78
2023-11-02,80
2023-11-03,76
2023-11-04,62
2023-11-05,65
2023-11-06,80
2023-11-07,80
2023-11-08,77
2023-11-09,79
2023-11-10,75
2023-11-11,61
2023-11-12,60
2023-11-13,87
2023-11-14,81
2023-11-15,78
2023-11-16,80
2023-11-17,75
2023-11-18,63
2023-11-19,64
2023-11-20,77
2023-11-21,74
2023-11-22,72
2023-11-23,53
2023-11-24,58
2023-11-25,60
2023-11-26,67
2023-11-27,86
2023-11-28,94
2023-11-29,81
2023-11-30,75
2023-12-01,70
2023-12-02,62
2023-12-03,59
2023-12-04,80
2023-12-05,77
2023-12-06,78
2023-12-07,78
2023-12-08,75
2023-12-09,64
2023-12-10,84
2023-12-11,81
2023-12-12,78
2023-12-13,81
2023-12-14,80
2023-12-15,74
2023-12-16,66
2023-12-17,66
2023-12-18,80
2023-12-19,76
2023-12-20,78
2023-12-21,73
2023-12-22,68
2023-12-23,64
2023-12-24,52
2023-12-25,52
2023-12-26,71
2023-12-27,79
2023-12-28,75
2023-12-29,73
2023-12-30,66
2023-12-31,63
2024-01-01,65
2024-01-02,83
2024-01-03,89
2024-01-04,82
2024-01-05,84
2024-01-06,77
2024-01-07,78
2024-01-08,89
2024-01-09,87
2024-01-10,94
2024-01-11,92
2024-01-12,91
2024-01-13,87
2024-01-14,72
2024-01-15,87
2024-01-16,91
2024-01-17,88
2024-01-18,86
2024-01-19,81
2024-01-20,69
