Time,delta
2022-01-01,63
2022-01-02,78
2022-01-03,87
2022-01-04,100
2022-01-05,94
2022-01-06,66
2022-01-07,77
2022-01-08,71
2022-01-09,73
2022-01-10,74
2022-01-11,79
2022-01-12,75
2022-01-13,93
2022-01-14,63
2022-01-15,69
2022-01-16,63
2022-01-17,67
2022-01-18,69
2022-01-19,69
2022-01-20,74
2022-01-21,71
2022-01-22,66
2022-01-23,68
2022-01-24,91
2022-01-25,65
2022-01-26,63
2022-01-27,63
2022-01-28,73
2022-01-29,68
2022-01-30,65
2022-01-31,70
2022-02-01,70
2022-02-02,73
2022-02-03,76
2022-02-04,78
2022-02-05,67
2022-02-06,69
2022-02-07,77
2022-02-08,77
2022-02-09,78
2022-02-10,60
2022-02-11,70
2022-02-12,61
2022-02-13,59
2022-02-14,63
2022-02-15,71
2022-02-16,73
2022-02-17,73
2022-02-18,74
2022-02-19,68
2022-02-20,66
2022-02-21,77
2022-02-22,77
2022-02-23,75
2022-02-24,74
2022-02-25,72
2022-02-26,61
2022-02-27,63
2022-02-28,74
2022-03-01,77
2022-03-02,75
2022-03-03,75
2022-03-04,73
2022-03-05,67
2022-03-06,65
2022-03-07,78
2022-03-08,74
2022-03-09,77
2022-03-10,78
2022-03-11,78
2022-03-12,73
2022-03-13,73
2022-03-14,78
2022-03-15,75
2022-03-16,77
2022-03-17,73
2022-03-18,76
2022-03-19,69
2022-03-20,68
2022-03-21,76
2022-03-22,80
2022-03-23,75
2022-03-24,72
2022-03-25,70
2022-03-26,59
2022-03-27,66
2022-03-28,67
2022-03-29,74
2022-03-30,74
2022-03-31,73
2022-04-01,76
2022-04-02,70
2022-04-03,72
2022-04-04,75
2022-04-05,74
2022-04-06,75
2022-04-07,73
2022-04-08,74
2022-04-09,68
2022-04-10,68
2022-04-11,74
2022-04-12,72
2022-04-13,73
2022-04-14,77
2022-04-15,72
2022-04-16,62
2022-04-17,61
2022-04-18,77
2022-04-19,83
2022-04-20,76
2022-04-21,77
2022-04-22,67
2022-04-23,67
2022-04-24,65
2022-04-25,74
2022-04-26,76
2022-04-27,78
2022-04-28,72
2022-04-29,71
2022-04-30,64
2022-05-01,67
2022-05-02,74
2022-05-03,74
2022-05-04,76
2022-05-05,73
2022-05-06,66
2022-05-07,64
2022-05-08,63
2022-05-09,76
2022-05-10,73
2022-05-11,72
2022-05-12,71
2022-05-13,68
2022-05-14,62
2022-05-15,63
2022-05-16,73
2022-05-17,76
2022-05-18,71
2022-05-19,70
2022-05-20,70
2022-05-21,67
2022-05-22,65
2022-05-23,73
2022-05-24,73
2022-05-25,67
2022-05-26,70
2022-05-27,69
2022-05-28,62
2022-05-29,64
2022-05-30,65
2022-05-31,71
2022-06-01,71
2022-06-02,72
2022-06-03,68
2022-06-04,63
2022-06-05,62
2022-06-06,67
2022-06-07,69
2022-06-08,71
2022-06-09,80
2022-06-10,69
2022-06-11,59
2022-06-12,65
2022-06-13,71
2022-06-14,76
2022-06-15,72
2022-06-16,75
2022-06-17,74
2022-06-18,70
2022-06-19,67
2022-06-20,77
2022-06-21,75
2022-06-22,76
2022-06-23,77
2022-06-24,68
2022-06-25,61
2022-06-26,64
2022-06-27,79
2022-06-28,76
2022-06-29,76
2022-06-30,80
2022-07-01,82
2022-07-02,74
2022-07-03,64
2022-07-04,61
2022-07-05,71
2022-07-06,72
2022-07-07,72
2022-07-08,67
2022-07-09,63
2022-07-10,64
2022-07-11,76
2022-07-12,73
2022-07-13,69
2022-07-14,70
2022-07-15,68
2022-07-16,59
2022-07-17,66
2022-07-18,73
2022-07-19,76
2022-07-20,71
2022-07-21,76
2022-07-22,66
2022-07-23,64
2022-07-24,67
2022-07-25,73
2022-07-26,72
2022-07-27,68
2022-07-28,70
2022-07-29,67
2022-07-30,61
2022-07-31,64
2022-08-01,73
2022-08-02,71
2022-08-03,69
2022-08-04,72
2022-08-05,73
2022-08-06,65
2022-08-07,66
2022-08-08,74
2022-08-09,75
2022-08-10,71
2022-08-11,72
2022-08-12,67
2022-08-13,56
2022-08-14,62
2022-08-15,74
2022-08-16,75
2022-08-17,71
2022-08-18,73
2022-08-19,70
2022-08-20,63
2022-08-21,66
2022-08-22,76
2022-08-23,75
2022-08-24,74
2022-08-25,75
2022-08-26,65
2022-08-27,60
2022-08-28,58
2022-08-29,73
2022-08-30,73
2022-08-31,73
2022-09-01,76
2022-09-02,70
2022-09-03,59
2022-09-04,57
2022-09-05,64
2022-09-06,74
2022-09-07,71
2022-09-08,70
2022-09-09,67
2022-09-10,55
2022-09-11,55
2022-09-12,74
2022-09-13,71
2022-09-14,74
2022-09-15,71
2022-09-16,66
2022-09-17,56
2022-09-18,55
2022-09-19,72
2022-09-20,74
2022-09-21,71
2022-09-22,67
2022-09-23,67
2022-09-24,55
2022-09-25,56
2022-09-26,72
2022-09-27,72
