Time,delta
2023-12-22,47
2023-12-23,43
2023-12-24,35
2023-12-25,35
2023-12-26,48
2023-12-27,54
2023-12-28,51
2023-12-29,50
2023-12-30,45
2023-12-31,43
2024-01-01,45
2024-01-02,56
2024-01-03,61
2024-01-04,56
2024-01-05,57
2024-01-06,53
2024-01-07,53
2024-01-08,60
2024-01-09,59
2024-01-10,64
2024-01-11,63
2024-01-12,62
2024-01-13,59
2024-01-14,49
2024-01-15,59
2024-01-16,62
2024-01-17,60
2024-01-18,59
2024-01-19,55
2024-01-20,47
2024-01-21,47
2024-01-22,59
2024-01-23,56
2024-01-24,64
2024-01-25,58
2024-01-26,54
2024-01-27,45
2024-01-28,46
2024-01-29,56
2024-01-30,57
2024-01-31,56
2024-02-01,61
2024-02-02,55
2024-02-03,48
2024-02-04,49
2024-02-05,57
2024-02-06,55
2024-02-07,57
2024-02-08,56
2024-02-09,55
2024-02-10,46
2024-02-11,40
2024-02-12,48
2024-02-13,59
2024-02-14,54
2024-02-15,63
2024-02-16,57
2024-02-17,49
2024-02-18,48
2024-02-19,57
2024-02-20,58
2024-02-21,57
2024-02-22,58
2024-02-23,53
2024-02-24,47
2024-02-25,49
2024-02-26,59
2024-02-27,58
2024-02-28,57
2024-02-29,57
2024-03-01,56
2024-03-02,48
2024-03-03,50
2024-03-04,61
2024-03-05,57
2024-03-06,59
2024-03-07,57
2024-03-08,53
2024-03-09,50
2024-03-10,51
2024-03-11,54
2024-03-12,56
2024-03-13,55
2024-03-14,54
2024-03-15,53
2024-03-16,47
2024-03-17,48
2024-03-18,57
2024-03-19,59
2024-03-20,56
2024-03-21,55
2024-03-22,53
2024-03-23,47
2024-03-24,50
2024-03-25,58
2024-03-26,56
2024-03-27,57
2024-03-28,57
2024-03-29,51
2024-03-30,43
2024-03-31,43
2024-04-01,58
2024-04-02,57
2024-04-03,58
2024-04-04,56
2024-04-05,54
2024-04-06,44
2024-04-07,45
2024-04-08,51
2024-04-09,58
2024-04-10,61
2024-04-11,63
2024-04-12,61
2024-04-13,47
2024-04-14,47
2024-04-15,56
2024-04-16,55
2024-04-17,55
2024-04-18,63
2024-04-19,63
2024-04-20,62
2024-04-21,63
2024-04-22,65
2024-04-23,60
2024-04-24,61
2024-04-25,60
2024-04-26,55
2024-04-27,49
2024-04-28,58
2024-04-29,60
2024-04-30,60
2024-05-01,62
2024-05-02,55
2024-05-03,57
2024-05-04,45
2024-05-05,50
2024-05-06,56
2024-05-07,58
2024-05-08,54
2024-05-09,57
2024-05-10,56
2024-05-11,47
2024-05-12,46
2024-05-13,58
2024-05-14,59
2024-05-15,64
2024-05-16,61
2024-05-17,56
2024-05-18,48
2024-05-19,49
2024-05-20,57
2024-05-21,57
2024-05-22,53
2024-05-23,57
2024-05-24,57
2024-05-25,47
2024-05-26,42
2024-05-27,50
2024-05-28,57
2024-05-29,56
2024-05-30,53
2024-05-31,53
2024-06-01,46
2024-06-02,48
2024-06-03,54
2024-06-04,57
2024-06-05,57
2024-06-06,54
2024-06-07,53
2024-06-08,46
2024-06-09,50
2024-06-10,60
2024-06-11,56
2024-06-12,58
2024-06-13,57
2024-06-14,52
2024-06-15,47
2024-06-16,46
2024-06-17,56
2024-06-18,55
2024-06-19,56
2024-06-20,50
2024-06-21,51
2024-06-22,47
2024-06-23,50
2024-06-24,56
2024-06-25,58
2024-06-26,55
2024-06-27,59
2024-06-28,51
2024-06-29,48
2024-06-30,50
2024-07-01,56
2024-07-02,55
2024-07-03,58
2024-07-04,51
2024-07-05,48
2024-07-06,47
2024-07-07,52
2024-07-08,57
2024-07-09,57
2024-07-10,56
2024-07-11,59
2024-07-12,57
2024-07-13,55
2024-07-14,48
2024-07-15,57
2024-07-16,57
2024-07-17,59
2024-07-18,59
2024-07-19,100
2024-07-20,77
2024-07-21,76
2024-07-22,89
2024-07-23,97
2024-07-24,83
2024-07-25,68
2024-07-26,55
2024-07-27,46
2024-07-28,48
2024-07-29,58
2024-07-30,58
2024-07-31,56
2024-08-01,56
2024-08-02,56
2024-08-03,49
2024-08-04,60
2024-08-05,64
2024-08-06,63
2024-08-07,64
2024-08-08,60
2024-08-09,60
2024-08-10,49
2024-08-11,50
2024-08-12,59
2024-08-13,60
2024-08-14,58
2024-08-15,58
2024-08-16,59
2024-08-17,49
2024-08-18,55
2024-08-19,64
2024-08-20,62
2024-08-21,60
2024-08-22,61
2024-08-23,55
2024-08-24,47
2024-08-25,50
2024-08-26,60
2024-08-27,68
2024-08-28,64
2024-08-29,57
2024-08-30,56
2024-08-31,47
2024-09-01,46
2024-09-02,52
2024-09-03,59
2024-09-04,63
2024-09-05,56
2024-09-06,54
2024-09-07,44
2024-09-08,48
2024-09-09,58
2024-09-10,62
2024-09-11,56
2024-09-12,56
2024-09-13,56
2024-09-14,45
2024-09-15,46
2024-09-16,60
