Time,prodigy
2022-01-01,5.0
2022-01-02,6.0
2022-01-03,10.0
2022-01-04,14.0
2022-01-05,17.0
2022-01-06,16.0
2022-01-07,19.0
2022-01-08,10.0
2022-01-09,7.0
2022-01-10,15.0
2022-01-11,20.0
2022-01-12,19.0
2022-01-13,23.0
2022-01-14,21.0
2022-01-15,11.0
2022-01-16,8.0
2022-01-17,7.0
2022-01-18,14.0
2022-01-19,18.0
2022-01-20,20.0
2022-01-21,24.0
2022-01-22,13.0
2022-01-23,9.0
2022-01-24,19.0
2022-01-25,17.0
2022-01-26,19.0
2022-01-27,23.0
2022-01-28,26.0
2022-01-29,13.0
2022-01-30,10.0
2022-01-31,17.0
2022-02-01,20.0
2022-02-02,20.0
2022-02-03,22.0
2022-02-04,22.0
2022-02-05,12.0
2022-02-06,10.0
2022-02-07,17.0
2022-02-08,20.0
2022-02-09,21.0
2022-02-10,20.0
2022-02-11,24.0
2022-02-12,13.0
2022-02-13,8.0
2022-02-14,12.0
2022-02-15,17.0
2022-02-16,18.0
2022-02-17,19.0
2022-02-18,20.0
2022-02-19,11.0
2022-02-20,8.0
2022-02-21,9.0
2022-02-22,14.0
2022-02-23,16.0
2022-02-24,17.0
2022-02-25,19.0
2022-02-26,14.0
2022-02-27,8.0
2022-02-28,15.0
2022-03-01,15.0
2022-03-02,16.0
2022-03-03,18.0
2022-03-04,21.0
2022-03-05,11.0
2022-03-06,8.0
2022-03-07,14.0
2022-03-08,15.0
2022-03-09,17.0
2022-03-10,19.0
2022-03-11,18.0
2022-03-12,10.0
2022-03-13,8.0
2022-03-14,11.0
2022-03-15,12.0
2022-03-16,13.0
2022-03-17,13.0
2022-03-18,13.0
2022-03-19,9.0
2022-03-20,7.0
2022-03-21,12.0
2022-03-22,15.0
2022-03-23,16.0
2022-03-24,17.0
2022-03-25,67.0
2022-03-26,15.0
2022-03-27,11.0
2022-03-28,43.0
2022-03-29,50.0
2022-03-30,15.0
2022-03-31,60.0
2022-04-01,68.0
2022-04-02,14.0
2022-04-03,10.0
2022-04-04,42.0
2022-04-05,54.0
2022-04-06,54.0
2022-04-07,59.0
2022-04-08,70.0
2022-04-09,13.0
2022-04-10,10.0
2022-04-11,46.0
2022-04-12,49.0
2022-04-13,55.0
2022-04-14,62.0
2022-04-15,30.0
2022-04-16,12.0
2022-04-17,9.0
2022-04-18,33.0
2022-04-19,48.0
2022-04-20,51.0
2022-04-21,68.0
2022-04-22,86.0
2022-04-23,16.0
2022-04-24,12.0
2022-04-25,65.0
2022-04-26,76.0
2022-04-27,73.0
2022-04-28,83.0
2022-04-29,97.0
2022-04-30,16.0
2022-05-01,12.0
2022-05-02,63.0
2022-05-03,72.0
2022-05-04,77.0
2022-05-05,86.0
2022-05-06,93.0
2022-05-07,16.0
2022-05-08,12.0
2022-05-09,65.0
2022-05-10,69.0
2022-05-11,71.0
2022-05-12,89.0
2022-05-13,100.0
2022-05-14,17.0
2022-05-15,13.0
2022-05-16,71.0
2022-05-17,79.0
2022-05-18,77.0
2022-05-19,82.0
2022-05-20,87.0
2022-05-21,15.0
2022-05-22,12.0
2022-05-23,64.0
2022-05-24,66.0
2022-05-25,59.0
2022-05-26,56.0
2022-05-27,46.0
2022-05-28,12.0
2022-05-29,9.0
2022-05-30,9.0
2022-05-31,32.0
2022-06-01,34.0
2022-06-02,32.0
2022-06-03,32.0
2022-06-04,9.0
2022-06-05,14.0
2022-06-06,36.0
2022-06-07,31.0
2022-06-08,31.0
2022-06-09,29.0
2022-06-10,24.0
2022-06-11,9.0
2022-06-12,8.0
2022-06-13,21.0
2022-06-14,22.0
2022-06-15,21.0
2022-06-16,19.0
2022-06-17,14.0
2022-06-18,7.0
2022-06-19,7.0
2022-06-20,12.0
2022-06-21,15.0
2022-06-22,14.0
2022-06-23,14.0
2022-06-24,9.0
2022-06-25,7.0
2022-06-26,6.0
2022-06-27,10.0
2022-06-28,11.0
2022-06-29,10.0
