Time,white lotus
2023-12-22,23
2023-12-23,24
2023-12-24,23
2023-12-25,28
2023-12-26,25
2023-12-27,27
2023-12-28,24
2023-12-29,26
2023-12-30,31
2023-12-31,34
2024-01-01,29
2024-01-02,29
2024-01-03,25
2024-01-04,26
2024-01-05,57
2024-01-06,91
2024-01-07,62
2024-01-08,41
2024-01-09,34
2024-01-10,39
2024-01-11,32
2024-01-12,34
2024-01-13,44
2024-01-14,46
2024-01-15,38
2024-01-16,100
2024-01-17,72
2024-01-18,48
2024-01-19,36
2024-01-20,47
2024-01-21,39
2024-01-22,34
2024-01-23,32
2024-01-24,34
2024-01-25,34
2024-01-26,34
2024-01-27,38
2024-01-28,39
2024-01-29,25
2024-01-30,26
2024-01-31,26
2024-02-01,24
2024-02-02,27
2024-02-03,36
2024-02-04,39
2024-02-05,24
2024-02-06,23
2024-02-07,24
2024-02-08,23
2024-02-09,27
2024-02-10,35
2024-02-11,39
2024-02-12,36
2024-02-13,49
2024-02-14,35
2024-02-15,32
2024-02-16,31
2024-02-17,39
2024-02-18,45
2024-02-19,41
2024-02-20,32
2024-02-21,32
2024-02-22,29
2024-02-23,29
2024-02-24,42
2024-02-25,42
2024-02-26,35
2024-02-27,27
2024-02-28,27
2024-02-29,25
2024-03-01,27
2024-03-02,38
2024-03-03,54
2024-03-04,39
2024-03-05,27
2024-03-06,27
2024-03-07,27
2024-03-08,25
2024-03-09,35
2024-03-10,41
2024-03-11,30
2024-03-12,27
2024-03-13,25
2024-03-14,30
2024-03-15,29
2024-03-16,36
2024-03-17,41
2024-03-18,27
2024-03-19,25
2024-03-20,30
2024-03-21,27
2024-03-22,30
2024-03-23,37
2024-03-24,38
2024-03-25,29
2024-03-26,24
2024-03-27,26
2024-03-28,26
2024-03-29,24
2024-03-30,27
2024-03-31,31
2024-04-01,24
2024-04-02,24
2024-04-03,23
2024-04-04,22
2024-04-05,19
2024-04-06,24
2024-04-07,30
2024-04-08,20
2024-04-09,22
2024-04-10,20
2024-04-11,19
2024-04-12,21
2024-04-13,26
2024-04-14,27
2024-04-15,22
2024-04-16,19
2024-04-17,20
2024-04-18,23
2024-04-19,20
2024-04-20,30
2024-04-21,31
2024-04-22,22
2024-04-23,18
2024-04-24,20
2024-04-25,18
2024-04-26,18
2024-04-27,23
2024-04-28,30
2024-04-29,21
2024-04-30,19
2024-05-01,17
2024-05-02,20
2024-05-03,21
2024-05-04,29
2024-05-05,26
2024-05-06,22
2024-05-07,18
2024-05-08,18
2024-05-09,19
2024-05-10,18
2024-05-11,22
2024-05-12,25
2024-05-13,20
2024-05-14,19
2024-05-15,18
2024-05-16,19
2024-05-17,18
2024-05-18,22
2024-05-19,23
2024-05-20,19
2024-05-21,18
2024-05-22,19
2024-05-23,17
2024-05-24,18
2024-05-25,22
2024-05-26,25
2024-05-27,30
2024-05-28,21
2024-05-29,20
2024-05-30,18
2024-05-31,17
2024-06-01,22
2024-06-02,24
2024-06-03,19
2024-06-04,17
2024-06-05,21
2024-06-06,19
2024-06-07,18
2024-06-08,24
2024-06-09,28
2024-06-10,24
2024-06-11,24
2024-06-12,20
2024-06-13,19
2024-06-14,19
2024-06-15,20
2024-06-16,26
2024-06-17,20
2024-06-18,19
2024-06-19,18
2024-06-20,17
2024-06-21,18
2024-06-22,21
2024-06-23,23
2024-06-24,17
2024-06-25,17
2024-06-26,17
2024-06-27,17
2024-06-28,16
2024-06-29,23
2024-06-30,21
2024-07-01,17
2024-07-02,17
2024-07-03,18
2024-07-04,32
2024-07-05,21
2024-07-06,22
2024-07-07,22
2024-07-08,21
2024-07-09,20
2024-07-10,19
2024-07-11,18
2024-07-12,19
2024-07-13,21
2024-07-14,23
2024-07-15,17
2024-07-16,15
2024-07-17,18
2024-07-18,17
2024-07-19,14
2024-07-20,22
2024-07-21,22
2024-07-22,19
2024-07-23,18
2024-07-24,17
2024-07-25,19
2024-07-26,17
2024-07-27,18
2024-07-28,20
2024-07-29,17
2024-07-30,16
2024-07-31,13
2024-08-01,14
2024-08-02,15
2024-08-03,18
2024-08-04,19
2024-08-05,42
2024-08-06,27
2024-08-07,26
2024-08-08,24
2024-08-09,22
2024-08-10,27
2024-08-11,27
2024-08-12,23
2024-08-13,32
2024-08-14,28
2024-08-15,22
2024-08-16,22
2024-08-17,27
2024-08-18,30
2024-08-19,28
2024-08-20,22
2024-08-21,19
2024-08-22,20
2024-08-23,21
2024-08-24,25
2024-08-25,26
2024-08-26,22
2024-08-27,19
2024-08-28,23
2024-08-29,17
2024-08-30,19
2024-08-31,24
2024-09-01,26
2024-09-02,27
2024-09-03,18
2024-09-04,16
2024-09-05,17
2024-09-06,19
2024-09-07,32
2024-09-08,31
2024-09-09,27
2024-09-10,25
2024-09-11,21
2024-09-12,23
2024-09-13,23
2024-09-14,31
2024-09-15,29
2024-09-16,25
