Time,texas roadhouse
2022-08-29,20
2022-08-30,19
2022-08-31,20
2022-09-01,21
2022-09-02,28
2022-09-03,41
2022-09-04,45
2022-09-05,42
2022-09-06,18
2022-09-07,17
2022-09-08,18
2022-09-09,26
2022-09-10,39
2022-09-11,33
2022-09-12,20
2022-09-13,19
2022-09-14,19
2022-09-15,20
2022-09-16,27
2022-09-17,42
2022-09-18,36
2022-09-19,20
2022-09-20,19
2022-09-21,19
2022-09-22,21
2022-09-23,29
2022-09-24,44
2022-09-25,41
2022-09-26,19
2022-09-27,19
2022-09-28,19
2022-09-29,20
2022-09-30,28
2022-10-01,42
2022-10-02,36
2022-10-03,20
2022-10-04,19
2022-10-05,21
2022-10-06,21
2022-10-07,32
2022-10-08,45
2022-10-09,40
2022-10-10,24
2022-10-11,20
2022-10-12,20
2022-10-13,21
2022-10-14,30
2022-10-15,44
2022-10-16,38
2022-10-17,21
2022-10-18,18
2022-10-19,20
2022-10-20,22
2022-10-21,28
2022-10-22,45
2022-10-23,38
2022-10-24,20
2022-10-25,19
2022-10-26,19
2022-10-27,20
2022-10-28,28
2022-10-29,41
2022-10-30,35
2022-10-31,19
2022-11-01,20
2022-11-02,19
2022-11-03,21
2022-11-04,31
2022-11-05,49
2022-11-06,38
2022-11-07,22
2022-11-08,22
2022-11-09,19
2022-11-10,26
2022-11-11,67
2022-11-12,55
2022-11-13,39
2022-11-14,22
2022-11-15,21
2022-11-16,21
2022-11-17,22
2022-11-18,30
2022-11-19,49
2022-11-20,41
2022-11-21,23
2022-11-22,26
2022-11-23,32
2022-11-24,25
2022-11-25,27
2022-11-26,34
2022-11-27,33
2022-11-28,18
2022-11-29,17
2022-11-30,18
2022-12-01,20
2022-12-02,27
2022-12-03,46
2022-12-04,36
2022-12-05,21
2022-12-06,21
2022-12-07,21
2022-12-08,24
2022-12-09,29
2022-12-10,51
2022-12-11,43
2022-12-12,23
2022-12-13,22
2022-12-14,24
2022-12-15,23
2022-12-16,33
2022-12-17,54
2022-12-18,47
2022-12-19,30
2022-12-20,27
2022-12-21,30
2022-12-22,30
2022-12-23,35
2022-12-24,48
2022-12-25,32
2022-12-26,49
2022-12-27,38
2022-12-28,39
2022-12-29,45
2022-12-30,61
2022-12-31,72
2023-01-01,64
2023-01-02,48
2023-01-03,23
2023-01-04,24
2023-01-05,24
2023-01-06,40
2023-01-07,67
2023-01-08,56
2023-01-09,26
2023-01-10,22
2023-01-11,24
2023-01-12,25
2023-01-13,38
2023-01-14,66
2023-01-15,53
2023-01-16,35
2023-01-17,23
2023-01-18,22
2023-01-19,23
2023-01-20,35
2023-01-21,62
2023-01-22,48
2023-01-23,23
2023-01-24,22
2023-01-25,21
2023-01-26,26
2023-01-27,35
2023-01-28,65
2023-01-29,46
2023-01-30,21
2023-01-31,21
2023-02-01,20
2023-02-02,23
2023-02-03,34
2023-02-04,62
2023-02-05,57
2023-02-06,26
2023-02-07,21
2023-02-08,21
2023-02-09,24
2023-02-10,33
2023-02-11,64
2023-02-12,43
2023-02-13,24
2023-02-14,69
2023-02-15,41
2023-02-16,26
2023-02-17,39
2023-02-18,68
2023-02-19,64
2023-02-20,31
2023-02-21,22
2023-02-22,21
2023-02-23,24
2023-02-24,35
2023-02-25,65
2023-02-26,58
2023-02-27,24
2023-02-28,21
2023-03-01,23
2023-03-02,23
2023-03-03,30
2023-03-04,62
2023-03-05,55
2023-03-06,25
2023-03-07,21
2023-03-08,23
2023-03-09,24
2023-03-10,32
2023-03-11,59
2023-03-12,57
2023-03-13,23
2023-03-14,22
2023-03-15,25
2023-03-16,27
2023-03-17,36
2023-03-18,62
2023-03-19,55
2023-03-20,25
2023-03-21,23
2023-03-22,23
2023-03-23,24
2023-03-24,36
2023-03-25,69
2023-03-26,63
2023-03-27,29
2023-03-28,25
2023-03-29,26
2023-03-30,27
2023-03-31,37
2023-04-01,57
2023-04-02,52
2023-04-03,25
2023-04-04,23
2023-04-05,29
2023-04-06,28
2023-04-07,40
2023-04-08,53
2023-04-09,54
2023-04-10,26
2023-04-11,21
2023-04-12,22
2023-04-13,23
2023-04-14,30
2023-04-15,49
2023-04-16,48
2023-04-17,21
2023-04-18,21
2023-04-19,22
2023-04-20,23
2023-04-21,34
2023-04-22,60
2023-04-23,45
2023-04-24,21
2023-04-25,21
2023-04-26,23
2023-04-27,23
2023-04-28,34
2023-04-29,54
2023-04-30,47
2023-05-01,23
2023-05-02,21
2023-05-03,22
2023-05-04,24
2023-05-05,31
2023-05-06,47
2023-05-07,46
2023-05-08,21
2023-05-09,21
2023-05-10,24
2023-05-11,27
2023-05-12,33
2023-05-13,67
2023-05-14,100
2023-05-15,28
2023-05-16,23
2023-05-17,22
2023-05-18,24
2023-05-19,32
2023-05-20,47
2023-05-21,43
2023-05-22,24
2023-05-23,22
2023-05-24,25
2023-05-25,25
