Time,tenacious d
2023-04-26,30
2023-04-27,29
2023-04-28,29
2023-04-29,40
2023-04-30,43
2023-05-01,28
2023-05-02,27
2023-05-03,34
2023-05-04,34
2023-05-05,34
2023-05-06,42
2023-05-07,58
2023-05-08,40
2023-05-09,58
2023-05-10,51
2023-05-11,68
2023-05-12,100
2023-05-13,99
2023-05-14,89
2023-05-15,69
2023-05-16,51
2023-05-17,54
2023-05-18,45
2023-05-19,51
2023-05-20,61
2023-05-21,58
2023-05-22,36
2023-05-23,34
2023-05-24,35
2023-05-25,30
2023-05-26,39
2023-05-27,42
2023-05-28,44
2023-05-29,44
2023-05-30,33
2023-05-31,33
2023-06-01,51
2023-06-02,66
2023-06-03,59
2023-06-04,62
2023-06-05,42
2023-06-06,43
2023-06-07,76
2023-06-08,83
2023-06-09,83
2023-06-10,69
2023-06-11,61
2023-06-12,48
2023-06-13,40
2023-06-14,38
2023-06-15,30
2023-06-16,39
2023-06-17,45
2023-06-18,42
2023-06-19,29
2023-06-20,27
2023-06-21,28
2023-06-22,28
2023-06-23,34
2023-06-24,40
2023-06-25,38
2023-06-26,29
2023-06-27,27
2023-06-28,27
2023-06-29,28
2023-06-30,25
2023-07-01,32
2023-07-02,40
2023-07-03,31
2023-07-04,37
2023-07-05,26
2023-07-06,29
2023-07-07,34
2023-07-08,42
2023-07-09,46
2023-07-10,26
2023-07-11,27
2023-07-12,35
2023-07-13,26
2023-07-14,26
2023-07-15,41
2023-07-16,32
2023-07-17,31
2023-07-18,28
2023-07-19,23
2023-07-20,28
2023-07-21,25
2023-07-22,34
2023-07-23,34
2023-07-24,20
2023-07-25,27
2023-07-26,24
2023-07-27,33
2023-07-28,30
2023-07-29,32
2023-07-30,31
2023-07-31,26
2023-08-01,25
2023-08-02,22
2023-08-03,22
2023-08-04,25
2023-08-05,38
2023-08-06,32
2023-08-07,27
2023-08-08,28
2023-08-09,29
2023-08-10,27
2023-08-11,32
2023-08-12,34
2023-08-13,38
2023-08-14,27
2023-08-15,20
2023-08-16,30
2023-08-17,36
2023-08-18,30
2023-08-19,37
2023-08-20,36
2023-08-21,30
2023-08-22,31
2023-08-23,31
2023-08-24,29
2023-08-25,29
2023-08-26,34
2023-08-27,36
2023-08-28,31
2023-08-29,42
2023-08-30,29
2023-08-31,34
2023-09-01,45
2023-09-02,58
2023-09-03,45
2023-09-04,47
2023-09-05,36
2023-09-06,56
2023-09-07,69
2023-09-08,50
2023-09-09,87
2023-09-10,78
2023-09-11,55
2023-09-12,55
2023-09-13,49
2023-09-14,61
2023-09-15,60
2023-09-16,86
2023-09-17,71
2023-09-18,35
2023-09-19,27
2023-09-20,24
2023-09-21,23
2023-09-22,24
2023-09-23,34
2023-09-24,21
2023-09-25,15
2023-09-26,24
2023-09-27,17
2023-09-28,20
2023-09-29,20
2023-09-30,22
2023-10-01,19
2023-10-02,16
2023-10-03,15
2023-10-04,21
2023-10-05,33
2023-10-06,35
2023-10-07,32
2023-10-08,28
2023-10-09,14
2023-10-10,15
2023-10-11,19
2023-10-12,14
2023-10-13,16
2023-10-14,18
2023-10-15,23
2023-10-16,17
2023-10-17,17
2023-10-18,15
2023-10-19,19
2023-10-20,20
2023-10-21,24
2023-10-22,19
2023-10-23,10
2023-10-24,17
2023-10-25,21
2023-10-26,17
2023-10-27,17
2023-10-28,20
2023-10-29,11
2023-10-30,16
2023-10-31,18
2023-11-01,16
2023-11-02,20
2023-11-03,12
2023-11-04,17
2023-11-05,15
2023-11-06,13
2023-11-07,16
2023-11-08,22
2023-11-09,24
2023-11-10,20
2023-11-11,24
2023-11-12,18
2023-11-13,15
2023-11-14,16
2023-11-15,11
2023-11-16,18
2023-11-17,16
2023-11-18,20
2023-11-19,23
2023-11-20,18
2023-11-21,17
2023-11-22,13
2023-11-23,16
2023-11-24,15
2023-11-25,17
2023-11-26,19
2023-11-27,13
2023-11-28,12
2023-11-29,14
2023-11-30,14
2023-12-01,16
2023-12-02,18
2023-12-03,18
2023-12-04,15
2023-12-05,16
2023-12-06,16
2023-12-07,17
2023-12-08,15
2023-12-09,23
2023-12-10,25
2023-12-11,18
2023-12-12,14
2023-12-13,15
2023-12-14,20
2023-12-15,19
2023-12-16,20
2023-12-17,70
2023-12-18,30
2023-12-19,24
2023-12-20,21
2023-12-21,20
2023-12-22,19
2023-12-23,25
2023-12-24,22
2023-12-25,22
2023-12-26,21
2023-12-27,19
2023-12-28,21
2023-12-29,15
2023-12-30,15
2023-12-31,22
2024-01-01,22
2024-01-02,17
2024-01-03,17
2024-01-04,18
2024-01-05,36
2024-01-06,37
2024-01-07,31
2024-01-08,17
2024-01-09,21
2024-01-10,22
2024-01-11,18
2024-01-12,19
2024-01-13,26
2024-01-14,21
2024-01-15,20
2024-01-16,16
2024-01-17,14
2024-01-18,16
2024-01-19,14
2024-01-20,22
