Time,tenacious d
2025-04-15,71
2025-04-16,78
2025-04-17,66
2025-04-18,100
2025-04-19,100
2025-04-20,97
2025-04-21,73
2025-04-22,74
2025-04-23,68
2025-04-24,55
2025-04-25,63
2025-04-26,91
2025-04-27,69
2025-04-28,67
2025-04-29,51
2025-04-30,58
2025-05-01,60
2025-05-02,71
2025-05-03,90
2025-05-04,72
2025-05-05,56
2025-05-06,41
2025-05-07,36
2025-05-08,46
2025-05-09,48
2025-05-10,59
2025-05-11,48
2025-05-12,46
2025-05-13,38
2025-05-14,32
2025-05-15,56
2025-05-16,43
2025-05-17,70
2025-05-18,63
2025-05-19,54
2025-05-20,41
2025-05-21,34
2025-05-22,48
2025-05-23,43
2025-05-24,41
2025-05-25,58
2025-05-26,57
2025-05-27,47
2025-05-28,30
2025-05-29,38
2025-05-30,32
2025-05-31,46
2025-06-01,54
2025-06-02,51
2025-06-03,28
2025-06-04,33
2025-06-05,53
2025-06-06,44
2025-06-07,52
2025-06-08,41
2025-06-09,22
2025-06-10,36
2025-06-11,33
2025-06-12,29
2025-06-13,36
2025-06-14,37
2025-06-15,59
2025-06-16,44
2025-06-17,33
2025-06-18,25
2025-06-19,40
2025-06-20,50
2025-06-21,74
2025-06-22,63
2025-06-23,58
2025-06-24,40
2025-06-25,52
2025-06-26,38
2025-06-27,35
2025-06-28,53
2025-06-29,37
2025-06-30,33
2025-07-01,20
2025-07-02,34
2025-07-03,40
2025-07-04,31
2025-07-05,47
2025-07-06,50
2025-07-07,63
2025-07-08,23
2025-07-09,46
2025-07-10,47
2025-07-11,40
2025-07-12,53
2025-07-13,59
2025-07-14,34
2025-07-15,39
2025-07-16,33
2025-07-17,46
2025-07-18,49
2025-07-19,72
2025-07-20,53
2025-07-21,72
2025-07-22,75
2025-07-23,55
2025-07-24,61
2025-07-25,66
2025-07-26,71
2025-07-27,50
2025-07-28,48
2025-07-29,36
2025-07-30,49
2025-07-31,39
2025-08-01,50
2025-08-02,42
2025-08-03,52
2025-08-04,28
2025-08-05,21
2025-08-06,46
2025-08-07,43
2025-08-08,44
2025-08-09,51
2025-08-10,43
2025-08-11,31
2025-08-12,45
2025-08-13,42
2025-08-14,29
2025-08-15,36
2025-08-16,44
2025-08-17,47
2025-08-18,42
2025-08-19,41
2025-08-20,40
2025-08-21,27
2025-08-22,44
2025-08-23,54
2025-08-24,58
2025-08-25,28
2025-08-26,27
2025-08-27,34
2025-08-28,48
2025-08-29,45
2025-08-30,48
2025-08-31,37
2025-09-01,51
2025-09-02,31
2025-09-03,24
2025-09-04,34
2025-09-05,52
2025-09-06,44
2025-09-07,47
2025-09-08,27
2025-09-09,32
2025-09-10,25
2025-09-11,27
2025-09-12,27
2025-09-13,22
2025-09-14,31
2025-09-15,29
2025-09-16,25
2025-09-17,35
2025-09-18,26
2025-09-19,27
2025-09-20,34
2025-09-21,43
2025-09-22,32
2025-09-23,26
2025-09-24,39
2025-09-25,35
2025-09-26,27
2025-09-27,41
2025-09-28,41
2025-09-29,20
2025-09-30,28
2025-10-01,32
2025-10-02,38
2025-10-03,50
2025-10-04,34
2025-10-05,35
2025-10-06,28
2025-10-07,28
2025-10-08,30
2025-10-09,26
2025-10-10,15
2025-10-11,34
2025-10-12,51
2025-10-13,31
2025-10-14,24
2025-10-15,46
2025-10-16,32
2025-10-17,36
2025-10-18,40
2025-10-19,36
2025-10-20,26
2025-10-21,31
2025-10-22,30
2025-10-23,31
2025-10-24,32
2025-10-25,40
2025-10-26,45
2025-10-27,34
2025-10-28,21
2025-10-29,30
2025-10-30,38
2025-10-31,40
2025-11-01,38
2025-11-02,36
2025-11-03,14
2025-11-04,28
2025-11-05,30
2025-11-06,32
2025-11-07,29
2025-11-08,45
2025-11-09,26
2025-11-10,22
2025-11-11,29
2025-11-12,37
2025-11-13,34
2025-11-14,28
2025-11-15,37
2025-11-16,44
2025-11-17,32
2025-11-18,23
2025-11-19,26
2025-11-20,33
2025-11-21,40
2025-11-22,51
2025-11-23,44
2025-11-24,28
2025-11-25,30
2025-11-26,28
2025-11-27,54
2025-11-28,28
2025-11-29,50
2025-11-30,39
2025-12-01,27
2025-12-02,29
2025-12-03,29
2025-12-04,38
2025-12-05,32
2025-12-06,58
2025-12-07,24
2025-12-08,22
2025-12-09,26
2025-12-10,31
2025-12-11,28
2025-12-12,34
2025-12-13,80
2025-12-14,64
2025-12-15,33
2025-12-16,36
2025-12-17,42
2025-12-18,39
2025-12-19,44
2025-12-20,54
2025-12-21,40
2025-12-22,54
2025-12-23,46
2025-12-24,53
2025-12-25,44
2025-12-26,44
2025-12-27,46
2025-12-28,38
2025-12-29,41
2025-12-30,32
2025-12-31,41
2026-01-01,54
2026-01-02,50
2026-01-03,38
2026-01-04,47
2026-01-05,41
2026-01-06,32
2026-01-07,46
2026-01-08,49
2026-01-09,47
