Time,tsla
2023-04-26,46
2023-04-27,41
2023-04-28,36
2023-04-29,9
2023-04-30,6
2023-05-01,32
2023-05-02,32
2023-05-03,31
2023-05-04,31
2023-05-05,31
2023-05-06,8
2023-05-07,5
2023-05-08,33
2023-05-09,31
2023-05-10,32
2023-05-11,34
2023-05-12,43
2023-05-13,8
2023-05-14,6
2023-05-15,34
2023-05-16,37
2023-05-17,43
2023-05-18,37
2023-05-19,37
2023-05-20,9
2023-05-21,6
2023-05-22,37
2023-05-23,40
2023-05-24,36
2023-05-25,36
2023-05-26,43
2023-05-27,11
2023-05-28,6
2023-05-29,8
2023-05-30,48
2023-05-31,41
2023-06-01,44
2023-06-02,49
2023-06-03,13
2023-06-04,9
2023-06-05,47
2023-06-06,48
2023-06-07,55
2023-06-08,61
2023-06-09,75
2023-06-10,16
2023-06-11,10
2023-06-12,59
2023-06-13,62
2023-06-14,70
2023-06-15,65
2023-06-16,53
2023-06-17,13
2023-06-18,8
2023-06-19,20
2023-06-20,64
2023-06-21,70
2023-06-22,59
2023-06-23,52
2023-06-24,11
2023-06-25,8
2023-06-26,53
2023-06-27,52
2023-06-28,50
2023-06-29,49
2023-06-30,47
2023-07-01,11
2023-07-02,16
2023-07-03,75
2023-07-04,17
2023-07-05,56
2023-07-06,53
2023-07-07,47
2023-07-08,10
2023-07-09,7
2023-07-10,44
2023-07-11,43
2023-07-12,44
2023-07-13,47
2023-07-14,47
2023-07-15,12
2023-07-16,9
2023-07-17,58
2023-07-18,59
2023-07-19,100
2023-07-20,99
2023-07-21,66
2023-07-22,13
2023-07-23,10
2023-07-24,56
2023-07-25,51
2023-07-26,45
2023-07-27,47
2023-07-28,46
2023-07-29,10
2023-07-30,8
2023-07-31,41
2023-08-01,38
2023-08-02,41
2023-08-03,40
2023-08-04,36
2023-08-05,9
2023-08-06,6
2023-08-07,44
2023-08-08,41
2023-08-09,36
2023-08-10,37
2023-08-11,35
2023-08-12,8
2023-08-13,5
2023-08-14,37
2023-08-15,36
2023-08-16,41
2023-08-17,41
2023-08-18,39
2023-08-19,9
2023-08-20,7
2023-08-21,45
2023-08-22,46
2023-08-23,42
2023-08-24,38
2023-08-25,36
2023-08-26,8
2023-08-27,6
2023-08-28,37
2023-08-29,44
2023-08-30,41
2023-08-31,37
2023-09-01,42
2023-09-02,10
2023-09-03,6
2023-09-04,9
2023-09-05,41
2023-09-06,38
2023-09-07,34
2023-09-08,31
2023-09-09,8
2023-09-10,5
2023-09-11,59
2023-09-12,54
2023-09-13,43
2023-09-14,42
2023-09-15,40
2023-09-16,10
2023-09-17,7
2023-09-18,39
2023-09-19,36
2023-09-20,37
2023-09-21,37
2023-09-22,36
2023-09-23,9
2023-09-24,6
2023-09-25,34
2023-09-26,34
2023-09-27,32
2023-09-28,33
2023-09-29,34
2023-09-30,9
2023-10-01,6
2023-10-02,42
2023-10-03,34
2023-10-04,37
2023-10-05,37
2023-10-06,37
2023-10-07,8
2023-10-08,6
2023-10-09,30
2023-10-10,35
2023-10-11,33
2023-10-12,31
2023-10-13,30
2023-10-14,6
2023-10-15,6
2023-10-16,31
2023-10-17,33
2023-10-18,63
2023-10-19,74
2023-10-20,58
2023-10-21,13
2023-10-22,8
2023-10-23,45
2023-10-24,44
2023-10-25,36
2023-10-26,42
2023-10-27,36
2023-10-28,9
2023-10-29,6
2023-10-30,46
2023-10-31,45
2023-11-01,42
2023-11-02,43
2023-11-03,38
2023-11-04,9
2023-11-05,6
2023-11-06,37
2023-11-07,36
2023-11-08,33
2023-11-09,37
2023-11-10,37
2023-11-11,9
2023-11-12,6
2023-11-13,36
2023-11-14,44
2023-11-15,46
2023-11-16,42
2023-11-17,43
2023-11-18,12
2023-11-19,7
2023-11-20,38
2023-11-21,38
2023-11-22,39
2023-11-23,10
2023-11-24,23
2023-11-25,7
2023-11-26,5
2023-11-27,32
2023-11-28,38
2023-11-29,43
2023-11-30,49
2023-12-01,45
2023-12-02,12
2023-12-03,6
2023-12-04,32
2023-12-05,36
2023-12-06,35
2023-12-07,31
2023-12-08,33
2023-12-09,9
2023-12-10,6
2023-12-11,30
2023-12-12,30
2023-12-13,45
2023-12-14,45
2023-12-15,37
2023-12-16,9
2023-12-17,6
2023-12-18,35
2023-12-19,36
2023-12-20,39
2023-12-21,37
2023-12-22,34
2023-12-23,9
2023-12-24,5
2023-12-25,4
2023-12-26,31
2023-12-27,37
2023-12-28,39
2023-12-29,34
2023-12-30,9
2023-12-31,5
2024-01-01,7
2024-01-02,40
2024-01-03,37
2024-01-04,32
2024-01-05,30
2024-01-06,8
2024-01-07,5
2024-01-08,30
2024-01-09,29
2024-01-10,30
2024-01-11,34
2024-01-12,39
2024-01-13,9
2024-01-14,6
2024-01-15,11
2024-01-16,39
2024-01-17,39
2024-01-18,38
2024-01-19,39
2024-01-20,10
